Parameter,Factor
39.3568977253452,ZEROAC
-3.87263535761263,SSAC
10.9639261924327,ZEROAC*SSCH
-6.55574132204729,ZEROAC*SSDP
84.4282226413508,ZEROAC*SSBH
5.29428578702882,ZEROAC*SSCA
16.7609719610401,ZEROAC*ZEROPC
5.30125892960204,ZEROAC*ZEROPJ
-4.69096023788448,ZEROAC*ZEROBT
4.52469374572071,ZEROAC*ZEROBU
2.47654907517527,ZEROAC*SSBC
-9.06548820021498,ZEROAC*ZEROBL
9.01041328769509,ZEROAC*ZEROBA
-22.4001516760527,SSAC*SSEL
0.752026037980064,SSAC*SSCA
-7.96768958452591,SSAC*SSPC
-2.0343494692771,SSAC*SSPJ
4.8894116319172,SSAC*SSDL
8.15605440411803,SSAC*ZEROCG
-0.60790750248159,SSAC*SSBF
7.73268304037276,SSAC*SSBO
0.575891511573806,SSAC*ZEROBV
4.65799272613744,SSAC*SSBY
6.30676735197876,SSAC*ZERODF
