Parameter,Factor
5.26969421612822,ZEROER
11.9962648013431,SSER
33.2750673210548,ZEROAC
10.001987822042,ZEROCC
1.55428194704824,SSCC
-4.34185470818994,ZEROER*ZEROAC
3.12993870861157,ZEROER*SSEL
0.681961748714097,ZEROER*ZEROCH
7.26889013621234,ZEROER*SSDP
2.03978021611926,ZEROER*ZEROBH
0.216168676477826,ZEROER*ZEROPJ
5.72297898343183,ZEROER*SSDL
7.03768827324297,ZEROER*ZEROCG
-4.5085184374759,ZEROER*SSBV
21.2590809433241,ZEROER*SSBY
0.675625360066728,ZEROER*ZERODF
1.02047147766486,ZEROER*SSDF
-0.753748121086954,ZEROER*ZEROBA
-13.5852307824972,SSER*ZEROAC
25.316830856882,SSER*SSCH
-2.67675125204828,SSER*ZEROPC
-1.40954856497658,SSER*SSPC
-8.70270930617893,SSER*SSBU
1.59469790305112,ZEROAC*SSCA
0.683991342311308,ZEROAC*ZEROPC
0.510154254097765,ZEROAC*ZEROPJ
1.49850961834623,ZEROAC*SSDL
1.80877443696649,ZEROAC*ZEROCG
-3.87802870122558,ZEROAC*ZEROBL
6.4202258010385,ZEROAC*ZEROBA
2.32332436742444,SSAC*ZEROCG
2.80396236810709,SSAC*SSBO
2.25612529568873,SSAC*ZERODF
2.5344736071438,ZEROCC*ZEROBY
-1.03243943752152,ZEROCC*SSBL
-0.114372311360867,SSCC*ZEROBA
-1.10002802459407,SSCC*SSBA
