Parameter,Factor
6.45311644168738,ZEROER
11.9664602480108,SSER
34.3152944046101,ZEROAC
-5.95613458319703,ZEROER*ZEROAC
3.77408489157473,ZEROER*SSEL
0.616111636681691,ZEROER*ZEROCH
7.60874913249612,ZEROER*SSDP
2.10652667100111,ZEROER*ZEROBH
0.267241645053719,ZEROER*ZEROPJ
6.36679286923832,ZEROER*SSDL
7.08145979442672,ZEROER*ZEROCG
-5.31518772087296,ZEROER*SSBV
21.5200386044423,ZEROER*SSBY
0.524611738312781,ZEROER*ZERODF
1.58500605205463,ZEROER*SSDF
-0.797118965292689,ZEROER*ZEROBL
-1.60402285276895,ZEROER*ZEROBA
-13.9986429500193,SSER*ZEROAC
26.8176391241548,SSER*SSCH
-3.82571382107145,SSER*ZEROPC
-1.19917876591871,SSER*SSPC
-4.46005775807377,SSER*SSDL
-11.5944608067912,SSER*SSBU
1.89319314047985,ZEROAC*SSCA
0.856376831946459,ZEROAC*ZEROPC
0.780846724538535,ZEROAC*ZEROPJ
1.70823052819346,ZEROAC*SSDL
1.76967132514159,ZEROAC*ZEROCG
-0.530728106986574,ZEROAC*ZEROBT
-4.91469750414309,ZEROAC*ZEROBL
6.59261145948101,ZEROAC*ZEROBA
2.67159069242787,SSAC*ZEROCG
3.00204097193444,SSAC*SSBO
2.59407983250826,SSAC*ZERODF
