Parameter,Factor
6.49029431434157,ZEROER
11.0271162857746,SSER
4.79899729612733,SSFP
11.1177284964596,ZEROCC
1.42374107181277,SSCC
2.24398726478518,ZEROER*SSEL
1.06860528852609,ZEROER*ZEROCH
7.2073368702228,ZEROER*SSDP
2.67414825245252,ZEROER*ZEROBH
0.340827495238165,ZEROER*ZEROPJ
5.31977262404086,ZEROER*SSDL
6.92473844842937,ZEROER*ZEROCG
-0.257996635755186,ZEROER*SSBU
-4.47122591867062,ZEROER*SSBV
21.2199349070969,ZEROER*SSBY
0.946563163157998,ZEROER*ZERODF
0.268802327566581,ZEROER*SSDF
-1.08053739669897,ZEROER*ZEROBA
23.813172255335,SSER*SSCH
-3.03345054618147,SSER*ZEROPC
-0.817614705487671,SSER*SSPC
-7.88278637473427,SSER*SSBU
2.276584200528,ZEROCC*ZEROBY
-1.63955566894907,ZEROCC*SSBL
-0.0990947051618384,ZEROCC*ZEROBA
-0.166214857180249,SSCC*ZEROBA
-1.36643284645157,SSCC*SSBA
