Parameter,Factor
32.1376305362384,ZEROAC
32.5969694664743,SSRI
-0.800985181160276,ZEROAC*ZERORI
-1461.02057198683,ZEROAC*SSRI
-5.23545617343365,ZEROAC*ZERODP
8.4011509531006,ZEROAC*SSCG
1.05429858651827,ZEROAC*SSBO
-0.524031734949827,ZEROAC*ZEROBL
1.32308272252577,ZEROAC*SSBA
-0.515107009976639,SSAC*ZERORI
-0.225716773740414,SSAC*ZEROBH
0.789553263004576,SSAC*SSDL
2.16305420692615,SSAC*SSBO
4.09641861447881,ZERORI*SSCH
97.0262540373261,SSRI*SSCA
-2.38757025682269,SSRI*ZEROPC
4.06313478632214,SSRI*SSPJ
15.8269677923323,SSRI*ZERODF
6.39428127612888,SSRI*SSDF
-5.76366189696533,ZERODP*ZEROBY
-0.250070383980559,ZEROBH*SSCG
278.399264771252,SSDF*SSBA
