Parameter,Factor
2.38722618214067,ZEROER
13.5782346671876,SSER
30.5986913178396,ZEROAC
2.48261230511899,ZEROCC
4.78906509669487,SSCC
30.3027897593676,SSRI
-17.3632962445166,ZEROER*SSRI
0.638944205795516,ZEROER*SSEL
16.6716304384927,ZEROER*SSBH
2.90655338073604,ZEROER*ZEROCA
5.68284760807334,ZEROER*ZEROPJ
-2.16146789454646,ZEROER*SSDL
-2.17325907892253,ZEROER*ZEROBV
-0.901985722305868,ZEROER*ZEROBA
-18.2281025857141,SSER*ZEROAC
7.23131924615241,SSER*SSEL
10.3145265073835,SSER*SSCH
0.23028510236997,SSER*SSBH
-3.95838626543821,SSER*ZEROPC
3.80178831662675,SSER*SSCG
-9.20356414598517,SSER*ZEROBV
-0.7208824384372,ZEROAC*ZERORI
-1849.68009733088,ZEROAC*SSRI
-3.13353431650924,ZEROAC*ZERODP
0.0188601227163387,ZEROAC*ZEROCA
8.68748736861975,ZEROAC*SSCG
-0.696919972978322,ZEROAC*ZEROBT
-4.77493387962363,ZEROAC*ZEROBL
3.45743123406929,ZEROAC*SSBA
-1270.56135144919,SSAC*SSRI
-13.9232114591695,SSAC*ZERODP
-1.13084287980637,SSAC*ZEROBH
1.71023706094755,SSAC*SSBO
-2.61814203261624,ZEROCC*ZERODP
-0.713493828097214,ZEROCC*ZEROBT
-1.89915991766235,ZEROCC*SSBL
0.437969997061222,SSCC*SSPJ
0.86665456349754,SSCC*ZEROBY
5.08518214024886,ZERORI*SSCH
3.8170146277256,ZERORI*SSCA
-0.491809164264098,ZERORI*ZEROBT
-1.21568001974516,ZERORI*ZEROBU
2.49009999008939,ZERORI*ZERODF
78.7155935812797,SSRI*SSCA
-3.75592305791136,SSRI*ZEROPC
8.38269877103702,SSRI*SSPJ
15.790909871231,SSRI*SSDF
-1551.01278866252,ZEROCH*SSBH
-69.5959242051896,SSDP*SSDF
-1.14675895034775,ZEROCA*ZEROBY
-7.07109157746702,ZEROPJ*SSCG
-7.34183349185905,ZEROPJ*SSBP
-0.183046012333876,ZEROCG*ZEROBY
-5.21179229173363,ZEROCG*SSBY
-108.013235237234,SSCG*SSBA
-17.8444270866998,ZEROBF*SSBL
-1.41070999614381,SSBF*ZEROBL
485.013223792074,SSDF*SSBA
