Parameter,Factor
2.86115642447058,ZEROER
13.3714828457358,SSER
30.5991247288689,ZEROAC
30.7611110703228,SSRI
-15.4231796937888,ZEROER*SSRI
15.2748316514339,ZEROER*SSBH
1.96833742258743,ZEROER*ZEROCA
5.27280817336731,ZEROER*ZEROPJ
-1.66773195596055,ZEROER*SSDL
-2.70739477591102,ZEROER*ZEROBV
-0.736619783482138,ZEROER*ZEROBA
-16.4858647247206,SSER*ZEROAC
4.22374831543646,SSER*SSEL
7.22878318613861,SSER*SSCH
1.00163684624853,SSER*SSBH
-2.99603812867535,SSER*ZEROPC
1.68967684481284,SSER*SSCG
-8.0762865265105,SSER*ZEROBV
-1582.34853514211,ZEROAC*SSRI
-2.21560107770919,ZEROAC*ZERODP
0.169373388216057,ZEROAC*ZEROCA
8.78270854633012,ZEROAC*SSCG
2.34942420094291,ZEROAC*SSBO
-0.596012285245083,ZEROAC*ZEROBL
3.03653275256474,ZEROAC*SSBA
-0.752170616958988,SSAC*ZERORI
-10.7279372635833,SSAC*ZERODP
-0.57914320976808,SSAC*ZEROBH
2.31968728871898,SSAC*SSBO
4.76788232039489,ZERORI*SSCH
3.18323370952747,ZERORI*SSCA
-0.309449815347957,ZERORI*ZEROBU
3.04373380866969,ZERORI*ZERODF
80.6934331017282,SSRI*SSCA
-2.43298958008364,SSRI*ZEROPC
5.85454110798307,SSRI*SSPJ
8.58973853321495,SSRI*SSDF
-0.183042344660524,ZERODP*ZERODF
-11.6359192698879,ZERODP*SSDF
-10.9456173575258,SSDP*ZERODF
-1.18259475076498,ZEROBH*SSCG
-2.37356545067146,ZEROPJ*SSBP
-3.86596038375827,ZEROCG*SSBY
468.162883185821,SSDF*SSBA
