Parameter,Factor
4.84758762607093,ZEROER
13.4919293255139,SSER
7.90508649948818,SSFP
6.67567325390997,ZEROCC
3.50099446921194,SSCC
0.464953867078222,ZERORI
32.433849883082,SSRI
-3.1403357981867,ZEROER*ZEROFP
-0.444550484363963,ZEROER*ZEROCC
-1.38193165537196,ZEROER*ZERORI
-20.0601286599778,ZEROER*SSRI
13.2702664129337,ZEROER*SSEL
19.9753893154436,ZEROER*SSDP
1.08429400009802,ZEROER*SSCA
8.46790410977566,ZEROER*ZEROPJ
-0.161787474018112,ZEROER*ZERODL
-3.56489500034116,ZEROER*SSDL
3.40257099550339,ZEROER*SSBU
-1.3953361163605,ZEROER*ZEROBV
-1.94922088446673,ZEROER*SSBV
-0.869512708843161,ZEROER*SSBC
1.96965794462238,ZEROER*SSDF
-0.70749800783528,ZEROER*ZEROBL
-3.68478539718415,ZEROER*ZEROBA
-0.038369889518872,SSER*ZEROCC
-1.3093363214152,SSER*ZERORI
0.644957059174186,SSER*SSEL
23.9597829270733,SSER*SSCH
0.368297579179957,SSER*ZERODP
34.3011384029859,SSER*SSDP
12.1419755812582,SSER*SSBH
10.6018975534627,SSER*SSCA
-7.51694974340319,SSER*ZEROPC
-1.71686856050628,SSER*SSPJ
7.93385377624895,SSER*SSCG
-6.27978430196969,SSER*SSBT
-1.1133648130265,SSER*ZEROBU
-9.30415269463734,SSER*ZEROBV
-4.1366559974808,SSER*ZEROBL
-0.374984131378636,SSER*ZEROBP
1.45963401539592,ZEROFP*SSCC
1.10304997529693,ZEROFP*ZERODP
-0.67262466284538,ZEROFP*SSBH
-0.22601826572833,ZEROFP*ZEROCG
-11.640818676958,SSFP*SSCC
3117.33494325457,SSFP*SSRI
2.56143326361209,SSFP*ZEROPJ
-2.99257716168537,ZEROCC*ZERODP
-2.05151779076957,ZEROCC*SSCA
6.35044447260738,ZEROCC*SSPJ
-0.265692745605975,ZEROCC*ZERODL
-2.40824397709438,ZEROCC*SSDL
11.7358057403328,ZEROCC*SSBO
-1.63071406558345,ZEROCC*ZEROBT
0.506281903343868,ZEROCC*SSBU
-6.59826677728448,ZEROCC*SSBL
0.791245083236661,SSCC*SSCH
0.093977715602043,SSCC*ZEROBH
-0.469337207772219,SSCC*ZEROCG
-2.62249042686563,SSCC*ZEROBT
-1.98151178541242,SSCC*SSBC
2.78255920779474,SSCC*ZEROBY
1.84260347233992,SSCC*SSDF
-2.51481321893551,SSCC*SSBA
9.13219437922467,ZERORI*SSCH
1.23205117083372,ZERORI*SSBH
3.71455762641811,ZERORI*SSCA
1.04060879697227,ZERORI*ZEROPJ
-0.557416294170981,ZERORI*SSDL
-0.623774194566634,ZERORI*ZEROBF
-0.791199934853723,ZERORI*SSBU
-0.387860838784929,ZERORI*SSBV
-0.0654880657307887,ZERORI*SSBC
-0.483074997666352,ZERORI*ZEROBY
-1.70072450997551,ZERORI*SSBY
1.1343069777594,ZERORI*SSDF
0.988450157703085,SSRI*ZEROEL
6.5468195643182,SSRI*ZERODP
103.038859507588,SSRI*SSCA
-8.74841902153263,SSRI*ZEROPC
26.4245248921979,SSRI*SSPJ
-10.4023350324484,SSRI*SSBU
-5.64161341800266,SSRI*ZEROBV
42.9924305900656,SSRI*SSDF
-14159.4601985998,ZEROCH*SSBH
-3.62249264619397,ZEROCH*SSCG
-2.7687016427386,ZEROCH*ZEROBY
-7.50384134078852,SSCH*ZEROBY
-0.555201821545712,ZERODP*ZEROBY
-3.05305246842674,ZEROBH*ZEROCA
-1.90029023051209,ZEROBH*ZEROBV
-3.43194542883088,ZEROCA*SSBY
2.13316394642318,ZEROPJ*ZEROBA
-239.061461460452,SSPJ*SSBY
-2.73496379075495,ZEROCG*ZEROBY
-1.29688582279436,ZEROCG*SSBY
-0.518595903755112,ZEROBF*SSBT
-2.19567468830646,ZEROBU*ZEROBY
-0.223539866934499,ZEROBU*SSBY
-0.0254119163027809,ZEROBU*ZERODF
