Parameter,Factor
4.6922362706926,ZEROER
13.5362684799141,SSER
5.35649635528331,SSFP
0.890063102652314,ZERORI
30.4584829735763,SSRI
-2.94293831251451,ZEROER*ZEROFP
-2.8657587235904,ZEROER*ZERORI
-13.0447125527928,ZEROER*SSRI
3.8313752527179,ZEROER*SSEL
15.7283581751246,ZEROER*SSDP
5.96155701914736,ZEROER*ZEROPJ
-1.61425622032799,ZEROER*ZEROBV
-1.29050476206699,ZEROER*SSBY
-0.806104721064909,ZEROER*ZEROBL
-2.03862298051037,ZEROER*ZEROBA
2.10607218071069,SSER*SSEL
6.46112386268616,SSER*SSCH
37.6242941277531,SSER*SSDP
8.02867047691924,SSER*SSBH
3.07911983967288,SSER*SSCA
-5.24826102757844,SSER*ZEROPC
4.27630230911943,SSER*SSCG
-0.607430404255016,SSER*SSBT
-10.0262007909602,SSER*ZEROBV
0.0954614985867326,ZEROFP*ZERODP
2552.50928013234,SSFP*SSRI
0.748250477480312,ZERORI*SSDF
13.5896970766702,SSRI*SSCH
2.6706076064641,SSRI*ZERODP
108.589282801828,SSRI*SSCA
-3.94142329145358,SSRI*ZEROPC
17.9202519801005,SSRI*SSPJ
35.1989117779649,SSRI*SSDF
-11410.484355666,ZEROCH*SSBH
-4.37692718322309,ZEROCG*SSBY
