Parameter,Factor
10.8035700919458,ZEROER
11.0829017441524,SSER
14.126033311162,SSFP
-8.42646459109715,ZEROER*ZEROFP
81.1165524064417,ZEROER*SSFP
6.56239232387523,ZEROER*SSEL
-0.623119889110391,ZEROER*SSBH
5.21096157360445,ZEROER*SSCA
18.2231815576408,ZEROER*ZEROPJ
-3.51195123454901,ZEROER*ZERODL
-4.07823525957636,ZEROER*SSDL
-2.59078556737079,ZEROER*SSBO
-1.44297408147172,ZEROER*SSBT
7.56839377671101,ZEROER*SSBU
-0.480601112773461,ZEROER*ZEROBV
-6.84897453534126,ZEROER*SSBV
-2.37272641254327,ZEROER*SSBC
-1.04908924303007,ZEROER*ZEROBY
-1.25457949357733,ZEROER*SSBY
1.66661777943417,ZEROER*SSDF
-8.77487810812721,ZEROER*ZEROBL
-8.82096384080783,ZEROER*ZEROBA
32.662284372471,SSER*SSCH
55.9032011040934,SSER*SSDP
13.8512788839296,SSER*SSBH
0.347940273127205,SSER*SSCA
-11.4783664845414,SSER*ZEROPC
-33.6169596701573,SSER*SSPJ
5.21476387043706,SSER*SSCG
-13.9070030385302,SSER*SSBT
-4.80970234079819,SSER*ZEROBU
-6.92562969265154,SSER*ZEROBV
-0.336370526207229,SSER*ZEROBL
-7.81118740932838,SSER*ZEROBP
4.65643597821205,ZEROFP*ZERODP
-0.719109498498759,ZEROFP*ZEROBH
1.48848899047171,ZEROFP*SSCA
-0.4493784144481,ZEROFP*ZEROBY
19.5480046583211,SSFP*ZEROPJ
-2.06090356288579,SSFP*ZERODL
20.3902490602,SSFP*ZEROBF
-97.8534741490543,SSFP*SSBY
10.8729095926838,SSFP*ZERODF
-0.267616637079297,ZEROEL*ZEROPJ
-7.20718389524852,SSCH*SSCG
-7.44728799028863,ZEROBH*ZEROBV
-214.20983175961,SSBH*ZEROBV
-0.865728891598936,ZEROCA*SSBY
-14.4423809912045,ZEROCG*SSBY
1.50674993151739,ZEROBT*SSBC
1.92398928433056,ZEROBV*ZEROBC
