Parameter,Factor
11.6868240091491,ZEROER
8.89396930131479,SSER
2.67826396369001,ZERORI
32.0459925249511,SSRI
-53.3167292014911,ZEROER*SSRI
3.41891888318531,ZEROER*SSEL
1.99401216397439,ZEROER*SSDP
4.58146883833029,ZEROER*SSBH
1.00357011764642,ZEROER*SSCA
11.206115572386,ZEROER*ZEROPJ
-2.85988230896773,ZEROER*ZERODL
-4.75335117763642,ZEROER*SSDL
-1.93108436792499,ZEROER*SSBO
-3.9586786849713,ZEROER*SSBT
2.04833686540497,ZEROER*SSBU
-5.39884863195117,ZEROER*ZEROBV
-3.30030461084314,ZEROER*SSBV
-2.89623295871601,ZEROER*SSBC
-0.185222222307718,ZEROER*ZEROBY
1.18891918635038,ZEROER*ZERODF
0.064408067243463,ZEROER*SSDF
-7.08116594273404,ZEROER*ZEROBL
-5.62290899311217,ZEROER*ZEROBA
-2.16948657464421,ZEROER*SSBA
-5.51809598841951,SSER*ZERORI
28.0131806068714,SSER*SSCH
17.8576434561559,SSER*SSBH
9.02533407847943,SSER*SSCA
-9.88109917450522,SSER*ZEROPC
-13.818965694167,SSER*SSPJ
3.69980144206218,SSER*SSCG
-6.87997314896753,SSER*SSBT
-2.41029842090041,SSER*ZEROBU
-4.8083463254513,SSER*ZEROBV
-0.302620536162297,SSER*ZEROBL
-6.33723971153869,SSER*ZEROBP
10.2516666141723,ZERORI*SSCH
1.59319705151463,ZERORI*ZERODP
15.823386075019,ZERORI*SSCA
0.370878517911804,ZERORI*SSPC
0.339315870382105,ZERORI*ZEROPJ
-0.889177491858234,ZERORI*ZERODL
-0.795721565032488,ZERORI*SSDL
-0.881225644496587,ZERORI*ZEROBF
-0.190597062914239,ZERORI*SSBF
-4.8116174741855,ZERORI*ZEROBU
-1.29707604109472,ZERORI*SSBV
-1.77881037860434,ZERORI*SSBY
-0.370746164651781,ZERORI*ZEROBL
1.31523014642642,ZERORI*ZEROBP
1.48684824897229,SSRI*ZEROEL
2.64951604618278,SSRI*ZERODP
2.389084186606,SSRI*ZEROBH
40.5105042201232,SSRI*SSCA
-11.6679532311835,SSRI*ZEROPC
30.6569969690055,SSRI*SSPJ
-6.45614944562766,SSRI*SSBO
-80.8181984853772,SSRI*SSBT
-12.8151926892508,SSRI*ZEROBV
-199.827939325326,SSRI*SSBC
56.9718949596244,SSRI*SSDF
-0.503862441921926,SSRI*ZEROBL
-106.926447040526,SSRI*SSBP
-145.991082333328,SSRI*ZEROBA
-4.17881085396962,ZEROEL*SSCA
-9.3184888638935,SSEL*ZEROCA
-3.93243948986772,ZEROBH*ZEROBV
-136.33771238342,SSBH*ZEROBV
-16.199724583094,ZEROCG*SSBY
-1.78580857113211,ZEROBU*ZEROBY
