Parameter,Factor
0.108604605256329,ZEROFP
11.3881985414114,SSFP
11.0981781019932,ZEROCC
2.04178801634303,SSCC
1.02524280446807,ZEROFP*SSCC
0.260872385583878,ZEROFP*SSCA
5.56642421013951,SSFP*ZEROPJ
0.966108397700448,SSFP*ZEROBF
-3.61763776773355,ZEROCC*ZERODP
9.12600117811151,ZEROCC*SSBO
-4.75028187587054,ZEROCC*ZEROBT
-9.03902106817994,ZEROCC*SSBL
2.96401694737695,SSCC*SSPJ
-0.259899858005419,SSCC*ZEROBT
1.9963215896455,SSCC*ZEROBY
-4.63800983389222,SSCC*SSBA
-0.284539036728032,ZEROBH*ZEROCA
-0.272927321911062,ZEROBH*SSCA
-6.70833019017221,ZEROBH*ZEROBY
2.32022966617111,ZEROPJ*ZEROBA
-304.432860399891,SSPJ*SSBY
-2.03206053634518,ZEROBF*SSBL
