,Param,Variable
0,3.1342386350021876,ER
1,28.84749658607867,ER OD
2,0.23332695038723458,FP
3,0.0,FP OD
4,32.171513417860496,AC
5,-0.0,AC OD
6,5.60772669043129,CC
7,16.186739157726016,CC OD
8,1.6274026211328398,RI
9,43.071593399309386,RI OD
10,0.0,FP OD*PC OD
11,-0.0,FP*PC
12,0.0,FP OD*PC
13,0.0,FP*PC OD
14,0.0,FP OD*PJ OD
15,0.0,FP*PJ
16,0.0,FP OD*PJ
17,0.0,FP*PJ OD
18,-0.0,FP OD*BV OD
19,-0.0,FP*BV
20,-0.0,FP OD*BV
21,-0.0,FP*BV OD
22,0.0,FP OD*BF OD
23,-0.0,FP*BF
24,0.0,FP OD*BF
25,-0.0,FP*BF OD
26,0.0,FP OD*BO OD
27,-0.0,FP*BO
28,0.0,FP OD*BO
29,-0.0,FP*BO OD
30,0.0,FP OD*BT OD
31,0.09575139987484718,FP*BT
32,0.0,FP OD*BT
33,-0.0,FP*BT OD
34,-0.0,FP OD*BC OD
35,0.0,FP*BC
36,-0.0,FP OD*BC
37,-0.7680126630386938,FP*BC OD
38,-0.0,FP OD*BY OD
39,0.08931640467712834,FP*BY
40,0.0,FP OD*BY
41,-0.0,FP*BY OD
42,0.0,FP OD*BU OD
43,0.0,FP*BU
44,0.0,FP OD*BU
45,-0.0,FP*BU OD
46,0.0,FP OD*DP OD
47,0.0,FP*DP
48,0.0,FP OD*DP
49,-0.0,FP*DP OD
50,-0.0,FP OD*BL OD
51,1.6683198856205803,FP*BL
52,-0.0,FP OD*BL
53,-0.0,FP*BL OD
54,0.0,FP OD*BA OD
55,-1.2900982877385865,FP*BA
56,0.0,FP OD*BA
57,-0.0,FP*BA OD
58,-0.0,FP OD*BP OD
59,-0.7104939350824905,FP*BP
60,-0.0,FP OD*BP
61,-0.0,FP*BP OD
62,-0.0,FP OD*CA OD
63,-0.0,FP*CA
64,-0.0,FP OD*CA
65,0.0,FP*CA OD
66,-0.0,FP OD*EL OD
67,0.0,FP*EL
68,-0.0,FP OD*EL
69,1.0523339294544825,FP*EL OD
70,0.0,CH OD*FP OD
71,-1.24931907501313,CH*FP
72,-0.0,CH OD*FP
73,-0.0,CH*FP OD
74,-0.0,AC OD*PC OD
75,0.3279348363469166,AC*PC
76,0.0,AC OD*PC
77,-0.0,AC*PC OD
78,0.0,AC OD*PJ OD
79,0.0,AC*PJ
80,-0.0,AC OD*PJ
81,0.0,AC*PJ OD
82,-0.0,AC OD*BV OD
83,0.0,AC*BV
84,-0.0,AC OD*BV
85,-0.0,AC*BV OD
86,-0.0,AC OD*BF OD
87,-0.0059992041282857555,AC*BF
88,-0.0,AC OD*BF
89,-6.218495506310467,AC*BF OD
90,0.0,AC OD*BO OD
91,0.0,AC*BO
92,0.0,AC OD*BO
93,0.0,AC*BO OD
94,-0.0,AC OD*BT OD
95,-0.0,AC*BT
96,-0.0,AC OD*BT
97,-0.30111504199191913,AC*BT OD
98,-0.0,AC OD*BC OD
99,1.1107254250233334,AC*BC
100,-0.0,AC OD*BC
101,-0.0,AC*BC OD
102,0.0,AC OD*BY OD
103,0.0,AC*BY
104,-0.0,AC OD*BY
105,-0.0,AC*BY OD
106,-0.0,AC OD*BU OD
107,1.80354856596504,AC*BU
108,0.0,AC OD*BU
109,-0.0,AC*BU OD
110,-0.0,AC OD*DP OD
111,-10.267772319702889,AC*DP
112,-0.0,AC OD*DP
113,-0.0,AC*DP OD
114,-0.0,AC OD*BL OD
115,0.0,AC*BL
116,-0.0,AC OD*BL
117,-0.0,AC*BL OD
118,0.0,AC OD*BA OD
119,0.0,AC*BA
120,-0.0,AC OD*BA
