,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77976,1.1664e-06,1.1587,0,0,0,0.94,1.0086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,47.75269409084977
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85811,0.5603,0.0024048000000000003,0,0,0,0.6179399999999999,0.085012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,31.189411847354247
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0708,6.0623e-05,0.17638,0,0,0,0.83716,0.093829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,32.76387051603416
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49321000000000004,0.07332000000000001,0.0016577999999999999,0,0,0,0.64464,1.0933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,35.77384707029132
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68376,6.0667e-08,0.1948,0,0,0,1.1443,0.05316799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,33.51869361115954
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2784,0.029979000000000002,0.99723,0,0,0,1.0788,3.9412e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,42.95420711865828
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1535,1.4331999999999999e-06,0.065463,0,0,0,0.85444,0.36846999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,32.45115798981036
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1787,0.23101999999999998,0.65718,0,0,0,0.6691199999999999,0.049293000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,37.72569883448306
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87579,2.3589e-09,2.4115999999999997e-05,0,0,0,1.2275,0.28359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,31.903539952641726
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1725,0.004518199999999999,5.1710000000000004e-08,0,0,0,0.33173,0.77854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,33.28636981374482
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2409,0.00014806,0.00014335,0,0,0,0.6963,2.0338999999999997e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,30.132453626974602
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92668,0.00016426,0.19403,0,0,0,0.56115,0.81286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,36.0221904596447
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1177,1.1505e-05,0.024482,0,0,0,0.85196,0.20572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,31.428719580027916
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7945399999999999,0.00020167,0.31548000000000004,0,0,0,1.0070000000000001,0.071135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,34.72427144047425
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1019,0.0011417999999999999,2.6888999999999998e-06,0,0,0,0.8526299999999999,0.11769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,30.843510223188357
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1671,0.07762100000000001,0.20192000000000002,0,0,0,0.00020899,0.20886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,33.318520024554346
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90728,1.9943e-08,0.00028706,0,0,0,0.7147,0.28767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,31.86466950937745
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0253,0.55365,0.058945000000000004,0,0,0,1.311,0.002369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,31.18868680618783
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95462,1.0444e-08,0.16842000000000001,0,0,0,0.7391800000000001,0.010793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,32.56514637017527
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88661,0.46591000000000005,0.18165,0,0,0,0.78478,0.3679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,34.22637304036138
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91375,8.4037e-08,0.6829999999999999,0,0,0,0.65166,0.59702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,40.629156156468895
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9758700000000001,1.4009999999999999e-10,1.5924e-06,0,0,0,0.88059,0.2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,31.417628124893753
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9076,0.00011699,0.18969,0,0,0,0.77462,0.098228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,33.22748525024566
