,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0621,0,0.0031116,1.1889e-06,0,0.9404899999999999,0.088994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,41.33574819803091
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0011,0,1.3453e-08,0.013319,0,0.55033,0.84782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.93284799542388
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0426,0,0.077162,0.0020120999999999997,0,0.30096999999999996,0.69962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.767722818285606
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88016,0,1.0856999999999998e-06,1.6472e-05,0,0.36173,0.81061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.262605441578394
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72049,0,0.09383899999999999,0.0030443000000000002,0,0.063181,1.1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.349429498936665
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36329,0,0.3167,0.38106999999999996,0,0.010204000000000001,0.99735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,43.76881884432518
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1385,0,0.0022819000000000003,0.0089684,0,0.64925,0.8583799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,40.189950726505955
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9329,0,0.45833,0.30119,0,0.45526000000000005,0.66086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,46.17707012960863
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9875700000000001,0,1.2451e-07,0.0086947,0,0.21386,1.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,38.64248475058767
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2101,0,8.5398e-08,0.19187,0,0.61564,0.80095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,40.82688533621041
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1457,0,0.0013702999999999999,0.18087,0,0.15912,0.7168899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.111446715131635
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3319,0,7.942000000000001e-09,9.920700000000002e-09,0,1.161,0.8464799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,41.8944975096929
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0269,0,0.0004351,6.1828e-10,0,0.24181999999999998,0.87441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,38.677391311043785
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1295,0,0.010272,0.010505,0,0.37936,0.69434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.268383235639675
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0144,0,1.0051000000000002e-08,0.00015662,0,0.23708,0.95281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,38.66651874626471
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0145,0,0.08536,1.3199e-06,0,0.70524,0.052537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,41.41600895610481
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1352,0,1.7853e-05,5.851e-08,0,0.5373100000000001,0.47286000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.69912554765832
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9163600000000001,0,0.10855,0.052197,0,0.38329,0.80604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,40.786767718371024
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98866,0,0.075914,5.7954e-06,0,0.085577,0.74892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,38.97320433366207
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96631,0,0.00015592,1.2233e-09,0,0.5431199999999999,0.77782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.87649389628815
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9392,0,5.383e-07,4.2028000000000005e-05,0,0.68942,0.8812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,40.45660290979929
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86213,0,1.4424000000000001e-05,9.282699999999999e-10,0,0.36712,0.69213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.29960738992487
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89365,0,0.0054043,0.011772,0,0.44135,1.0196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.66974480861404
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78028,0,2.7376e-07,0.0029505,0,0.26893,0.8875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.01389748013944
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9653799999999999,0,5.471699999999999e-07,0.25118,0,0.6398699999999999,0.54267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,41.41937857562409
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1179999999999999,0,0.026978,5.9239e-08,0,0.15214,0.5980800000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,38.554025597973066
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9438200000000001,0,2.9921999999999995e-07,0.010201,0,0.28973000000000004,0.84052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,38.97820483971963
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63959,0,0.5485300000000001,8.0643e-06,0,0.09067,0.87026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,44.669205395214256
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,2.8851e-05,2.0709e-06,0,0.25226,0.9194100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,38.7006221377634
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9204,0,3.2106000000000002e-06,1.2204e-07,0,0.59106,0.86506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,40.09906012769411
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8962399999999999,0,0.00080154,1.4137e-05,0,0.34515999999999997,0.70965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.19395203945833
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8942899999999999,0,0.00021789,0.00025202,0,0.28203,0.9418700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,38.94986804390726
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58338,0,0.015019999999999999,1.8268e-06,0,0.18842,0.9497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.04305273959946
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90805,0,8.028e-06,0.038693,0,0.28053,1.1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.10914854306149
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1492,0,0.034281,0.00028017,0,0.5223300000000001,0.70332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,40.0191714159665
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0463,0,8.3024e-05,1.5202000000000001e-05,0,0.10826,1.0704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,38.14731661724961
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9929899999999999,0,4.2176999999999994e-06,1.4174e-08,0,0.23917,0.95725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,38.693273004297694
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8074100000000001,0,1.2648e-06,0.00025507,0,0.41836999999999996,0.7444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.54556788118751
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80042,0,0.58655,0.14175,0,0.22330999999999998,0.61057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,46.12226986918889
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77396,0,0.027717000000000002,0.21185,0,0.25278,1.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,40.2500248046845
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9859,0,0.0059654,0.00033443,0,0.13928,0.8928200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,38.38857368997941
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0255,0,0.06667999999999999,0.00095845,0,0.53813,0.74946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,40.562432466046644
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.087,0,2.9825e-09,5.7455e-05,0,0.70353,0.11110999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,40.37589800259326
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1658,0,0.5724899999999999,3.3177e-08,0,0.7421300000000001,0.30132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,46.942311161841765
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0523,0,1.1258999999999998e-08,0.0048798999999999995,0,0.22016,0.69206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,38.58971566755835
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96995,0,0.43743999999999994,1.9315e-05,0,0.22336,0.64751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,43.61419049648908
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98749,0,0.006540600000000001,1.8184e-09,0,0.70391,0.63367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,40.54178919999273
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3063,0,0.019691,2.0749000000000002e-06,0,0.62092,0.31573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,40.084840469873924
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0374,0,0.20656999999999998,0.0019621,0,0.69266,0.27245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,42.73084319773526
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9011299999999999,0,3.1349e-07,5.8535e-05,0,0.26429,0.85575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,38.87273022680265
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0984,0,0.00055452,2.1043e-08,0,0.78922,0.29139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,40.69778927097454
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2468,0,0.012651,3.2457e-07,0,0.45352,0.60429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.42180980415702
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0416,0,1.6074000000000003e-09,0.19548,0,0.46705,0.7916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,40.431382060276896
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92619,0,1.9935e-05,0.28591,0,4.16e-06,0.90136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.18163624574175
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.012,0,0.1159,0.07359299999999999,0,7.8827e-05,1.3483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,39.424214540835735
