,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0481,0,0.022616,8.4857e-06,1.6444999999999999e-06,0.81258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,39.519265968013784
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1319,0,2.4184e-05,2.2227e-06,2.2485e-05,0.94076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,39.64647282101932
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1043,0,0.010795,7.5218e-06,4.4791000000000005e-05,0.7822600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,39.20021929757573
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.055,0,0.17451,0.00046728,1.8025e-09,0.7189300000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,40.87799182718209
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2003,0,0.0015312000000000001,6.0345e-07,1.2622e-08,0.87395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,39.32299116073037
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2239,0,0.060949,8.3117e-09,1.0984e-06,0.73211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,39.42713754549335
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986,0,0.026572000000000002,2.7894e-05,0.00021061,0.73039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,39.19222765761208
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1118,0,0.32833,7.1024e-07,0.00040796,0.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,42.59212004381456
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2163,0,0.10649000000000002,0.0010402999999999999,1.1914999999999999e-07,0.71744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,39.90090728455402
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2194,0,5.043e-08,0.057884000000000005,4.4648e-06,0.8933399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,39.56310871407376
