,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0.29889,0,0,0,0,0,0,0,0.93619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
1,0,0,0,0,0,0,0,0,0,0.22532,0,0,0,0,0,0,0,1.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
2,0,0,0,0,0,0,0,0,0,0.0051576,0,0,0,0,0,0,0,0.82736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
3,0,0,0,0,0,0,0,0,0,0.0027035,0,0,0,0,0,0,0,1.0952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
4,0,0,0,0,0,0,0,0,0,0.3716,0,0,0,0,0,0,0,0.9065799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
5,0,0,0,0,0,0,0,0,0,0.23015,0,0,0,0,0,0,0,1.0919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
6,0,0,0,0,0,0,0,0,0,0.18597,0,0,0,0,0,0,0,1.1506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
7,0,0,0,0,0,0,0,0,0,0.26166999999999996,0,0,0,0,0,0,0,1.0937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
8,0,0,0,0,0,0,0,0,0,0.22794,0,0,0,0,0,0,0,0.88134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
9,0,0,0,0,0,0,0,0,0,3.6262e-08,0,0,0,0,0,0,0,1.1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
10,0,0,0,0,0,0,0,0,0,0.37535,0,0,0,0,0,0,0,1.0197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
11,0,0,0,0,0,0,0,0,0,7.4919e-09,0,0,0,0,0,0,0,1.1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
12,0,0,0,0,0,0,0,0,0,0.31093000000000004,0,0,0,0,0,0,0,0.77385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
13,0,0,0,0,0,0,0,0,0,0.2624,0,0,0,0,0,0,0,0.9215200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
14,0,0,0,0,0,0,0,0,0,0.21589,0,0,0,0,0,0,0,1.2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
15,0,0,0,0,0,0,0,0,0,0.24583000000000002,0,0,0,0,0,0,0,0.9571799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
16,0,0,0,0,0,0,0,0,0,0.046524,0,0,0,0,0,0,0,0.8990299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
17,0,0,0,0,0,0,0,0,0,0.024834000000000002,0,0,0,0,0,0,0,1.0322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
18,0,0,0,0,0,0,0,0,0,4.0954e-05,0,0,0,0,0,0,0,0.8995200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
19,0,0,0,0,0,0,0,0,0,0.040815,0,0,0,0,0,0,0,1.1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
20,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0.9337200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
21,0,0,0,0,0,0,0,0,0,8.4081e-06,0,0,0,0,0,0,0,0.99031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.135524605135323
