,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2001,0,0,2.5436e-05,0,0,0.97669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,34.164813912619785
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1958,0,0,0.16004000000000002,0,0,0.79504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,34.91562884454232
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96029,0,0,0.13382,0,0,0.7518100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,34.902226777706375
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9376200000000001,0,0,0.0055007,0,0,0.72492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,34.312252707340036
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71302,0,0,0.0048953,0,0,1.0922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,34.4136558491277
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78061,0,0,0.0036904000000000004,0,0,0.9196200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,34.3766489558259
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.127,0,0,0.14255,0,0,0.56785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,34.865710870187954
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1602,0,0,0.17325,0,0,0.5603600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,34.993969472083045
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.001,0,0,0.09998,0,0,1.0355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,34.72497251096779
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1141,0,0,0.46274,0,0,0.72334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,36.3700891838049
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1414,0,0,0.3066,0,0,0.81395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,35.62673179328438
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0501,0,0,2.1129e-09,0,0,1.0399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,34.234309468366334
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97757,0,0,2.5121e-07,0,0,0.92848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,34.26797160329135
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0292,0,0,0.031948000000000004,0,0,1.0290000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,34.39351597741914
