,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.046,0,0,6.6361e-05,2.2048e-06,0.80169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.79403632917167
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1319,0,0,9.242299999999999e-07,2.4033000000000002e-05,0.94078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,40.40174882307264
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1005,0,0,1.5499000000000002e-05,6.1792e-05,0.7763800000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.6278795487737
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.015,0,0,0.00011079,1.4473e-09,0.83183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.9658645692208
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2001,0,0,4.5196000000000003e-07,8.981899999999999e-09,0.8744200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,40.0232339209463
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2507,0,0,1.1505000000000001e-08,8.430400000000001e-07,0.7337199999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.29766544324844
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0883,0,0,1.5759e-05,1.2383e-05,0.7569600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.54221968078591
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1849,0,0,1.6949000000000002e-07,2.714e-05,0.71812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.27542917248613
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2281,0,0,0.0019294,6.4406e-08,0.7852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.57334676313844
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2197,0,0,0.05637,4.3959e-06,0.8943399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,40.30651422392526
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0005,0,0,0.033072000000000004,5.7959e-07,0.7560100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.72677330650988
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.385,0,0,0.00044924,3.6972999999999996e-08,0.91733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,40.08432692663081
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1022,0,0,8.5421e-08,3.4731e-07,0.8937700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,40.19647685696614
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2864,0,0,0.009648299999999999,7.3128e-08,0.9340299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,40.27821211074972
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1441,0,0,2.7756e-06,1.186e-08,0.94463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,40.41014834734248
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0359,0,0,0.00051032,5.2458000000000005e-05,0.72952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.45359456420017
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0454,0,0,1.4535e-06,1.1067000000000001e-05,0.65705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.090578957193486
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1844,0,0,2.9728e-07,5.960399999999999e-10,0.83586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.8482615130896
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2172,0,0,0.0037339,1.5825e-08,0.70392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.193069596063566
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.089,0,0,9.5994e-06,1.2792999999999998e-07,0.89602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,40.218117321053036
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1936,0,0,4.2585e-05,5.311000000000001e-10,0.8411299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.86662899838799
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9888899999999999,0,0,8.563799999999999e-09,8.4761e-06,0.80652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.86355735106621
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.186,0,0,4.5456999999999995e-05,4.6956e-06,0.8249200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.79398736735623
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1949,0,0,5.680199999999999e-06,6.0126000000000005e-09,0.76027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.471942017662556
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0516,0,0,3.5708000000000004e-08,6.726600000000001e-07,0.73085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.44450185345772
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0855,0,0,2.3728000000000003e-09,5.2986999999999995e-09,0.63334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,38.942576224592
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0228,0,0,0.0045522,0.08078400000000001,0.9237299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,42.0691750675521
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2955,0,0,3.9567e-08,5.424100000000001e-09,1.0292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,40.69941704046719
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.109,0,0,0.00020839,1.1479000000000001e-07,0.9281799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,40.35918284294781
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0058,0,0,8.773400000000001e-10,9.2914e-05,0.78873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.76504563578404
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0383,0,0,1.7252e-06,1.4243e-06,0.92605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,40.405205124927875
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3115,0,0,1.1407e-06,1.8316e-09,0.9993799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,40.54137933677446
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1712,0,0,5.0466e-07,0.00014077,0.79122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.64455213116746
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1307,0,0,1.4709e-06,7.7032e-08,0.9187799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,40.29516883762794
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0813,0,0,6.9195e-05,7.9688e-05,0.75254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.52792675074089
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2858,0,0,0.00021547,1.9428e-09,0.85324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.851715105575174
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1008,0,0,0.0016657,3.7268e-06,0.81295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.8103374083754
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9149200000000001,0,0,2.9066999999999998e-08,4.4372999999999996e-08,0.82176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,39.99729414796687
