,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057638,0,1.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,32.636623875225446
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6204e-08,0,1.1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,32.636623875225446
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6042000000000001e-09,0,0.8240700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,32.636623875225446
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0164e-10,0,1.0963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,32.636623875225446
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012649,0,1.1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,32.636623875225446
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3808000000000004e-09,0,1.1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,32.636623875225446
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.031300000000001e-07,0,1.1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,32.636623875225446
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8732e-08,0,1.3241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,32.636623875225446
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037533,0,1.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,32.636623875225446
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4593999999999994e-05,0,1.1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,32.636623875225446
