,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0.35871,0,0,0,0,0,1.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
1,0,0,0,0,0,0,0,0,0,0,0,0.35991999999999996,0,0,0,0,0,1.0716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
2,0,0,0,0,0,0,0,0,0,0,0,0.50145,0,0,0,0,0,0.8262700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
3,0,0,0,0,0,0,0,0,0,0,0,0.34191,0,0,0,0,0,1.0255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
4,0,0,0,0,0,0,0,0,0,0,0,0.39052,0,0,0,0,0,1.1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
5,0,0,0,0,0,0,0,0,0,0,0,0.314,0,0,0,0,0,1.0226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
6,0,0,0,0,0,0,0,0,0,0,0,0.35285,0,0,0,0,0,0.90695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
7,0,0,0,0,0,0,0,0,0,0,0,0.32747,0,0,0,0,0,1.2262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
8,0,0,0,0,0,0,0,0,0,0,0,0.5744100000000001,0,0,0,0,0,0.85895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
9,0,0,0,0,0,0,0,0,0,0,0,0.44271000000000005,0,0,0,0,0,1.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
10,0,0,0,0,0,0,0,0,0,0,0,0.44833,0,0,0,0,0,0.8528399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
11,0,0,0,0,0,0,0,0,0,0,0,0.33553,0,0,0,0,0,1.1796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
12,0,0,0,0,0,0,0,0,0,0,0,0.43531000000000003,0,0,0,0,0,1.0975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
13,0,0,0,0,0,0,0,0,0,0,0,0.12272999999999999,0,0,0,0,0,1.0232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
14,0,0,0,0,0,0,0,0,0,0,0,0.25104,0,0,0,0,0,0.8597600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
15,0,0,0,0,0,0,0,0,0,0,0,0.12885,0,0,0,0,0,1.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
16,0,0,0,0,0,0,0,0,0,0,0,0.35058,0,0,0,0,0,0.8421299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
17,0,0,0,0,0,0,0,0,0,0,0,0.36098,0,0,0,0,0,1.0132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
18,0,0,0,0,0,0,0,0,0,0,0,0.5899,0,0,0,0,0,0.86339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
19,0,0,0,0,0,0,0,0,0,0,0,0.22325,0,0,0,0,0,1.3059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
20,0,0,0,0,0,0,0,0,0,0,0,0.19075999999999999,0,0,0,0,0,1.1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
21,0,0,0,0,0,0,0,0,0,0,0,0.34113000000000004,0,0,0,0,0,0.90484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
22,0,0,0,0,0,0,0,0,0,0,0,0.42915,0,0,0,0,0,0.80582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
23,0,0,0,0,0,0,0,0,0,0,0,0.49759,0,0,0,0,0,0.9570299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
24,0,0,0,0,0,0,0,0,0,0,0,0.36707,0,0,0,0,0,1.1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
25,0,0,0,0,0,0,0,0,0,0,0,0.32653000000000004,0,0,0,0,0,0.9670799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
26,0,0,0,0,0,0,0,0,0,0,0,0.21577,0,0,0,0,0,0.8950299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
27,0,0,0,0,0,0,0,0,0,0,0,0.21445999999999998,0,0,0,0,0,1.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
