,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0.42773999999999995,0.37798000000000004,0,0,0,0,1.0251,0,0,0,4.3304e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.141898929279456
1,0,0,0,0,0,0,0,0,0,0,0,0.47063,0.24309,0,0,0,0,1.03,0,0,0,0.00032598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.14915988651679
2,0,0,0,0,0,0,0,0,0,0,0,0.50355,0.14762999999999998,0,0,0,0,0.90355,0,0,0,0.037557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,33.22792696875666
3,0,0,0,0,0,0,0,0,0,0,0,0.42241999999999996,0.32506999999999997,0,0,0,0,0.90312,0,0,0,0.019974000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.73912551236178
4,0,0,0,0,0,0,0,0,0,0,0,0.38573,0.14589000000000002,0,0,0,0,1.1798,0,0,0,0.067855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,33.975544344270816
5,0,0,0,0,0,0,0,0,0,0,0,0.19114,0.33702,0,0,0,0,1.2218,0,0,0,0.030664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.926904669809055
6,0,0,0,0,0,0,0,0,0,0,0,0.36905,0.066933,0,0,0,0,0.9734200000000001,0,0,0,0.015978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.603851481650764
7,0,0,0,0,0,0,0,0,0,0,0,0.32766999999999996,4.3693999999999994e-08,0,0,0,0,1.2267,0,0,0,6.9724e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.07270858460579
8,0,0,0,0,0,0,0,0,0,0,0,0.57055,0.20139,0,0,0,0,0.78458,0,0,0,0.016868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.693480512682015
9,0,0,0,0,0,0,0,0,0,0,0,0.37,1.0807,0,0,0,0,1.1014,0,0,0,0.0057144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.274470481495094
10,0,0,0,0,0,0,0,0,0,0,0,0.47134,0.23163000000000003,0,0,0,0,0.7289800000000001,0,0,0,0.00047038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.25659696405143
11,0,0,0,0,0,0,0,0,0,0,0,0.18964,0.5253399999999999,0,0,0,0,0.88515,0,0,0,0.0040066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.301276991023556
12,0,0,0,0,0,0,0,0,0,0,0,0.5172800000000001,0.17285,0,0,0,0,1.1379,0,0,0,0.00035003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.112757413092275
13,0,0,0,0,0,0,0,0,0,0,0,0.19902,0.12666,0,0,0,0,1.0103,0,0,0,2.3961000000000002e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.14692998359819
14,0,0,0,0,0,0,0,0,0,0,0,0.27891,0.61322,0,0,0,0,0.77557,0,0,0,0.031841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,33.1129462272372
15,0,0,0,0,0,0,0,0,0,0,0,0.0043213999999999995,0.6763,0,0,0,0,0.39535,0,0,0,0.2183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,38.42864243503864
16,0,0,0,0,0,0,0,0,0,0,0,0.39816999999999997,0.3248,0,0,0,0,0.79437,0,0,0,0.090115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,34.72697423125319
17,0,0,0,0,0,0,0,0,0,0,0,0.46428,0.22659,0,0,0,0,1.0174,0,0,0,0.00011683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.14767281825134
18,0,0,0,0,0,0,0,0,0,0,0,0.51517,0.9579799999999999,0,0,0,0,1.1843,0,0,0,1.2114e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.087085453692154
19,0,0,0,0,0,0,0,0,0,0,0,0.38132,0.35928000000000004,0,0,0,0,1.3567,0,0,0,0.049118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,33.393727024412115
20,0,0,0,0,0,0,0,0,0,0,0,0.34568000000000004,0.51585,0,0,0,0,0.92817,0,0,0,5.3963000000000005e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.17658140474312
21,0,0,0,0,0,0,0,0,0,0,0,0.32697,0.40584000000000003,0,0,0,0,0.885,0,0,0,0.0080128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.412733193142664
22,0,0,0,0,0,0,0,0,0,0,0,0.12161,0.67114,0,0,0,0,0.9527700000000001,0,0,0,0.0029851999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.24964159684324
23,0,0,0,0,0,0,0,0,0,0,0,0.59915,0.66592,0,0,0,0,0.48063,0,0,0,0.020513999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.89929696917326
24,0,0,0,0,0,0,0,0,0,0,0,0.3657,0.0017591999999999998,0,0,0,0,1.1049,0,0,0,3.1149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.11522777641991
25,0,0,0,0,0,0,0,0,0,0,0,0.29728000000000004,0.05973,0,0,0,0,1.0016,0,0,0,0.0030833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.23559302023131
26,0,0,0,0,0,0,0,0,0,0,0,0.53195,0.61635,0,0,0,0,0.9042,0,0,0,0.12624000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,35.6938061997437
27,0,0,0,0,0,0,0,0,0,0,0,0.18941,0.019763,0,0,0,0,1.23,0,0,0,0.0082759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.30151767098366
28,0,0,0,0,0,0,0,0,0,0,0,0.30535,0.17578,0,0,0,0,0.9428700000000001,0,0,0,1.0768e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.170060255494775
29,0,0,0,0,0,0,0,0,0,0,0,0.15435,0.39926,0,0,0,0,1.0808,0,0,0,0.0091348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.37666273644709
30,0,0,0,0,0,0,0,0,0,0,0,0.18581,0.18964,0,0,0,0,1.1225,0,0,0,0.00063942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.12609577453224
31,0,0,0,0,0,0,0,0,0,0,0,0.20417000000000002,0.43556999999999996,0,0,0,0,1.1353,0,0,0,0.020295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.66828170136228
32,0,0,0,0,0,0,0,0,0,0,0,0.29436999999999997,0.53063,0,0,0,0,1.245,0,0,0,0.00010449999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.06913329814094
33,0,0,0,0,0,0,0,0,0,0,0,0.44008,0.57196,0,0,0,0,1.1465,0,0,0,0.16741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,36.75541706715575
34,0,0,0,0,0,0,0,0,0,0,0,0.22605999999999998,0.51531,0,0,0,0,0.9155399999999999,0,0,0,0.0085172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.41626693750508
35,0,0,0,0,0,0,0,0,0,0,0,0.42086,0.32541,0,0,0,0,1.15,0,0,0,0.071754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,34.09420638735407
36,0,0,0,0,0,0,0,0,0,0,0,0.35936,0.48768999999999996,0,0,0,0,1.0082,0,0,0,1.7247e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32.148064456435996
37,0,0,0,0,0,0,0,0,0,0,0,0.15738,0.3171,0,0,0,0,1.0919,0,0,0,0.032402999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,33.01989270179439
38,0,0,0,0,0,0,0,0,0,0,0,0.37911999999999996,0.1377,0,0,0,0,1.0781,0,0,0,0.042623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,33.30883239022244
39,0,0,0,0,0,0,0,0,0,0,0,0.038056,0.17326,0,0,0,0,1.1534,0,0,0,0.15596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,36.434644096316504
40,0,0,0,0,0,0,0,0,0,0,0,0.53915,0.069121,0,0,0,0,1.0254,0,0,0,0.1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,37.69772665255402
