,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0.62702,0,0.12077,0,0,0.00026566,0.5776,0.27429000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,36.01621313077233
1,0,0,0,0,0,0,0,0,0,0,0,0.24270999999999998,0,0.25042,0,0,0.010792,1.1719,0.00029313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,35.46967553103998
2,0,0,0,0,0,0,0,0,0,0,0,0.5694,0,0.045827,0,0,0.44037,0.66837,0.1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,35.93273808798635
3,0,0,0,0,0,0,0,0,0,0,0,0.30773,0,0.19893,0,0,0.027402,1.07,0.050941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,35.56338608364426
4,0,0,0,0,0,0,0,0,0,0,0,0.32505,0,3.1506e-06,0,0,1.2195000000000001e-08,1.3661,0.23510999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,35.29108289791189
5,0,0,0,0,0,0,0,0,0,0,0,0.42316000000000004,0,8.8353e-06,0,0,0.0024684,1.0868,0.38909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,35.54793625750342
6,0,0,0,0,0,0,0,0,0,0,0,0.35243,0,0.0011312999999999998,0,0,0.002666,0.91027,5.2687e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,35.710278984208365
7,0,0,0,0,0,0,0,0,0,0,0,0.21363000000000001,0,0.65784,0,0,0.0098049,1.1709,0.063954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,35.47059516354836
8,0,0,0,0,0,0,0,0,0,0,0,0.5729,0,0.14827,0,0,0.04287,0.9164200000000001,0.19592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,35.70462324428181
9,0,0,0,0,0,0,0,0,0,0,0,0.4235,0,2.371e-07,0,0,0.7683399999999999,0.69757,7.5548e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,35.90588481874155
10,0,0,0,0,0,0,0,0,0,0,0,0.58175,0,0.59821,0,0,3.367e-09,0.87116,1.9708000000000003e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,35.74624581161125
11,0,0,0,0,0,0,0,0,0,0,0,0.32843,0,0.27933,0,0,0.011161,0.9988600000000001,0.038391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,35.62880874029067
12,0,0,0,0,0,0,0,0,0,0,0,0.026144999999999998,0,0.12663,0,0,0.76307,0.85214,0.00033335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,35.76373722192071
13,0,0,0,0,0,0,0,0,0,0,0,0.019635,0,0.187,0,0,0.016203,0.92337,0.020738999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,35.698231798348544
14,0,0,0,0,0,0,0,0,0,0,0,0.52249,0,0.28114,0,0,0.80586,0.39943,0.020974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,36.180064054791025
