,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0.70136,0,0,0,0,0,0,0,0,0,0,0.84024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9.452953397908455
1,0,0,0,0,0,0,0,0,0,0,0,0.84216,0,0,0,0,0,0,0,0,0,0,0.9036299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9.761440545598415
2,0,0,0,0,0,0,0,0,0,0,0,6.3725e-09,0,0,0,0,0,0,0,0,0,0,1.7788,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14.020451383961264
3,0,0,0,0,0,0,0,0,0,0,0,0.22801999999999997,0,0,0,0,0,0,0,0,0,0,1.5727,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.017466668092824
4,0,0,0,0,0,0,0,0,0,0,0,0.40744,0,0,0,0,0,0,0,0,0,0,1.4831,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12.581428674197568
5,0,0,0,0,0,0,0,0,0,0,0,0.5715399999999999,0,0,0,0,0,0,0,0,0,0,1.3256,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11.814955638053561
6,0,0,0,0,0,0,0,0,0,0,0,0.48894,0,0,0,0,0,0,0,0,0,0,1.3247,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11.81057579213274
7,0,0,0,0,0,0,0,0,0,0,0,9.3542e-06,0,0,0,0,0,0,0,0,0,0,1.6668,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.475403891592194
8,0,0,0,0,0,0,0,0,0,0,0,0.52128,0,0,0,0,0,0,0,0,0,0,1.5108,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12.71623059864956
9,0,0,0,0,0,0,0,0,0,0,0,0.16724,0,0,0,0,0,0,0,0,0,0,1.7109999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.690502991259272
10,0,0,0,0,0,0,0,0,0,0,0,1.7728e-06,0,0,0,0,0,0,0,0,0,0,1.619,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.242785408241822
11,0,0,0,0,0,0,0,0,0,0,0,0.52351,0,0,0,0,0,0,0,0,0,0,1.0948,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10.691768484135872
12,0,0,0,0,0,0,0,0,0,0,0,1.3578e-07,0,0,0,0,0,0,0,0,0,0,1.6731,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.506062813037953
13,0,0,0,0,0,0,0,0,0,0,0,0.41553,0,0,0,0,0,0,0,0,0,0,1.3384,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11.877246780038599
14,0,0,0,0,0,0,0,0,0,0,0,1.8737000000000003e-09,0,0,0,0,0,0,0,0,0,0,1.683,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.554241118167004
15,0,0,0,0,0,0,0,0,0,0,0,0.60092,0,0,0,0,0,0,0,0,0,0,1.9176,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14.695920954861505
16,0,0,0,0,0,0,0,0,0,0,0,0.38704,0,0,0,0,0,0,0,0,0,0,1.6494,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.390726870456284
17,0,0,0,0,0,0,0,0,0,0,0,0.33044,0,0,0,0,0,0,0,0,0,0,1.3335,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11.853400952247451
18,0,0,0,0,0,0,0,0,0,0,0,6.965600000000001e-09,0,0,0,0,0,0,0,0,0,0,1.7658,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.95718694288271
19,0,0,0,0,0,0,0,0,0,0,0,0.62303,0,0,0,0,0,0,0,0,0,0,1.1469,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10.94531289799684
