,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0.92805,0,0,0,0,0,0,0,0,0.53305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10.708260337463962
1,0,0,0,0,0,0,0,0,0,0,0,0.92111,0,0,0,0,0,0,0,0,0.67174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12.920143506955995
2,0,0,0,0,0,0,0,0,0,0,0,0.57733,0,0,0,0,0,0,0,0,0.86934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.0715467392844
3,0,0,0,0,0,0,0,0,0,0,0,0.52813,0,0,0,0,0,0,0,0,0.49505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10.102221254323885
4,0,0,0,0,0,0,0,0,0,0,0,0.8574700000000001,0,0,0,0,0,0,0,0,1.0244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,18.54450516643441
5,0,0,0,0,0,0,0,0,0,0,0,0.72146,0,0,0,0,0,0,0,0,0.8680100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.050335371374498
6,0,0,0,0,0,0,0,0,0,0,0,0.63673,0,0,0,0,0,0,0,0,0.35176999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.817134942947299
7,0,0,0,0,0,0,0,0,0,0,0,0.45555,0,0,0,0,0,0,0,0,0.81294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15.172057152729124
8,0,0,0,0,0,0,0,0,0,0,0,0.8215600000000001,0,0,0,0,0,0,0,0,0.45736000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9.501126174230478
9,0,0,0,0,0,0,0,0,0,0,0,0.4967,0,0,0,0,0,0,0,0,0.96073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17.529070734236285
10,0,0,0,0,0,0,0,0,0,0,0,0.61044,0,0,0,0,0,0,0,0,0.45688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9.493470943706603
11,0,0,0,0,0,0,0,0,0,0,0,0.30222,0,0,0,0,0,0,0,0,0.8166399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15.231066221350655
12,0,0,0,0,0,0,0,0,0,0,0,0.38889,0,0,0,0,0,0,0,0,0.80538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15.051487271978097
13,0,0,0,0,0,0,0,0,0,0,0,0.00072345,0,0,0,0,0,0,0,0,0.81011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15.126923189432112
14,0,0,0,0,0,0,0,0,0,0,0,0.008972200000000001,0,0,0,0,0,0,0,0,0.8665200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.026572259956637
15,0,0,0,0,0,0,0,0,0,0,0,0.42208,0,0,0,0,0,0,0,0,0.43827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9.196671276937211
16,0,0,0,0,0,0,0,0,0,0,0,0.23335999999999998,0,0,0,0,0,0,0,0,0.98441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17.9067287734141
17,0,0,0,0,0,0,0,0,0,0,0,0.51998,0,0,0,0,0,0,0,0,0.51308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10.389770850876927
18,0,0,0,0,0,0,0,0,0,0,0,0.43383,0,0,0,0,0,0,0,0,0.85655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15.867566742616987
19,0,0,0,0,0,0,0,0,0,0,0,1.2952,0,0,0,0,0,0,0,0,1.0523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,18.98946544063462
20,0,0,0,0,0,0,0,0,0,0,0,0.61869,0,0,0,0,0,0,0,0,1.0144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,18.385021197187015
21,0,0,0,0,0,0,0,0,0,0,0,0.5070600000000001,0,0,0,0,0,0,0,0,1.2759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22.555526993006232
22,0,0,0,0,0,0,0,0,0,0,0,0.69125,0,0,0,0,0,0,0,0,0.5139100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10.40300802032446
23,0,0,0,0,0,0,0,0,0,0,0,0.20589000000000002,0,0,0,0,0,0,0,0,0.9185399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.85620786798155
24,0,0,0,0,0,0,0,0,0,0,0,0.83342,0,0,0,0,0,0,0,0,0.89859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.53803734933301
25,0,0,0,0,0,0,0,0,0,0,0,0.35775,0,0,0,0,0,0,0,0,0.9183899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.853815608442837
26,0,0,0,0,0,0,0,0,0,0,0,0.22489,0,0,0,0,0,0,0,0,0.54807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10.947805259273538
27,0,0,0,0,0,0,0,0,0,0,0,0.6552600000000001,0,0,0,0,0,0,0,0,0.91675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.827660237486267
28,0,0,0,0,0,0,0,0,0,0,0,0.36338000000000004,0,0,0,0,0,0,0,0,0.76656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14.432370503359735
29,0,0,0,0,0,0,0,0,0,0,0,0.42278000000000004,0,0,0,0,0,0,0,0,0.69577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13.30338348505747
30,0,0,0,0,0,0,0,0,0,0,0,0.47844,0,0,0,0,0,0,0,0,0.8514799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15.786708370208558
31,0,0,0,0,0,0,0,0,0,0,0,0.40918000000000004,0,0,0,0,0,0,0,0,0.8853700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.327199541987966
32,0,0,0,0,0,0,0,0,0,0,0,0.011195,0,0,0,0,0,0,0,0,0.83347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15.499477741594013
33,0,0,0,0,0,0,0,0,0,0,0,0.00043576,0,0,0,0,0,0,0,0,0.89784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.526076051639457
34,0,0,0,0,0,0,0,0,0,0,0,0.6803600000000001,0,0,0,0,0,0,0,0,0.6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13.287913540040472
35,0,0,0,0,0,0,0,0,0,0,0,0.53564,0,0,0,0,0,0,0,0,0.74127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14.029035545133087
36,0,0,0,0,0,0,0,0,0,0,0,0.66789,0,0,0,0,0,0,0,0,0.63849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12.389859309208427
37,0,0,0,0,0,0,0,0,0,0,0,0.07296,0,0,0,0,0,0,0,0,0.91889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.861789806905207
38,0,0,0,0,0,0,0,0,0,0,0,0.58675,0,0,0,0,0,0,0,0,0.12569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.211521366202338
39,0,0,0,0,0,0,0,0,0,0,0,0.55276,0,0,0,0,0,0,0,0,0.21131999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.577182594867726
40,0,0,0,0,0,0,0,0,0,0,0,1.0329,0,0,0,0,0,0,0,0,0.65022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12.576934005135614
41,0,0,0,0,0,0,0,0,0,0,0,0.56624,0,0,0,0,0,0,0,0,0.81374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15.184815870268913
42,0,0,0,0,0,0,0,0,0,0,0,0.8570700000000001,0,0,0,0,0,0,0,0,0.94835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17.331629580308018
43,0,0,0,0,0,0,0,0,0,0,0,0.25583,0,0,0,0,0,0,0,0,1.0395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,18.785325959997966
44,0,0,0,0,0,0,0,0,0,0,0,0.19053,0,0,0,0,0,0,0,0,0.87849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.21747457114576
45,0,0,0,0,0,0,0,0,0,0,0,0.5772,0,0,0,0,0,0,0,0,0.28733000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6.789420245117129
46,0,0,0,0,0,0,0,0,0,0,0,0.006084600000000001,0,0,0,0,0,0,0,0,0.9143899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.790022020743884
47,0,0,0,0,0,0,0,0,0,0,0,0.069213,0,0,0,0,0,0,0,0,0.80896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15.108582532968661
48,0,0,0,0,0,0,0,0,0,0,0,0.62547,0,0,0,0,0,0,0,0,0.13617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.378660565973601
49,0,0,0,0,0,0,0,0,0,0,0,0.61837,0,0,0,0,0,0,0,0,0.45592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9.478160482658852
50,0,0,0,0,0,0,0,0,0,0,0,0.00061508,0,0,0,0,0,0,0,0,0.8251700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15.367106047118678
51,0,0,0,0,0,0,0,0,0,0,0,0.43659,0,0,0,0,0,0,0,0,1.1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,20.061197713977073
52,0,0,0,0,0,0,0,0,0,0,0,0.56396,0,0,0,0,0,0,0,0,0.4403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9.229046522694432
53,0,0,0,0,0,0,0,0,0,0,0,0.73752,0,0,0,0,0,0,0,0,0.77284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14.532526436047094
54,0,0,0,0,0,0,0,0,0,0,0,0.49688999999999994,0,0,0,0,0,0,0,0,0.62642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12.197362158326829
55,0,0,0,0,0,0,0,0,0,0,0,0.79084,0,0,0,0,0,0,0,0,0.52069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10.511138151474189
56,0,0,0,0,0,0,0,0,0,0,0,0.95935,0,0,0,0,0,0,0,0,0.44263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9.266206287529073
57,0,0,0,0,0,0,0,0,0,0,0,0.13974,0,0,0,0,0,0,0,0,0.88026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.24570323370255
58,0,0,0,0,0,0,0,0,0,0,0,0.57944,0,0,0,0,0,0,0,0,0.37165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.134189073811108
59,0,0,0,0,0,0,0,0,0,0,0,0.7811899999999999,0,0,0,0,0,0,0,0,0.67327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12.944544554250847
60,0,0,0,0,0,0,0,0,0,0,0,0.63227,0,0,0,0,0,0,0,0,0.47412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9.768421306689099
61,0,0,0,0,0,0,0,0,0,0,0,0.7763,0,0,0,0,0,0,0,0,0.46635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9.64450226258388
