,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0.48982,0,0,0,0,0,0,0,0,0,0.9494799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,28.26238686440585
1,0,0,0,0,0,0,0,0,0,0,0,0.76922,0,0,0,0,0,0,0,0,0,0.74353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22.535316055499912
2,0,0,0,0,0,0,0,0,0,0,0,0.6804399999999999,0,0,0,0,0,0,0,0,0,1.0572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,31.25787153318637
3,0,0,0,0,0,0,0,0,0,0,0,0.018893,0,0,0,0,0,0,0,0,0,1.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,38.31555821102239
4,0,0,0,0,0,0,0,0,0,0,0,0.8159,0,0,0,0,0,0,0,0,0,1.0752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,31.75841668764283
5,0,0,0,0,0,0,0,0,0,0,0,0.67067,0,0,0,0,0,0,0,0,0,0.64807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,19.880758253032514
6,0,0,0,0,0,0,0,0,0,0,0,0.60332,0,0,0,0,0,0,0,0,0,0.55775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,17.369133900226565
7,0,0,0,0,0,0,0,0,0,0,0,0.66125,0,0,0,0,0,0,0,0,0,0.004106899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.973391066712632
8,0,0,0,0,0,0,0,0,0,0,0,0.58353,0,0,0,0,0,0,0,0,0,0.92706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,27.6389300664662
9,0,0,0,0,0,0,0,0,0,0,0,0.62793,0,0,0,0,0,0,0,0,0,0.36346999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11.966583199793218
10,0,0,0,0,0,0,0,0,0,0,0,0.72339,0,0,0,0,0,0,0,0,0,0.26650999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.270313301121114
11,0,0,0,0,0,0,0,0,0,0,0,0.29911,0,0,0,0,0,0,0,0,0,1.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,51.552196739981994
12,0,0,0,0,0,0,0,0,0,0,0,4.0211e-06,0,0,0,0,0,0,0,0,0,1.3404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,39.13311529663461
13,0,0,0,0,0,0,0,0,0,0,0,0.34141,0,0,0,0,0,0,0,0,0,1.7578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,50.74020126719708
14,0,0,0,0,0,0,0,0,0,0,0,0.23442,0,0,0,0,0,0,0,0,0,1.3341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,38.95792449257485
15,0,0,0,0,0,0,0,0,0,0,0,0.17432,0,0,0,0,0,0,0,0,0,2.0564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,59.04368921834694
16,0,0,0,0,0,0,0,0,0,0,0,0.00015797,0,0,0,0,0,0,0,0,0,1.5228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,44.20530619512668
17,0,0,0,0,0,0,0,0,0,0,0,0.65722,0,0,0,0,0,0,0,0,0,0.9002899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,26.894508189532907
18,0,0,0,0,0,0,0,0,0,0,0,0.5371600000000001,0,0,0,0,0,0,0,0,0,0.95794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,28.49764308700039
19,0,0,0,0,0,0,0,0,0,0,0,0.9541,0,0,0,0,0,0,0,0,0,1.4119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,41.12139188239219
20,0,0,0,0,0,0,0,0,0,0,0,0.35359,0,0,0,0,0,0,0,0,0,0.9485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,28.235134961552113
21,0,0,0,0,0,0,0,0,0,0,0,0.50863,0,0,0,0,0,0,0,0,0,0.43126000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.851691867604504
22,0,0,0,0,0,0,0,0,0,0,0,7.416900000000001e-06,0,0,0,0,0,0,0,0,0,1.3285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,38.80219933341061
