,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,1.3363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7197100000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.341975650381736
1,0,0,0,0,0,0,1.1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74703,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.474928306556047
2,0,0,0,0,0,0,1.0801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8446600000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.95004425905598
3,0,0,0,0,0,0,1.4746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59451,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.732690417840596
4,0,0,0,0,0,0,0.60674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4188,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.744093966812926
5,0,0,0,0,0,0,1.3556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.554,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.402044154029873
6,0,0,0,0,0,0,1.2747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7054699999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.272676754923381
7,0,0,0,0,0,0,1.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49378999999999995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.242536994345839
8,0,0,0,0,0,0,1.5134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63676,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.938299851345892
9,0,0,0,0,0,0,1.4006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9828100000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.622350607902291
10,0,0,0,0,0,0,1.1598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0301,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.852487178564196
11,0,0,0,0,0,0,0.85735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.294916435155201
12,0,0,0,0,0,0,0.60129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7544,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.3772898457331
13,0,0,0,0,0,0,0.15406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7496,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.353930667488713
14,0,0,0,0,0,0,1.3049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7138100000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.313263327123007
15,0,0,0,0,0,0,7.5054e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7342,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.278986637287966
16,0,0,0,0,0,0,1.1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8686299999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.066694155413895
17,0,0,0,0,0,0,1.2795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77967,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.63377071861789
18,0,0,0,0,0,0,1.2461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78233,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.646715596561656
19,0,0,0,0,0,0,1.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95252,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.474944460189263
20,0,0,0,0,0,0,1.1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92899,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.360435821837083
21,0,0,0,0,0,0,1.3126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0296,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.850053930830407
22,0,0,0,0,0,0,1.4084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73029,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.393463172428742
23,0,0,0,0,0,0,1.0735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0675,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.034494109051725
24,0,0,0,0,0,0,1.3722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73277,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.405532081188342
25,0,0,0,0,0,0,0.00098196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7405,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.309645558733726
26,0,0,0,0,0,0,0.6238600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0941,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.030438356070366
27,0,0,0,0,0,0,1.0454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7127899999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.308299501746074
28,0,0,0,0,0,0,1.0390000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0963,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.174649178518058
29,0,0,0,0,0,0,0.9316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0426,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.913318371908959
30,0,0,0,0,0,0,1.2522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.034,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.871466510887762
31,0,0,0,0,0,0,1.3765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9588700000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.505846706408404
32,0,0,0,0,0,0,1.2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.927123065403672
