,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0.6138600000000001,0,0,2.634e-11,1.2251000000000001e-06,0,0,0,0,4.2424e-12,0,1.0746,6.8774000000000004e-06,0,6.1719e-09,1.1771e-09,0.6376,0.034042,0.32815,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,26.572609190512228
1,0,0,0,0,0,0,0.32937,0,0,0.22114,0.019738,0,0,0,0,1.4993e-11,0,0.82378,0.17299,0,0.00014866,1.2376e-06,0.34259,0.73829,0.064059,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,24.082460137789997
2,0,0,0,0,0,0,0.0019778,0,0,8.787799999999998e-07,4.6406999999999995e-09,0,0,0,0,1.6864e-12,0,1.1448,3.0695e-05,0,0.00091224,0.00042145,0.12729000000000001,0.63388,0.16906,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,24.410558366580638
3,0,0,0,0,0,0,0.54696,0,0,6.2286e-06,0.018972,0,0,0,0,1.161e-11,0,0.83729,2.7136e-06,0,8.34e-09,4.094e-09,0.48545,0.32674000000000003,0.44058,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,28.050537989609566
4,0,0,0,0,0,0,0.56186,0,0,0.032833,0.073012,0,0,0,0,3.1986e-05,0,0.79168,2.803e-10,0,0.027627999999999996,3.5831999999999998e-09,0.87426,0.18306,4.2446e-06,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,24.487711687296823
5,0,0,0,0,0,0,0.6616,0,0,0.26438,3.8479e-08,0,0,0,0,3.5792000000000004e-11,0,1.0166,8.4756e-07,0,2.5515999999999996e-07,2.9029000000000004e-10,0.0088759,0.7828,0.00056531,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,22.02893715325494
6,0,0,0,0,0,0,1.0928,0,0,0.011394,0.008038,0,0,0,0,2.897e-12,0,1.0553,1.2747e-09,0,2.7276e-07,1.1697999999999999e-05,0.016169,0.30781,1.1680999999999999e-08,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,21.520554473456542
7,0,0,0,0,0,0,0.16680999999999999,0,0,0.29005,0.35004,0,0,0,0,1.2339e-12,0,0.9563799999999999,0.00013929,0,0.01757,0.00079746,0.11329000000000002,0.8456899999999999,0.21713000000000002,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,25.28171222635214
8,0,0,0,0,0,0,0.18191,0,0,0.081153,0.8522700000000001,0,0,0,0,0.000813,0,1.2408,2.6444e-07,0,1.815e-09,0.00053809,0.31249,0.80402,0.001027,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,22.602767180430227
9,0,0,0,0,0,0,0.053291,0,0,4.3903999999999996e-10,0.0005451000000000001,0,0,0,0,6.5009e-08,0,1.1571,8.8363e-06,0,0.41136000000000006,1.8490000000000001e-09,0.034591000000000004,0.37988,0.55695,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,31.697164705635828
