,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,1.3525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009732000000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7631982248270932
1,0,0,0,0,0,0,1.1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014193,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.1461090415750776
2,0,0,0,0,0,0,1.3099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4428e-08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7400115742544897
3,0,0,0,0,0,0,1.1674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20718000000000003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.514250578364341
4,0,0,0,0,0,0,1.4209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8791700000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26.1779281184548
5,0,0,0,0,0,0,1.6776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28554,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.646872389528191
6,0,0,0,0,0,0,1.3435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10724000000000002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.7190910365432845
7,0,0,0,0,0,0,1.3721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45821999999999996,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14.476563353635951
8,0,0,0,0,0,0,1.1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53787,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16.71335639857003
9,0,0,0,0,0,0,1.1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023066,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.3920493689578257
10,0,0,0,0,0,0,1.4188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1957,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.172141581507544
11,0,0,0,0,0,0,1.3735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7397e-08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7342253165292023
12,0,0,0,0,0,0,1.3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21694000000000002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.766351287339546
13,0,0,0,0,0,0,1.2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19412000000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.142697984948455
14,0,0,0,0,0,0,1.3616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09979500000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.510413257550371
