,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0.26815,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1793,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.255955690613497
1,0,0,0,0.54433,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0515,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.080435116785342
2,0,0,0,0.57782,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68985,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29.93788973327638
3,0,0,0,0.34968,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3116,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.908934934641994
4,0,0,0,0.67066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9849100000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29.54272958382962
5,0,0,0,0.47918,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3208,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.357736751171988
6,0,0,0,0.8837200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019094,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28.635870240431014
7,0,0,0,0.98439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8726700000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28.207382818578306
8,0,0,0,0.62788,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6816,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29.724816520423033
9,0,0,0,0.44436000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9837600000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.505943088997668
10,0,0,0,0.49928999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0746,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.272141419360548
11,0,0,0,0.70701,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29.388011020361397
12,0,0,0,0.8468399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67677,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28.792844672912665
13,0,0,0,0.56701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85545,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29.983900948437082
14,0,0,0,0.92756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28.449271565810744
15,0,0,0,0.43678,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89464,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.538206272246338
16,0,0,0,0.45895,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8241700000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.443842845778924
17,0,0,0,0.62533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9255,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29.735670229827267
18,0,0,0,0.41272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64103,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.640614212742776
19,0,0,0,0.010739,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1684,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32.351588706869855
20,0,0,0,0.3238,0,0,0,0,0,0,0,0,0,0,0,0,0,1.107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.019089444203416
21,0,0,0,0.41412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91948,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.634655313462016
22,0,0,0,0.51452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97706,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.207317107899172
23,0,0,0,0.024743,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32.29198268863577
24,0,0,0,0.61588,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77745,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29.775892799972375
25,0,0,0,0.85157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42586999999999997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28.772712106056964
26,0,0,0,0.6128100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8404799999999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29.788959814823748
27,0,0,0,0.8693799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6226,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28.69690639449248
28,0,0,0,0.32142,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0891,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.0292195729807
29,0,0,0,0.010037,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1802,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32.35457666922349
30,0,0,0,0.97965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77594,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28.227557949000296
31,0,0,0,0.54195,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0234,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.090565245562626
32,0,0,0,0.21533000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3367,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.480776447763194
33,0,0,0,0.76043,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0657,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29.160636449234232
34,0,0,0,0.76373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93445,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29.146590472358163
35,0,0,0,0.5351100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.119678724905754
36,0,0,0,0.53191,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85839,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.133299066118912
37,0,0,0,0.61606,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9153700000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29.775126655779136
38,0,0,0,0.054532000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0744,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32.16519008101115
39,0,0,0,0.86356,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70797,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28.72167839007391
40,0,0,0,0.3628,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2565,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.853091535668046
41,0,0,0,0.47023000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3869999999999998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.395831143002543
42,0,0,0,0.30394,0,0,0,0,0,0,0,0,0,0,0,0,0,1.002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.103620686857578
43,0,0,0,0.42696999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8399399999999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.579961130777928
44,0,0,0,0.16449,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1794,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.69716961878725
45,0,0,0,0.80697,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77596,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28.96254561171536
46,0,0,0,0.21983000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2570000000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.46162284293219
