,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0.21381999999999998,0,0.18126,0.7805,8.178e-06,0,0,0,0,0,0.36872,0,1.9618e-09,0,1.2603,0,0,0.00010489,8.3793e-09,0.22075,0.4006,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,44.8392432409204
1,0,0,0,0.53337,0,0.27476,0.00060889,5.9876999999999994e-06,0,0,0,0,0,0.19717,0,9.231200000000002e-11,0,1.0929,0,0,0.00013892,3.8372e-08,0.060711,0.61582,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,41.40559399876355
2,0,0,0,0.32649,0,0.462,2.0805e-05,0.092041,0,0,0,0,0,6.1169e-09,0,2.0007e-11,0,0.78622,0,0,0.0027411,0.00030545,0.060512,0.50979,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,39.914402747302354
3,0,0,0,0.56614,0,0.20109000000000002,0.0003102,1.3289999999999998e-07,0,0,0,0,0,0.026445,0,5.703200000000001e-10,0,1.3924,0,0,0.00011191,1.2887000000000002e-10,0.11732000000000001,0.27643,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,39.70743378893289
4,0,0,0,0.42239,0,0.25577,0.24128000000000002,0.009802799999999999,0,0,0,0,0,0.20931,0,0.00013305,0,0.71121,0,0,3.5892000000000003e-06,2.5518e-08,0.00427,0.75437,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,41.87039440039668
5,0,0,0,8.3704e-05,0,0.54675,0.36951,1.4606999999999998e-06,0,0,0,0,0,8.1677e-06,0,4.5781000000000005e-11,0,1.1645,0,0,7.114e-06,2.4401e-09,0.010401,0.41544,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,40.584843278414894
6,0,0,0,0.048039,0,0.5119600000000001,0.29665,0.11495999999999999,0,0,0,0,0,0.00028291,0,1.7680999999999998e-13,0,0.79098,0,0,0.28916,5.2863e-05,0.29661,0.28511,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,42.98024122644048
7,0,0,0,0.31666,0,0.33973000000000003,0.32204,0.014648,0,0,0,0,0,0.059422,0,5.4508e-10,0,0.79069,0,0,0.21025,3.1719999999999996e-08,0.24786,0.55343,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,42.44085273760772
8,0,0,0,0.58057,0,0.043578,0.289,1.178e-05,0,0,0,0,0,1.6385999999999997e-09,0,0.00011640000000000001,0,0.72811,0,0,1.0531000000000001e-10,4.2195e-10,0.0056272,1.0136,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,39.44116945819974
9,0,0,0,0.45901000000000003,0,0.76867,0.67308,0.46948999999999996,0,0,0,0,0,8.3245e-11,0,1.7426999999999998e-07,0,1.1578,0,0,1.147e-07,9.1105e-11,1.5637e-08,1.2561,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,36.200126871478155
