,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0.78938,0,1.1967,0,0,0,0,0.026386,5.4492e-05,0,0,0,0,0,0,0,0,0,0,0.38113,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.143771965529057
1,0,0,0,0.7166399999999999,0,0.9532299999999999,0,0,0,0,0.35631999999999997,0.030292000000000003,0,0,0,0,0,0,0,0,0,0,0.75603,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.324251863475636
2,0,0,0,0.56891,0,0.9814700000000001,0,0,0,0,0.13519,0.31242,0,0,0,0,0,0,0,0,0,0,1.0775,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.719510219964813
3,0,0,0,0.55193,0,0.8613200000000001,0,0,0,0,0.00085962,0.44573999999999997,0,0,0,0,0,0,0,0,0,0,0.57634,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.852111352824932
4,0,0,0,0.47173999999999994,0,1.2104,0,0,0,0,1.6533e-05,0.008579,0,0,0,0,0,0,0,0,0,0,0.48975,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.757458734705896
5,0,0,0,0.031488,0,1.0061,0,0,0,0,1.1772,0.19328,0,0,0,0,0,0,0,0,0,0,0.07742,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.694719449695465
6,0,0,0,0.7508,0,0.8375299999999999,0,0,0,0,5.5084e-10,2.1166e-05,0,0,0,0,0,0,0,0,0,0,0.42533999999999994,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.1467172998792687
7,0,0,0,0.00061457,0,0.9711200000000001,0,0,0,0,0.034635,0.004285,0,0,0,0,0,0,0,0,0,0,0.9815200000000001,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.653529658381671
8,0,0,0,0.9854200000000001,0,0.39874,0,0,0,0,0.0010951,0.89604,0,0,0,0,0,0,0,0,0,0,0.38165,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.7950593452773536
9,0,0,0,0.020112,0,0.71832,0,0,0,0,7.626e-09,0.4537,0,0,0,0,0,0,0,0,0,0,1.2235,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.234308265840723
10,0,0,0,0.3479,0,0.94514,0,0,0,0,0.00018575,0.25974,0,0,0,0,0,0,0,0,0,0,0.8906200000000001,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.125896849419478
11,0,0,0,0.9171,0,0.43028999999999995,0,0,0,0,0.020218,0.33516999999999997,0,0,0,0,0,0,0,0,0,0,0.17748,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.8914753129202806
12,0,0,0,0.7620600000000001,0,0.6785800000000001,0,0,0,0,8.8445e-07,0.012702,0,0,0,0,0,0,0,0,0,0,0.40563,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.406679055075864
13,0,0,0,0.45116000000000006,0,1.1605,0,0,0,0,0.00061439,0.42776000000000003,0,0,0,0,0,0,0,0,0,0,0.29249,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.036049828981546
14,0,0,0,0.76484,0,0.79627,0,0,0,0,0.00097232,0.028176,0,0,0,0,0,0,0,0,0,0,0.51165,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5986736724496753
15,0,0,0,1.3998,0,1.7417,0,0,0,0,5.5202e-08,1.093,0,0,0,0,0,0,0,0,0,0,0.00016681,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.0317653333852048
16,0,0,0,0.75539,0,0.81283,0,0,0,0,0.088896,9.8016e-06,0,0,0,0,0,0,0,0,0,0,0.62454,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.049995743562571
17,0,0,0,0.7572399999999999,0,0.80353,0,0,0,0,0.014437,0.0013779000000000003,0,0,0,0,0,0,0,0,0,0,0.5514899999999999,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.7572392731688353
18,0,0,0,0.58076,0,1.0193,0,0,0,0,0.18453,0.13399,0,0,0,0,0,0,0,0,0,0,0.5085,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.197418768769568
19,0,0,0,0.54283,0,1.5111,0,0,0,0,0.22241999999999998,0.99979,0,0,0,0,0,0,0,0,0,0,0.010686,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.006482749542642274
20,0,0,0,0.68325,0,0.8828299999999999,0,0,0,0,0.035914999999999996,0.40212,0,0,0,0,0,0,0,0,0,0,0.56623,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.6871865458772817
21,0,0,0,0.67816,0,0.75392,0,0,0,0,0.0033755000000000005,0.43816000000000005,0,0,0,0,0,0,0,0,0,0,0.20531999999999997,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.431823675411513
22,0,0,0,0.5473600000000001,0,0.99245,0,0,0,0,0.007230100000000001,0.48865,0,0,0,0,0,0,0,0,0,0,0.54091,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.414051344308235
23,0,0,0,0.7327600000000001,0,0.61387,0,0,0,0,2.342e-05,0.70252,0,0,0,0,0,0,0,0,0,0,0.76757,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.1129335159084865
24,0,0,0,0.5008199999999999,0,0.45541000000000004,0,0,0,0,0.093041,0.10977999999999999,0,0,0,0,0,0,0,0,0,0,1.1489,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.223442720993267
25,0,0,0,0.59402,0,0.38232,0,0,0,0,0.0028287,0.94942,0,0,0,0,0,0,0,0,0,0,0.8962100000000001,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.251916045692914
26,0,0,0,1.0161,0,0.58528,0,0,0,0,0.0016471,0.11391,0,0,0,0,0,0,0,0,0,0,0.75683,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.969834171767737
27,0,0,0,0.44706999999999997,0,0.56875,0,0,0,0,0.00022888,0.74444,0,0,0,0,0,0,0,0,0,0,0.47997,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.144803229974974
28,0,0,0,0.5491199999999999,0,0.80333,0,0,0,0,0.35212,0.22841999999999998,0,0,0,0,0,0,0,0,0,0,0.5068,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.684380832689448
29,0,0,0,0.89764,0,0.53155,0,0,0,0,1.2165e-05,0.0083027,0,0,0,0,0,0,0,0,0,0,0.68155,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.833584488643913
30,0,0,0,0.7289800000000001,0,0.42286,0,0,0,0,4.2914999999999995e-06,0.40921,0,0,0,0,0,0,0,0,0,0,0.55099,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.6106728878297085
31,0,0,0,1.2767,0,0.3521,0,0,0,0,0.10932,0.40803,0,0,0,0,0,0,0,0,0,0,0.072055,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.409948371394739
32,0,0,0,0.14267,0,1.1797,0,0,0,0,3.7695e-09,0.8131,0,0,0,0,0,0,0,0,0,0,1.5838,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.687346302908248
33,0,0,0,1.4257,0,1.416,0,0,0,0,2.2009000000000002e-05,0.77562,0,0,0,0,0,0,0,0,0,0,0.99398,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.9195743084978405
34,0,0,0,0.74271,0,0.89285,0,0,0,0,0.27952,0.10699000000000002,0,0,0,0,0,0,0,0,0,0,0.39679000000000003,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.9072566917111926
35,0,0,0,0.80135,0,0.84993,0,0,0,0,0.00052156,0.002652,0,0,0,0,0,0,0,0,0,0,0.53055,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5404545014041355
36,0,0,0,0.88841,0,0.56118,0,0,0,0,0.051225,0.14344,0,0,0,0,0,0,0,0,0,0,0.33409,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.2883814249650087
37,0,0,0,0.41608999999999996,0,0.59906,0,0,0,0,0.38236,0.93884,0,0,0,0,0,0,0,0,0,0,0.60605,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.634351135770975
38,0,0,0,0.8636,0,1.2805,0,0,0,0,0.05438099999999999,0.49008,0,0,0,0,0,0,0,0,0,0,0.54414,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.6136874366272522
39,0,0,0,0.68335,0,0.9301200000000001,0,0,0,0,0.27248,0.088542,0,0,0,0,0,0,0,0,0,0,0.53445,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.4469990991932162
40,0,0,0,0.85751,0,1.2365,0,0,0,0,1.8806999999999998e-06,0.33228,0,0,0,0,0,0,0,0,0,0,0.84191,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.986869824054099
41,0,0,0,0.25071,0,0.91312,0,0,0,0,0.30228,0.2963,0,0,0,0,0,0,0,0,0,0,0.9779899999999999,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.624914299057722
42,0,0,0,0.20874,0,1.0361,0,0,0,0,0.51746,1.5714000000000002e-07,0,0,0,0,0,0,0,0,0,0,0.81109,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.664068651475492
43,0,0,0,0.67132,0,0.69895,0,0,0,0,1.3565e-07,0.08232,0,0,0,0,0,0,0,0,0,0,0.55328,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0441413798911645
44,0,0,0,0.78068,0,0.13057,0,0,0,0,0.17835,0.1448,0,0,0,0,0,0,0,0,0,0,0.62651,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.548871611382624
45,0,0,0,0.6330399999999999,0,0.35946999999999996,0,0,0,0,1.7127e-08,0.5108199999999999,0,0,0,0,0,0,0,0,0,0,0.4748,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.479102477328603
46,0,0,0,0.18550999999999998,0,0.54215,0,0,0,0,0.23883000000000001,0.48439,0,0,0,0,0,0,0,0,0,0,0.8797200000000001,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.059969613010308
47,0,0,0,0.8297399999999999,0,4.1797e-05,0,0,0,0,0.10872000000000001,0.036239,0,0,0,0,0,0,0,0,0,0,1.0192,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.4874004427065035
48,0,0,0,0.022182,0,1.2287,0,0,0,0,2.1875e-09,0.39200999999999997,0,0,0,0,0,0,0,0,0,0,0.90489,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.745702549271637
49,0,0,0,0.77917,0,0.15303,0,0,0,0,0.0033840000000000003,0.43104,0,0,0,0,0,0,0,0,0,0,0.9026200000000001,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.680306038018181
50,0,0,0,0.70314,0,0.64761,0,0,0,0,9.5524e-09,0.14190999999999998,0,0,0,0,0,0,0,0,0,0,0.63902,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.505837410374692
51,0,0,0,0.3439,0,0.79128,0,0,0,0,0.17698,0.40004,0,0,0,0,0,0,0,0,0,0,0.82786,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.19926387393326
52,0,0,0,0.9154200000000001,0,0.6509199999999999,0,0,0,0,0.63202,8.9658e-09,0,0,0,0,0,0,0,0,0,0,0.95715,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.738189038091854
53,0,0,0,0.23431,0,1.1244,0,0,0,0,0.9061799999999999,1.2893e-10,0,0,0,0,0,0,0,0,0,0,0.00020496,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9890664558192332
54,0,0,0,0.82525,0,1.0614,0,0,0,0,0.78662,1.3297,0,0,0,0,0,0,0,0,0,0,0.00012621,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7934537437242781
55,0,0,0,0.74968,0,0.9962,0,0,0,0,0.097446,0.016681,0,0,0,0,0,0,0,0,0,0,0.44095,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.8641143425028304
