,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0.78841,0,1.1954,0,0,0,0,0.022900999999999998,0,0,0,0,0,0,0,0,0,0,0,0.38279,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.629863727434909
1,0,0,0,0.74185,0,0.9462700000000001,0,0,0,0,0.34483,0,0,0,0,0,0,0,0,0,0,0,0.76537,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.840845030605046
2,0,0,0,0.48101000000000005,0,1.0631,0,0,0,0,0.35288,0,0,0,0,0,0,0,0,0,0,0,0.8856299999999999,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.244698467844274
3,0,0,0,0.36774,0,0.92805,0,0,0,0,0.12165999999999999,0,0,0,0,0,0,0,0,0,0,0,0.88234,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.592560091688592
4,0,0,0,0.47095,0,1.2104,0,0,0,0,8.5741e-06,0,0,0,0,0,0,0,0,0,0,0,0.49577,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.259216476975449
5,0,0,0,0.011153,0,1.0891,0,0,0,0,1.2567,0,0,0,0,0,0,0,0,0,0,0,0.08472,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.029941576409665
6,0,0,0,0.7492800000000001,0,0.8353299999999999,0,0,0,0,1.7814e-08,0,0,0,0,0,0,0,0,0,0,0,0.43195,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.6562618402495284
7,0,0,0,0.00067527,0,0.96411,0,0,0,0,0.04319,0,0,0,0,0,0,0,0,0,0,0,0.98346,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.152828915467523
8,0,0,0,0.82211,0,0.6863199999999999,0,0,0,0,0.015047,0,0,0,0,0,0,0,0,0,0,0,0.64995,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.87546973319702
9,0,0,0,0.28528000000000003,0,1.1761,0,0,0,0,0.050703,0,0,0,0,0,0,0,0,0,0,0,0.25904,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.4280750768799138
10,0,0,0,0.32538,0,1.0973,0,0,0,0,0.027231,0,0,0,0,0,0,0,0,0,0,0,0.77664,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.791458041193684
11,0,0,0,0.63357,0,0.80173,0,0,0,0,1.5543e-05,0,0,0,0,0,0,0,0,0,0,0,0.58338,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.443036428746012
12,0,0,0,0.76048,0,0.6886800000000001,0,0,0,0,6.0812e-07,0,0,0,0,0,0,0,0,0,0,0,0.41855,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.91609871195481
13,0,0,0,0.92284,0,0.845,0,0,0,0,0.12822999999999998,0,0,0,0,0,0,0,0,0,0,0,0.60212,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.264092217450326
