,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0.78835,0,1.1954,0,0,0,0,0.022741,0,0,0,0,1.9235e-11,0,0,0,0,0,0,0.38286,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5.963010073248691
1,0,0,0,0.74183,0,0.94632,0,0,0,0,0.34486999999999995,0,0,0,0,7.6739e-08,0,0,0,0,0,0,0.7653800000000001,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8.173602030524368
2,0,0,0,0.48100000000000004,0,1.0631,0,0,0,0,0.35289,0,0,0,0,9.093500000000001e-10,0,0,0,0,0,0,0.8856299999999999,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8.577517348670733
3,0,0,0,0.36609,0,0.92819,0,0,0,0,0.12285,0,0,0,0,0.012724,0,0,0,0,0,0,0.8675799999999999,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8.862912285767006
4,0,0,0,0.47096000000000005,0,1.2104,0,0,0,0,8.2273e-06,0,0,0,0,3.8258e-06,0,0,0,0,0,0,0.49577,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6.592024046133412
5,0,0,0,1.6433e-05,0,1.0304,0,0,0,0,0.033881,0,0,0,0,0.74465,0,0,0,0,0,0,0.43376000000000003,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6.990345289584763
6,0,0,0,0.74903,0,0.83495,0,0,0,0,1.2570000000000001e-08,0,0,0,0,5.2165e-12,0,0,0,0,0,0,0.4331,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6.9949697661970305
7,0,0,0,0.0006922,0,1.0325,0,0,0,0,0.030424,0,0,0,0,0.10069,0,0,0,0,0,0,0.90855,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9.014623337760913
8,0,0,0,0.8221,0,0.68609,0,0,0,0,0.014306000000000001,0,0,0,0,1.9449999999999997e-10,0,0,0,0,0,0,0.64989,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8.208539445870647
9,0,0,0,0.28802,0,1.1661,0,0,0,0,0.043705,0,0,0,0,0.0015900999999999999,0,0,0,0,0,0,0.25984,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5.7848133842087766
10,0,0,0,0.40251,0,1.0506,0,0,0,0,0.016763999999999998,0,0,0,0,0.13897,0,0,0,0,0,0,0.6652,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.707343249909721
11,0,0,0,0.63353,0,0.80177,0,0,0,0,1.516e-05,0,0,0,0,4.3767e-07,0,0,0,0,0,0,0.5834,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.775869536679151
12,0,0,0,0.76048,0,0.6887,0,0,0,0,6.3517e-07,0,0,0,0,1.534e-10,0,0,0,0,0,0,0.41855,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.2488678259181185
13,0,0,0,0.9210200000000001,0,0.8465799999999999,0,0,0,0,0.1245,0,0,0,0,1.6682999999999998e-08,0,0,0,0,0,0,0.5986600000000001,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.57966170551186
14,0,0,0,0.78347,0,0.8209,0,0,0,0,0.0020497,0,0,0,0,2.6866000000000003e-10,0,0,0,0,0,0,0.43948999999999994,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.033790461773675
15,0,0,0,0.82744,0,0.62815,0,0,0,0,6.9806e-07,0,0,0,0,1.6779e-10,0,0,0,0,0,0,0.46716,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.5523056786449345
16,0,0,0,0.7551399999999999,0,0.81218,0,0,0,0,0.086591,0,0,0,0,1.4042000000000002e-09,0,0,0,0,0,0,0.6232,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.854237652694714
17,0,0,0,0.75503,0,0.8095399999999999,0,0,0,0,0.010487,0,0,0,0,7.6538e-07,0,0,0,0,0,0,0.54694,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.534180946480248
18,0,0,0,0.51318,0,1.0,0,0,0,0,0.30156,0,0,0,0,1.5482e-11,0,0,0,0,0,0,0.47039,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6.9237169092451385
19,0,0,0,0.27224,0,1.3932,0,0,0,0,0.29669,0,0,0,0,7.641000000000001e-10,0,0,0,0,0,0,0.5927399999999999,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6.715699817090583
20,0,0,0,0.88902,0,0.57718,0,0,0,0,8.4454e-05,0,0,0,0,4.0099e-08,0,0,0,0,0,0,0.71254,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8.678668516360867
21,0,0,0,0.81202,0,0.74667,0,0,0,0,0.00051789,0,0,0,0,2.6038999999999998e-06,0,0,0,0,0,0,0.50793,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.473879385232326
22,0,0,0,0.60001,0,0.76277,0,0,0,0,0.6110800000000001,0,0,0,0,2.0191e-10,0,0,0,0,0,0,0.90255,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9.244918016622382
23,0,0,0,1.0759999999999998,0,0.63242,0,0,0,0,0.1662,0,0,0,0,1.2391000000000002e-08,0,0,0,0,0,0,0.61879,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8.050385776352917
24,0,0,0,0.6248600000000001,0,0.64853,0,0,0,0,0.22401999999999997,0,0,0,0,9.2976e-08,0,0,0,0,0,0,0.6441,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8.378188691798739
25,0,0,0,0.70607,0,0.86315,0,0,0,0,0.063641,0,0,0,0,0.018522999999999998,0,0,0,0,0,0,0.5684100000000001,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.535396861864253
26,0,0,0,0.7711100000000001,0,0.83975,0,0,0,0,0.035249,0,0,0,0,1.8517e-08,0,0,0,0,0,0,0.6763,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8.011352043971199
