,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0.77993,0,1.1873,0,0,0,0,0,0,0,0,0,1.5720999999999997e-11,0,0,0,0,0,1.8552e-08,0.38983,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,6.597412150183621
1,0,0,0,0.9128799999999999,0,0.6211,0,0,0,0,0,0,0,0,0,2.4279000000000003e-11,0,0,0,0,0,1.0783e-06,0.62968,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,8.82455710031857
2,0,0,0,0.54737,0,1.1214,0,0,0,0,0,0,0,0,0,5.308899999999999e-09,0,0,0,0,0,0.026927,0.53114,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,8.243772897825336
3,0,0,0,0.34426999999999996,0,0.96239,0,0,0,0,0,0,0,0,0,0.00063483,0,0,0,0,0,0.0016210999999999999,0.79547,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,9.16669301950431
4,0,0,0,0.53733,0,0.9570000000000001,0,0,0,0,0,0,0,0,0,3.4617000000000002e-06,0,0,0,0,0,0.2615,0.82601,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,16.43026362125494
5,0,0,0,0.089428,0,1.1159999999999999,0,0,0,0,0,0,0,0,0,7.770299999999999e-08,0,0,0,0,0,1.269e-09,0.9470700000000001,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,9.592846855216319
6,0,0,0,0.74873,0,0.8345,0,0,0,0,0,0,0,0,0,1.3916e-10,0,0,0,0,0,5.5694e-06,0.43433,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,7.588794810549851
7,0,0,0,0.00089255,0,1.1629,0,0,0,0,0,0,0,0,0,0.27899999999999997,0,0,0,0,0,8.0895e-07,0.77642,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,8.789933367127706
8,0,0,0,0.82189,0,0.6816399999999999,0,0,0,0,0,0,0,0,0,7.066299999999999e-11,0,0,0,0,0,2.7224e-08,0.64871,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,8.826054343355741
9,0,0,0,0.30325,0,1.1075,0,0,0,0,0,0,0,0,0,0.0017809999999999998,0,0,0,0,0,1.0125e-07,0.25713,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,6.46014306559978
