,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0.77992,0,1.1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3772e-08,0.38981,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.147360022635338
1,0,0,0,0.9128799999999999,0,0.6211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0626e-06,0.62968,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6.3745868620581945
2,0,0,0,0.5473899999999999,0,1.1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027039999999999998,0.53104,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.796053741510383
3,0,0,0,0.34429,0,0.96214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015592,0.7963,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6.719187699481258
4,0,0,0,0.5371,0,0.95576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26258000000000004,0.82749,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14.019692307008249
5,0,0,0,0.089348,0,1.1159999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9229e-09,0.94715,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7.143273713545099
6,0,0,0,0.7490000000000001,0,0.8348899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0797e-06,0.43323,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.132994643500993
7,0,0,0,0.00079645,0,0.99139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4591999999999997e-07,0.9568,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7.510584592485946
8,0,0,0,0.82189,0,0.6816399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0044e-08,0.64871,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6.376085176261993
9,0,0,0,0.30301999999999996,0,1.1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1746e-08,0.25628,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.007009786458797
10,0,0,0,0.36057,0,1.1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020003,0.76875,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6.760082419694291
11,0,0,0,0.63358,0,0.80172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2891999999999998e-09,0.58339,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.93083213752586
12,0,0,0,0.7605,0,0.68861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024993,0.41855,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.391418495207773
13,0,0,0,0.8854299999999999,0,0.8912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3341e-08,0.5028199999999999,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.237139765232355
14,0,0,0,0.78335,0,0.8203600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011409,0.43987,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.206336468063894
15,0,0,0,0.8287399999999999,0,0.62838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015289000000000001,0.46808999999999995,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.738830569080989
16,0,0,0,0.75498,0,0.7845300000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0060648,0.5828399999999999,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6.066318153375564
17,0,0,0,0.74989,0,0.82183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5872e-07,0.53142,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.592424741063737
18,0,0,0,0.48931,0,1.1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8663999999999995e-09,0.32385,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.9970759736271004
19,0,0,0,0.27684000000000003,0,1.3271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3157e-08,0.6055699999999999,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.071271718994877
20,0,0,0,0.88899,0,0.57713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0754000000000001e-07,0.71257,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6.849139483224622
21,0,0,0,0.8123199999999999,0,0.7469899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00059932,0.50746,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.633597507417498
