,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,1.0267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96921,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.97548176722511
1,0,0,0,0.9722700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0676,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.485080962096294
2,0,0,0,1.0598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89718,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.606227287331926
3,0,0,0,0.22396999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7381,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.171292249942516
4,0,0,0,1.0297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0948,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.584968182723985
5,0,0,0,1.1508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2039,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.047410685484834
6,0,0,0,0.69571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.025,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.43418600716048
7,0,0,0,4.658100000000001e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6668,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.950984840138466
8,0,0,0,0.5967399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3171,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.911665124800662
9,0,0,0,0.29652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0363,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.714952653319576
10,0,0,0,0.9005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2554,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.439600733311204
11,0,0,0,0.84804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0533,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.485752505781974
12,0,0,0,0.47695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2981,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.886952949382273
13,0,0,0,1.3285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63434,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.17514535236931
14,0,0,0,0.5203800000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.268,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.715908147665807
15,0,0,0,0.6804600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0263,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.449137598497664
