,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0.6198899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40762,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.784012106499155
1,0,0,0,0.7832899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3462,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.804461567381693
2,0,0,0,0.9358200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7901199999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.884273930211773
3,0,0,0,1.3134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97231,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.789912365929947
4,0,0,0,0.9028299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.449875110800757
5,0,0,0,0.93737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4722,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.81395957989879
6,0,0,0,0.00011571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8961100000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.574644520264847
7,0,0,0,0.0015788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86755,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.119158304094306
8,0,0,0,0.66197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088779,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.69900928261849
9,0,0,0,0.48158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75405,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.30901525313644
10,0,0,0,1.2703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62098,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.18676207436144
11,0,0,0,0.9139700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47771,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.901835246954102
12,0,0,0,0.84585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005465600000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.37029411026895
13,0,0,0,0.49061000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9819100000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.94301697640744
14,0,0,0,0.8400799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.386879590379402
15,0,0,0,0.2113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0688,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21.328773185198
16,0,0,0,0.8268200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50867,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.395597615744016
17,0,0,0,0.70404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89743,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.5956964042055
18,0,0,0,1.0141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3243,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.455191674729912
19,0,0,0,0.73123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50044,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.264342309053415
20,0,0,0,0.76056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.286634561424662
21,0,0,0,1.0433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30921,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.214530365135602
