,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.625900000000001e-06,0.27944,3.2416999999999997e-09,0,1.8913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,16.52112450905935
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015778,0.29780999999999996,0.094654,0,1.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,17.051829569262125
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027455,0.13449,0.0020255,0,1.8679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,16.4284646337242
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3943000000000003e-09,0.47352,0.0039528,0,1.5285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,15.250915492331776
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1063e-08,0.0023316,0.11871,0,1.6453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,17.40918735503896
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3265e-09,3.5433000000000004e-09,1.8826e-08,0,1.7226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,15.809679262114729
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033382999999999996,0.35248,0.091387,0,1.5757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,16.79509893453898
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072714,0.48311000000000004,0.02544,0,1.5936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,15.84382927508531
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.959300000000001e-07,0.0027549,0.015453,0,1.7214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,16.052242597024314
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023284000000000004,1.8883e-05,0.10305999999999998,0,1.6015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,16.992263662245584
