,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93735,0,0,1.4462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,42.075208482273105
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84854,0,0,0.59232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,18.33045867742432
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67315,0,0,0.7781899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,23.49914355846995
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3589,0,0,0.17525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6.732549368026886
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0417e-07,0,0,1.5879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,46.01561117041087
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.003,0,0,0.01192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.1906582526172835
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1727,0,0,0.1893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7.123252669144287
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97378,0,0,0.12566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5.353547467499352
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1119,0,0,0.00031741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.8680126857481212
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1954,0,0,0.33007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11.03779385763513
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1159999999999999,0,0,0.17438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6.708356352228158
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81424,0,0,1.1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,33.41021569734914
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79351,0,0,0.58565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,18.14497888963407
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013998,0,0,1.5247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,44.25814151698598
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8934e-06,0,0,1.5214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,44.16637490533563
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93975,0,0,0.39771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12.918731315825946
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45893999999999996,0,0,1.2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,35.2316438982879
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0223,0,0,0.032508999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.7631984851230587
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8109e-08,0,0,1.5158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,44.010649746171396
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3718,0,0,0.20328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7.512009405772133
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0014,0,0,3.6111e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.8601903051145963
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2021,0,0,0.20867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7.661894871467705
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020141,0,0,1.3315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,38.88562352582002
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40114,0,0,1.2504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,36.630389524352324
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0443,0,0,0.0014724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.9001307217451024
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005982,0,0,1.5829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,45.876570849728516
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018813,0,0,1.0379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,30.72117589535251
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7797e-05,0,0,1.5085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,43.80765087797516
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7738e-08,0,0,1.5397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,44.67526247903302
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0174,0,0,1.7496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,50.51217514127803
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1736e-07,0,0,1.3979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,40.73207898448161
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1731,0,0,0.43463999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13.945683124385772
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7659e-07,0,0,1.5369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,44.597399899450906
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092068,0,0,1.3425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,39.19151223132119
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3505999999999998e-05,0,0,1.3618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,39.72820786915506
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70462,0,0,0.87931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,26.311095003949774
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51337,0,0,1.1572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,34.03867794683335
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4861e-07,0,0,1.5313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,44.44167474028668
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2311,0,0,0.12682000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5.385804821897658
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30966,0,0,1.3224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,38.63257014217815
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0104,0,0,0.0015731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.902930993803645
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2507,0,0,0.20953000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7.68580980662507
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018849,0,0,1.2689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,37.14483871087702
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9567200000000001,0,0,6.7648e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.859188009270487
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67957,0,0,0.67361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20.59097621107795
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44114,0,0,1.4668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,42.64805460348438
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18453,0,0,1.6044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,46.47444422866262
