,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9796799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9948799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9662700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9978600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23178350697772201
