,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0.0064643999999999995,0,0.57158,0.0024083000000000004,0,4.075e-09,1.1105e-05,1.0767,4.6331999999999994e-11,0,0.00074695,3.097e-09,0.26853,0,0.0047826,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,33.29484830442139
1,0,0,0,0,0,0,0,0,0,0,0.23854,0,0.43501000000000006,0.029719,0,9.0894e-12,1.1556e-08,0.98569,1.3359e-05,0,4.5808e-07,1.8176e-08,0.62869,0,0.09253099999999999,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,36.487633080536355
2,0,0,0,0,0,0,0,0,0,0,0.0014590999999999999,0,0.63649,1.8621000000000002e-10,0,1.6172999999999998e-07,6.3305e-06,0.9795200000000001,0.0046388,0,0.00076475,0.016541,0.095618,0,0.00094153,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,32.90134730285331
3,0,0,0,0,0,0,0,0,0,0,0.0011002,0,0.5485300000000001,0.00063565,0,2.259e-10,0.0094363,0.8892200000000001,2.2505e-09,0,0.0017272000000000001,5.0245e-08,0.46424,0,0.002872,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,34.77284191778855
4,0,0,0,0,0,0,0,0,0,0,1.772e-05,0,0.28037,2.0912e-10,0,8.278399999999999e-07,0.028629,1.4096,4.6776e-08,0,6.5478e-09,2.5513000000000004e-07,0.50413,0,0.0074318,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,33.37747696138617
5,0,0,0,0,0,0,0,0,0,0,1.7381e-07,0,0.31331,1.4647000000000001e-09,0,1.8924e-11,0.027884,1.3046,6.8102e-08,0,2.4037e-10,1.6405000000000002e-06,0.51207,0,0.086437,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,34.57010690663038
6,0,0,0,0,0,0,0,0,0,0,2.3662e-06,0,0.25934,1.1556e-06,0,6.5281e-11,0.0017125,1.3351,2.9428000000000002e-09,0,0.00016714,3.4919e-05,0.31478,0,0.22541999999999998,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,34.996125520722046
7,0,0,0,0,0,0,0,0,0,0,0.33726,0,2.6498e-10,0.35285,0,1.5547999999999998e-08,2.6149000000000005e-10,1.2082,0.00033401,0,3.1149e-09,9.421799999999999e-07,0.63032,0,0.063223,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,38.83641805768493
8,0,0,0,0,0,0,0,0,0,0,0.0053746,0,0.37051,1.299e-09,0,2.6529e-08,0.058105,1.0558,1.1843999999999998e-08,0,0.002405,1.8222999999999998e-07,0.7979999999999999,0,0.09514299999999999,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,36.80204339230746
9,0,0,0,0,0,0,0,0,0,0,0.004065,0,0.000392,3.1175e-11,0,1.0070999999999999e-07,5.3062e-06,1.1559,1.3622e-07,0,0.30291999999999997,4.3476e-08,0.30892,0,0.44816000000000006,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,38.94564140037064
