,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0.9427,0,0,0,0,0,0,0,0,0,0.13033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.444576713181118
1,0,0,0,0,0,0,0,0,0,0,1.2607,0,0,0,0,0,0,0,0,0,0.92835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.171716427061227
2,0,0,0,0,0,0,0,0,0,0,1.3187,0,0,0,0,0,0,0,0,0,0.26341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.566989375925367
3,0,0,0,0,0,0,0,0,0,0,1.0208,0,0,0,0,0,0,0,0,0,0.62203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.286403481075217
4,0,0,0,0,0,0,0,0,0,0,0.50802,0,0,0,0,0,0,0,0,0,1.2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22.60138367290745
5,0,0,0,0,0,0,0,0,0,0,0.66776,0,0,0,0,0,0,0,0,0,0.99941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.305009512533175
6,0,0,0,0,0,0,0,0,0,0,0.9153600000000001,0,0,0,0,0,0,0,0,0,0.00048544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.373764131783046
7,0,0,0,0,0,0,0,0,0,0,1.3034,0,0,0,0,0,0,0,0,0,0.54018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.98102719278534
8,0,0,0,0,0,0,0,0,0,0,1.2484,0,0,0,0,0,0,0,0,0,0.72856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.98538620546765
9,0,0,0,0,0,0,0,0,0,0,0.9916799999999999,0,0,0,0,0,0,0,0,0,0.9606100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.686211711853307
