,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,1.2671,0,0,0,0,0,0,0,0,0,0,0.32053000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.923716344753128
1,0,0,0,0,0,0,0,0,0,0,0.9313299999999999,0,0,0,0,0,0,0,0,0,0,8.460200000000002e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.8591862881802568
2,0,0,0,0,0,0,0,0,0,0,0.76505,0,0,0,0,0,0,0,0,0,0,1.3932,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.218976156583466
3,0,0,0,0,0,0,0,0,0,0,0.13532,0,0,0,0,0,0,0,0,0,0,1.3603,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27.596497623754896
4,0,0,0,0,0,0,0,0,0,0,2.028,0,0,0,0,0,0,0,0,0,0,1.4824,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29.906668713674893
5,0,0,0,0,0,0,0,0,0,0,0.58039,0,0,0,0,0,0,0,0,0,0,0.71878,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15.458733843202264
6,0,0,0,0,0,0,0,0,0,0,0.9142899999999999,0,0,0,0,0,0,0,0,0,0,2.5132e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.859661633596493
7,0,0,0,0,0,0,0,0,0,0,3.7583e-07,0,0,0,0,0,0,0,0,0,0,1.344,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27.288096405362634
8,0,0,0,0,0,0,0,0,0,0,0.0024453000000000005,0,0,0,0,0,0,0,0,0,0,1.4394,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29.093094947364005
9,0,0,0,0,0,0,0,0,0,0,1.6439,0,0,0,0,0,0,0,0,0,0,0.9798,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.397315807910843
10,0,0,0,0,0,0,0,0,0,0,0.94945,0,0,0,0,0,0,0,0,0,0,0.50753,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.461816212198167
11,0,0,0,0,0,0,0,0,0,0,1.1355,0,0,0,0,0,0,0,0,0,0,0.39671999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.365255536735148
12,0,0,0,0,0,0,0,0,0,0,0.80297,0,0,0,0,0,0,0,0,0,0,0.5602600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.459484693537087
13,0,0,0,0,0,0,0,0,0,0,1.0456,0,0,0,0,0,0,0,0,0,0,0.87598,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.433008170273705
14,0,0,0,0,0,0,0,0,0,0,0.03455,0,0,0,0,0,0,0,0,0,0,1.5371,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.941610225702938
15,0,0,0,0,0,0,0,0,0,0,0.00011649,0,0,0,0,0,0,0,0,0,0,1.5442,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31.075944498744967
16,0,0,0,0,0,0,0,0,0,0,1.5553,0,0,0,0,0,0,0,0,0,0,1.1485,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23.58917381667009
17,0,0,0,0,0,0,0,0,0,0,0.029112,0,0,0,0,0,0,0,0,0,0,1.4907,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.063707370893038
18,0,0,0,0,0,0,0,0,0,0,1.631,0,0,0,0,0,0,0,0,0,0,1.2053,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24.663848001006336
19,0,0,0,0,0,0,0,0,0,0,1.5837e-05,0,0,0,0,0,0,0,0,0,0,1.6663,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33.38611558866496
