,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0.046479,0,0.026313999999999997,0,0,4.6342e-14,0,0,0.58265,0.00094058,0,3.2658e-14,8.0223e-06,1.1320000000000001,2.7415e-13,0.00020425,3.4521e-06,1.5603e-10,0.63947,0.27016,0.0029370999999999998,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,23.67004748496565
1,0,0,0,0,0.08969400000000001,0,0.34905,0,0,0.20199,0,0,0.3427,0.040642000000000005,0,1.3569000000000001e-11,1.1506e-09,0.76255,0.099453,0.0049399,2.5249e-07,4.4608000000000003e-07,0.28644000000000003,0.43435,0.33025,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,28.194609654809696
2,0,0,0,0,3.7819999999999996e-09,0,0.0029758000000000002,0,0,1.4035e-05,0,0,0.40014,0.00010605,0,1.2122e-08,2.1774000000000004e-09,1.0072,6.1114e-06,0.00039336,0.005677300000000001,0.00095717,0.007060899999999999,0.8013399999999999,0.0025406,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,23.621111561164753
3,0,0,0,0,0.21758000000000002,0,0.13552999999999998,0,0,1.5202e-07,0,0,0.25051999999999996,5.0051e-07,0,8.2094e-12,0.004538899999999999,0.75721,2.4674e-07,7.160300000000001e-08,2.4712e-08,8.056999999999999e-09,0.33146,0.76559,0.6339899999999999,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,31.09996528878192
4,0,0,0,0,1.2774e-10,0,0.00067235,0,0,0.46751000000000004,0,0,0.00233,0.76613,0,0.0010478,0.00021307,0.7149800000000001,2.6962e-08,0.52158,0.00054435,5.2192e-10,0.00014618,1.1431,0.06765800000000001,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,39.105804540069876
5,0,0,0,0,3.4710999999999997e-09,0,0.6744899999999999,0,0,0.28341,0,0,0.20081,1.679e-07,0,2.0084e-11,0.36191999999999996,1.141,5.0646e-08,0.039832,0.00018083,6.227400000000001e-10,0.01641,0.49445,0.09215,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,23.801072097999388
6,0,0,0,0,0.042537,0,0.7802100000000001,0,0,7.4703e-05,0,0,0.20064,8.1114e-05,0,1.1930000000000001e-11,3.8861999999999994e-07,1.3442,3.0092000000000003e-10,0.20640999999999998,7.0931e-08,0.0020242999999999997,0.00034980000000000005,0.25187,3.6941000000000003e-06,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,23.894671214552645
7,0,0,0,0,0.008822700000000001,0,0.06917899999999999,0,0,0.0063951,0,0,9.2443e-10,0.096557,0,2.3194e-12,0.0029544000000000003,1.0211,0.025493000000000002,0.55314,0.23331,0.026144999999999998,0.08691,0.80288,0.32275,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,36.640440500040015
8,0,0,0,0,0.23584000000000002,0,0.7168399999999999,0,0,1.6282e-07,0,0,0.0006572,5.9559e-07,0,0.27953,4.394899999999999e-09,0.8986299999999999,1.0115e-11,0.39100999999999997,4.0444e-12,3.5735999999999997e-08,1.8109e-06,1.2242,0.10134,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,28.53938661859077
9,0,0,0,0,0.00040526,0,0.051711,0,0,1.0476000000000001e-10,0,0,0.00023636,1.7230000000000002e-10,0,3.3265e-08,1.2462999999999999e-08,1.1572,1.5875e-05,1.1021e-09,0.41031999999999996,4.5819e-09,0.038117000000000005,0.37986,0.55694,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,32.28397468994247
