,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0.046406,0,0.027802999999999998,0,0,8.604700000000001e-14,0,0,0.58309,0,0,4.9545e-14,0,1.1326,0,0.00017182,2.8547000000000004e-06,2.0438999999999998e-10,0.63863,0.27046,0.003957199999999999,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,21.898258331459424
1,0,0,0,0,0.098798,0,0.36616,0,0,0.26938,0,0,0.34606,0,0,2.6927e-11,0,0.7387100000000001,0,0.0049364,2.9528000000000003e-07,8.334999999999999e-07,0.2963,0.43577,0.37826,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,26.218926297905035
2,0,0,0,0,4.5202e-09,0,0.0033349000000000005,0,0,2.0221e-05,0,0,0.40018000000000004,0,0,2.3358e-08,0,1.0065,0,0.00033006,0.0062479,0.0011443,0.0059061999999999995,0.8018,0.0021525,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,21.740944608089503
3,0,0,0,0,0.21486,0,0.13997,0,0,1.856e-07,0,0,0.25436,0,0,2.1791000000000002e-11,0,0.7532,0,5.5364000000000005e-08,7.5296e-08,4.8815e-08,0.33087,0.76584,0.63297,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,28.98327229156289
4,0,0,0,0,1.7554000000000002e-11,0,0.3507,0,0,0.37540999999999997,0,0,0.53083,0,0,9.0787e-06,0,0.7814399999999999,0,0.4093,0.15932000000000002,3.0815999999999996e-08,0.0026883000000000002,1.1259,9.8278e-07,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,27.87326509250314
5,0,0,0,0,1.8980999999999998e-07,0,0.3216,0,0,0.53527,0,0,0.19835,0,0,2.1363999999999998e-09,0,0.76688,0,0.30535999999999996,2.0940999999999998e-05,5.5557e-09,0.0039796,0.8506600000000001,4.355e-06,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,25.413045113474826
6,0,0,0,0,0.043887999999999996,0,0.7696,0,0,5.2133000000000004e-05,0,0,0.21176,0,0,2.2960000000000004e-11,0,1.3509,0,0.19078,5.2398e-08,0.0022488000000000005,0.00027834,0.245,3.0398e-06,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,22.139813945066567
7,0,0,0,0,0.019354,0,0.047161,0,0,0.0090405,0,0,2.6040999999999997e-09,0,0,8.7659e-12,0,0.94614,0,0.53257,0.26385,0.15563,0.06957200000000001,0.79418,0.31892,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,36.59276382306556
8,0,0,0,0,0.22484,0,0.71839,0,0,1.6055e-07,0,0,0.00049802,0,0,0.36764,0,0.81081,0,0.44472,6.4483e-12,4.3701e-08,1.4793e-06,1.2206,0.096967,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,27.356259498240924
9,0,0,0,0,0.00060592,0,0.049222,0,0,6.238e-10,0,0,0.00018702,0,0,3.3645999999999996e-08,0,1.1564,0,1.3382e-07,0.41105,8.0147e-09,0.040398,0.38095999999999997,0.55513,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,30.53246294565242
10,0,0,0,0,0.20298,0,0.25608000000000003,0,0,0.044601999999999996,0,0,0.17837999999999998,0,0,3.0501999999999997e-09,0,1.1962,0,1.2634000000000001e-05,0.015995,2.0564e-06,0.060980999999999994,0.5913,4.2778999999999995e-08,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,20.949932191334987
11,0,0,0,0,0.54566,0,0.0085591,0,0,3.0984e-09,0,0,0.23905,0,0,7.9902e-09,0,1.129,0,1.0193e-08,1.8140000000000001e-09,4.5534e-09,0.55393,0.66167,0.07185599999999999,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,22.253490194697967
12,0,0,0,0,2.0640999999999998e-11,0,5.0315e-06,0,0,0.21191,0,0,0.37135999999999997,0,0,2.0839e-06,0,0.97426,0,0.012553,3.9720000000000004e-12,8.4868e-11,0.47029,0.622,2.2038999999999998e-06,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,22.310847240951773
13,0,0,0,0,0.33261,0,0.099589,0,0,0.014554,0,0,0.14339000000000002,0,0,3.438e-12,0,0.9103700000000001,0,0.25033,0.16292,4.8113e-09,0.07549700000000001,0.9712,0.0045207,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,25.92728450312068
14,0,0,0,0,1.9088e-07,0,5.6881000000000005e-08,0,0,0.40175,0,0,0.6670699999999999,0,0,3.6655e-15,0,1.1767,0,1.3623e-12,5.511199999999999e-07,2.2743e-06,0.18796,0.16649,0.0057518000000000005,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,21.4260469690762
15,0,0,0,0,1.1946e-09,0,0.41768,0,0,0.004072999999999999,0,0,0.39409,0,0,3.4212e-12,0,0.98065,0,0.22416,3.9530000000000004e-08,2.5123e-06,0.43078999999999995,0.41825,0.23578000000000002,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,26.709136962281228
16,0,0,0,0,2.0127e-07,0,0.14404,0,0,0.023181999999999998,0,0,0.20917,0,0,5.7926e-12,0,1.0619,0,1.2805e-06,1.0045e-06,6.0955e-07,0.33125,0.67833,0.0046834,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,21.709936005631498
17,0,0,0,0,0.039359,0,0.15019000000000002,0,0,1.1915999999999999e-05,0,0,1.3264e-06,0,0,3.1448999999999998e-09,0,0.90933,0,0.0026521,0.031054000000000002,0.0036249000000000003,0.2708,0.75435,0.00043156,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,22.3476576779967
18,0,0,0,0,0.00026946,0,0.19717,0,0,1.4774000000000001e-05,0,0,0.21429,0,0,1.2258e-07,0,1.0036,0,0.0092744,3.4133e-06,1.5557e-05,0.018912,0.6027,0.0062801,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,21.635566390873045
19,0,0,0,0,1.0104,0,1.02,0,0,0.06426699999999999,0,0,0.32466999999999996,0,0,0.15253,0,0.67486,0,0.73577,3.7045e-09,7.4993e-08,0.0043316000000000006,0.68477,0.023827,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,29.474686231569233
20,0,0,0,0,1.9638e-05,0,0.5114,0,0,0.0004584,0,0,0.0020654,0,0,0.0010156,0,0.73215,0,4.3886999999999995e-05,0.00072153,7.063500000000001e-09,0.69022,0.39039,1.2269e-07,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,22.511431895578674
21,0,0,0,0,1.9263e-08,0,1.2411000000000001e-08,0,0,0.24215,0,0,8.198700000000001e-10,0,0,1.5374999999999999e-10,0,1.1184,0,0.0001036,1.9553000000000002e-10,6.8829e-08,0.0018343,1.0269,0.026601,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,21.622507235540336
22,0,0,0,0,0.145,0,0.0095796,0,0,0.0001664,0,0,0.47734,0,0,1.7177000000000002e-10,0,0.9566600000000001,0,5.9645e-06,0.0047602,1.2078e-11,0.13122,0.7264,0.079449,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,22.66807735747613
23,0,0,0,0,7.0084999999999995e-09,0,0.5501199999999999,0,0,1.9447999999999997e-09,0,0,0.28476999999999997,0,0,0.0001773,0,0.78359,0,4.4376999999999996e-07,0.0048786,1.5314e-09,0.27376999999999996,0.80406,4.2187e-10,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,21.975567838733603
24,0,0,0,0,0.0074753,0,0.54427,0,0,0.009824600000000001,0,0,0.00026122,0,0,5.7219e-08,0,1.2524,0,1.8741e-05,0.0026195,1.0657999999999999e-07,0.06829199999999999,0.27938,0.10117000000000001,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,21.58572448220879
25,0,0,0,0,0.004843899999999999,0,0.29189,0,0,2.16e-06,0,0,0.0024519000000000003,0,0,3.3746e-06,0,1.1244,0,8.8075e-07,2.1861999999999998e-09,4.0951e-09,0.51665,0.47248,0.023715,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,21.76990909237535
26,0,0,0,0,5.7143999999999994e-05,0,0.33516,0,0,0.22077,0,0,0.004069,0,0,4.3211000000000004e-05,0,1.0346,0,3.1706e-05,0.0016307000000000001,1.4775999999999998e-06,0.67071,0.8106,0.03218,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,22.215956808428384
27,0,0,0,0,0.014074000000000001,0,0.095351,0,0,3.3262e-10,0,0,0.0050333999999999995,0,0,0.0010255000000000002,0,0.7245699999999999,0,0.16387000000000002,9.0542e-05,4.6996e-06,3.429e-05,0.7853600000000001,0.5151600000000001,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,29.534675413270154
28,0,0,0,0,0.10400999999999999,0,0.14657,0,0,5.3904999999999995e-06,0,0,0.000819,0,0,2.6907999999999996e-10,0,1.1761,0,2.6577e-05,5.6171e-09,0.0079099,0.1741,0.79066,0.082828,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,22.174037311869924
29,0,0,0,0,8.7911e-07,0,0.5789300000000001,0,0,9.6282e-10,0,0,0.4669,0,0,8.8024e-12,0,0.7761100000000001,0,0.0016899999999999999,5.4429e-08,2.0055999999999996e-07,0.041346,0.44353000000000004,0.5595899999999999,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,27.5884322170107
30,0,0,0,0,2.9350000000000003e-07,0,0.051007,0,0,0.37679,0,0,0.036094,0,0,1.4397e-08,0,1.1349,0,8.6905e-05,2.4444000000000002e-05,0.00059764,0.12294000000000001,0.69587,7.3334e-08,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,21.376499956837876
31,0,0,0,0,0.00067821,0,0.23068000000000002,0,0,5.1953e-06,0,0,0.28319,0,0,5.157399999999999e-11,0,1.0108,0,0.00095624,2.2485999999999998e-05,2.6757e-06,0.054609000000000005,0.79206,0.018664,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,21.652117934108507
32,0,0,0,0,2.5101e-05,0,0.63129,0,0,0.57973,0,0,0.34023000000000003,0,0,4.6063e-14,0,0.98761,0,8.137100000000001e-08,2.7223000000000004e-09,1.0057e-08,0.00030097,0.19116,4.2653e-08,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,21.05443801991521
33,0,0,0,0,0.13984000000000002,0,0.07385499999999999,0,0,0.010065000000000001,0,0,0.32824000000000003,0,0,2.5635e-07,0,0.92658,0,0.00061973,0.003618,0.006699200000000001,0.023622999999999998,0.8594299999999999,0.13032,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,23.25092325858353
34,0,0,0,0,0.29633000000000004,0,0.26959,0,0,0.25238,0,0,0.44309,0,0,3.9178e-13,0,1.0897,0,0.00012082,0.2552,2.2503e-10,0.22166,0.39082,2.1161999999999998e-05,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,23.342976583519608
35,0,0,0,0,0.28209,0,0.28674,0,0,3.7480999999999997e-08,0,0,0.16724,0,0,3.2038e-10,0,0.8632299999999999,0,0.00030655,1.1439999999999999e-07,6.136499999999999e-10,0.13459000000000002,1.022,0.095463,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,22.68827125106028
36,0,0,0,0,0.022175999999999998,0,0.10123,0,0,0.0022111,0,0,0.22885999999999998,0,0,0.010394,0,1.1162,0,1.1886e-07,3.2600999999999995e-09,1.1223e-06,0.10357000000000001,0.77985,0.028827999999999996,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,21.632525730226767
37,0,0,0,0,0.068737,0,0.56017,0,0,0.15749000000000002,0,0,0.019369,0,0,2.9047000000000003e-10,0,0.8804700000000001,0,0.00014217,1.008e-06,3.0289e-06,0.084363,0.82705,0.031658,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,21.780151418560163
38,0,0,0,0,0.16912,0,0.0085026,0,0,0.20357999999999998,0,0,0.001794,0,0,4.6039e-12,0,0.8035100000000001,0,0.54162,0.23225,1.3167e-07,0.33349,0.55038,0.00070168,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,30.495587381074245
39,0,0,0,0,0.083771,0,0.091795,0,0,0.28355,0,0,0.57116,0,0,1.4084e-16,0,1.0387,0,5.4968e-07,6.6765e-07,0.35605,0.37698000000000004,0.68658,0.046693,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,29.513099202372153
40,0,0,0,0,0.00031209,0,0.0019353999999999999,0,0,0.021228,0,0,0.17931,0,0,9.2442e-10,0,0.90594,0,7.2143e-07,0.00016994,0.0018170999999999999,0.054112,0.75284,0.67553,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,29.06971073963395
41,0,0,0,0,6.6938e-05,0,0.21604,0,0,0.13077,0,0,0.028602,0,0,1.5106e-06,0,1.0389,0,0.10635,0.0036967,0.041777,0.16705,0.9975200000000001,0.012464,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,23.712557212629413
42,0,0,0,0,0.081389,0,0.098869,0,0,0.08403,0,0,0.31563,0,0,7.931600000000001e-11,0,1.0534,0,2.3376999999999998e-08,5.1599e-06,6.5282e-09,0.5967399999999999,0.41518999999999995,0.11045,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,23.089347259449973
43,0,0,0,0,9.688200000000001e-08,0,0.69909,0,0,0.20981999999999998,0,0,0.31024,0,0,5.898e-10,0,1.1132,0,0.0055366999999999994,4.4529e-07,1.8536e-05,0.49073,0.13551,1.4652e-05,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,21.18498695943226
44,0,0,0,0,0.3146,0,5.8745999999999995e-09,0,0,0.1771,0,0,0.9038700000000001,0,0,0.00014324,0,2.4668000000000002e-09,0,2.8584e-17,6.0756e-15,2.6626e-08,1.5543,1.3244000000000001e-13,0.66241,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,32.52283520964314
45,0,0,0,0,0.25001,0,0.10914000000000001,0,0,5.1658e-07,0,0,0.043901,0,0,0.00041007,0,0.8739899999999999,0,0.31761,0.00059785,1.8125e-06,0.10786,0.75312,8.5956e-06,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,25.434128899523472
46,0,0,0,0,0.005000699999999999,0,0.07644,0,0,0.043123,0,0,0.49588999999999994,0,0,3.1585e-08,0,0.9106799999999999,0,2.3936999999999998e-05,4.2390000000000003e-07,3.1749e-07,0.42965,0.7172,0.23041,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,24.63337085478288
47,0,0,0,0,0.023372999999999998,0,0.19034,0,0,0.34970999999999997,0,0,2.5771e-09,0,0,1.1414000000000001e-11,0,1.13,0,0.036773,0.017141,7.240899999999999e-05,0.29199,0.38866999999999996,4.9851999999999995e-08,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,21.94700827107421
48,0,0,0,0,2.6907e-06,0,0.33355,0,0,2.3177e-12,0,0,0.5048,0,0,0.00041125,0,1.3429,0,0.00056886,2.0501999999999997e-08,2.698e-11,0.026180000000000002,0.32204,6.036100000000001e-08,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,20.445883760140966
49,0,0,0,0,4.4791999999999995e-08,0,0.16698,0,0,0.21625999999999998,0,0,0.79505,0,0,0.00020417,0,0.65783,0,3.6186e-05,0.0003116,0.00034457,0.010406,0.5526800000000001,0.55137,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,28.18814307708255
50,0,0,0,0,0.30384,0,0.27485,0,0,0.16708,0,0,0.0018225000000000001,0,0,2.3701e-06,0,1.0281,0,0.0025749,1.7811e-09,4.6941e-10,0.50976,0.47002,1.5744e-07,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,21.63390680495754
51,0,0,0,0,2.5260999999999998e-05,0,0.29599000000000003,0,0,2.7000999999999997e-07,0,0,0.9086200000000001,0,0,5.4923e-13,0,0.39626,0,0.59819,5.702e-13,1.5437e-07,0.02652,1.3326,0.8053899999999999,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,38.19984719544774
