,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0.021096,0,0,0,0.00027715,6.8376e-13,3.1954000000000004e-06,0,0.58677,0,0,9.0968e-14,0,1.1297,0,0,5.690800000000001e-06,6.735299999999999e-10,0.66813,0.27814,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,26.265105768121273
1,0,0,0,0,0.22311999999999999,0,0,0,1.2703e-11,0.48181999999999997,0.076258,0,0.41102,0,0,3.8563e-12,0,0.90584,0,0,0.0011560000000000001,1.8680999999999996e-07,0.12634,0.5200199999999999,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.30813603424044
2,0,0,0,0,1.2398e-08,0,0,0,0.11195999999999999,3.9671e-05,6.7004e-08,0,0.42173,0,0,2.488e-08,0,1.0102,0,0,0.0080747,0.00023757,0.026833,0.72636,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.215986573183947
3,0,0,0,0,0.069017,0,0,0,0.24101999999999998,9.3104e-07,0.0010789999999999999,0,0.15734,0,0,1.953e-11,0,0.74511,0,0,4.8982e-06,1.8194e-10,0.14265999999999998,0.78889,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.517553684840532
4,0,0,0,0,6.381600000000001e-13,0,0,0,4.4351e-09,0.52382,0.2357,0,0.43678,0,0,5.205399999999999e-06,0,0.6469600000000001,0,0,0.18473,1.9061000000000003e-10,0.0031717,1.2571,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,26.975690214100755
5,0,0,0,0,6.1931e-08,0,0,0,0.035438,0.47686000000000006,0.009347,0,0.080718,0,0,1.5349000000000001e-09,0,0.78128,0,0,1.2552000000000001e-05,2.6455e-09,0.038405,0.86567,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.362787381080892
6,0,0,0,0,0.00029245,0,0,0,7.4093e-08,0.26468,0.40038,0,0.029695999999999997,0,0,8.502399999999999e-13,0,1.4862,0,0,2.6419000000000006e-09,9.0771e-09,0.41101000000000004,0.49891,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.503289764909418
7,0,0,0,0,0.21211999999999998,0,0,0,0.55145,0.4188,0.026556,0,1.9582e-05,0,0,9.9494e-14,0,1.1177,0,0,2.2799e-06,1.0228999999999998e-09,0.084199,0.41493,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,24.97424230664095
8,0,0,0,0,0.3327,0,0,0,9.541600000000001e-05,0.31386,0.31668,0,0.057529,0,0,0.00033116,0,0.8739600000000001,0,0,0.0019501999999999998,0.00017705,0.35294000000000003,0.80174,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.70494740780535
9,0,0,0,0,0.74168,0,0,0,2.9175e-05,1.6896e-09,1.0208e-08,0,2.9501e-07,0,0,3.1902999999999993e-10,0,1.0635,0,0,0.36441,0.00085145,0.16543,0.56487,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,28.02966835776538
10,0,0,0,0,0.21335,0,0,0,0.026704000000000002,0.12312000000000001,0.0026552,0,0.16862,0,0,9.6306e-10,0,1.2374,0,0,0.030639999999999997,2.8659e-05,0.058145,0.67199,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.163646847541198
11,0,0,0,0,0.32706999999999997,0,0,0,3.7360000000000003e-10,2.8327e-08,0.37294,0,0.13667,0,0,7.316600000000001e-08,0,1.0323,0,0,3.4584000000000004e-09,9.343799999999998e-09,0.96106,0.68033,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,26.712518867728075
12,0,0,0,0,3.0398e-09,0,0,0,6.5231e-09,0.21051999999999998,0.0080045,0,0.3715,0,0,3.9295000000000003e-07,0,0.97865,0,0,6.050600000000001e-09,1.3894e-08,0.46583,0.60982,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,26.01712150292508
13,0,0,0,0,0.31290999999999997,0,0,0,0.07623200000000001,0.046908,0.023932,0,0.22150999999999998,0,0,6.196100000000001e-11,0,0.9654,0,0,0.1528,7.9722e-09,0.074283,0.9574299999999999,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,26.381615480002512
14,0,0,0,0,2.2433999999999998e-08,0,0,0,1.2144999999999999e-11,0.44265,0.10475,0,0.6677,0,0,5.1757e-15,0,1.1361,0,0,1.0193e-07,5.5201e-07,0.25422,0.1916,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.489582817400454
15,0,0,0,0,3.4752e-08,0,0,0,0.009733499999999999,0.13112000000000001,0.00026016,0,0.35076,0,0,8.6048e-12,0,0.78784,0,0,1.8598e-05,0.00066003,0.45829,0.3827,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,26.163298888744215
16,0,0,0,0,3.7806e-07,0,0,0,0.020366,0.15053,2.255e-05,0,0.20592,0,0,5.1852e-12,0,1.148,0,0,2.4554e-06,6.6145e-08,0.31772,0.7401399999999999,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.597179320849662
17,0,0,0,0,0.16263,0,0,0,4.0478e-09,9.1979e-07,8.6923e-05,0,1.3617999999999998e-08,0,0,7.864300000000001e-09,0,1.0012,0,0,0.06540599999999999,0.0042356,0.31314000000000003,0.82195,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,26.214581754378912
18,0,0,0,0,0.0067385000000000006,0,0,0,0.0018981999999999998,1.5114000000000001e-05,0.0011818,0,0.15108,0,0,5.3197e-08,0,1.0325,0,0,4.5261e-06,2.1516e-05,0.082817,0.6702199999999999,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.244871102556022
19,0,0,0,0,0.14504,0,0,0,2.2275e-06,0.1082,0.23805,0,0.2012,0,0,2.2510000000000002e-07,0,1.1059,0,0,1.0771e-08,6.2005e-05,0.32352,0.57838,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.557873640472167
20,0,0,0,0,0.18808,0,0,0,0.0015934,1.3116e-07,0.0074308,0,5.5197e-07,0,0,0.020744,0,0.8735299999999999,0,0,0.0032864000000000005,1.1002999999999998e-09,0.91281,0.9273100000000001,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,26.86134782521986
21,0,0,0,0,5.7713999999999997e-08,0,0,0,4.2908e-05,0.25256999999999996,2.6814e-09,0,8.929e-10,0,0,2.3902e-10,0,1.1124,0,0,1.3537000000000002e-09,1.1372999999999999e-07,0.0027011,1.0241,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.032824063557925
22,0,0,0,0,0.24351,0,0,0,0.018412,2.0345999999999998e-05,0.13982,0,0.76384,0,0,1.9855999999999998e-11,0,0.8362200000000001,0,0,0.007459,8.6059e-12,0.2284,0.6479699999999999,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.595871286419687
23,0,0,0,0,4.75e-08,0,0,0,0.0019645,4.1941e-06,0.0017784000000000003,0,0.03977,0,0,0.0010808,0,0.77947,0,0,0.0025605999999999997,2.9485e-09,0.33415,0.8437399999999999,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.95026910162561
24,0,0,0,0,0.34097,0,0,0,2.4222e-05,1.3425999999999999e-09,0.050075,0,0.012765,0,0,1.035e-10,0,1.1667,0,0,0.0089352,5.5393e-06,0.42946000000000006,0.31148000000000003,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.665532134858402
25,0,0,0,0,0.014872,0,0,0,4.5876999999999997e-07,6.049e-06,3.875e-05,0,5.4458999999999995e-05,0,0,1.8485e-06,0,1.1186,0,0,8.080899999999999e-08,8.478399999999999e-10,0.15930999999999998,0.60742,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.315119565758796
26,0,0,0,0,0.0010211999999999999,0,0,0,6.192999999999999e-10,0.3702,1.1505e-05,0,0.00030787,0,0,1.0118e-05,0,0.69021,0,0,0.0025895,1.3640000000000002e-08,0.69907,1.1658,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,26.712722167338903
27,0,0,0,0,0.15414,0,0,0,2.4653000000000003e-10,2.9041000000000003e-11,0.19460999999999998,0,7.8974e-08,0,0,0.0010818,0,0.62963,0,0,8.421899999999999e-07,9.4321e-06,0.023813,1.2616,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.369365078220667
28,0,0,0,0,0.33764,0,0,0,0.43918,0.024307,2.734e-05,0,0.00024352,0,0,3.0694e-10,0,1.093,0,0,1.7666e-07,3.3999e-07,0.45658000000000004,0.58708,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.638925704377574
29,0,0,0,0,0.20528000000000002,0,0,0,1.0773e-05,6.8632e-10,5.1946e-09,0,0.59125,0,0,2.5125e-12,0,0.85872,0,0,2.1641e-08,5.0163000000000006e-09,0.22673000000000001,0.77083,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.53714846656176
30,0,0,0,0,1.7014e-07,0,0,0,8.8452e-09,0.38664,0.034204000000000005,0,0.06563,0,0,1.3571999999999999e-08,0,1.1049,0,0,3.5617e-05,0.0022971,0.088274,0.73352,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.227498354308775
31,0,0,0,0,0.00010993,0,0,0,2.4980000000000003e-08,7.6888e-06,2.4684e-05,0,0.094568,0,0,3.4688e-11,0,0.9205899999999999,0,0,0.00014951,9.2687e-06,0.25897,0.88849,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.673930717402012
32,0,0,0,0,0.36377,0,0,0,2.4726e-06,0.57357,1.5348000000000001e-09,0,0.5037,0,0,4.5506e-16,0,0.77291,0,0,8.9213e-12,2.1531e-07,0.050593,0.37075,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.177117269717478
33,0,0,0,0,0.072381,0,0,0,1.7339000000000002e-07,0.063644,0.068937,0,0.3442,0,0,5.3584e-08,0,1.0051,0,0,0.007491800000000001,0.26605,0.133,0.65593,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,28.443434139614652
34,0,0,0,0,0.16683,0,0,0,0.065388,0.20920999999999998,0.00039937,0,0.4148,0,0,8.7145e-11,0,1.0966,0,0,0.10783,4.5767e-09,0.15889,0.5533899999999999,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,26.144625172235475
35,0,0,0,0,0.040369,0,0,0,0.079137,6.7663e-08,1.3280999999999999e-05,0,0.1776,0,0,3.5332000000000003e-10,0,1.0788,0,0,1.0767e-06,4.2645999999999994e-10,0.081956,0.94726,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.173987258522793
36,0,0,0,0,0.00058591,0,0,0,0.39183,1.8409e-05,0.014863,0,0.61332,0,0,0.00074287,0,1.2829,0,0,1.0445999999999999e-09,9.654700000000001e-07,0.045641,0.67493,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,24.91922593952578
37,0,0,0,0,0.00027493,0,0,0,8.321200000000001e-07,0.0012792,3.3157000000000004e-08,0,4.9024e-05,0,0,9.4802e-10,0,0.80745,0,0,0.00026011,1.1097e-05,0.4212,0.74328,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,26.073117292739646
38,0,0,0,0,0.081535,0,0,0,6.5956e-15,0.17051,1.2219e-07,0,0.19713,0,0,1.263e-13,0,0.9800399999999999,0,0,0.16125,3.2159e-10,0.45488999999999996,0.74152,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,27.312869784975625
39,0,0,0,0,0.14207,0,0,0,0.061553,0.15204,0.00020553,0,0.44677,0,0,1.9285e-14,0,1.0986,0,0,2.6013999999999998e-06,0.25379,0.27389,0.66714,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,28.378923647667722
40,0,0,0,0,0.40028,0,0,0,3.3123000000000002e-09,0.086936,1.0929000000000002e-06,0,0.008450299999999999,0,0,2.2599e-10,0,0.93115,0,0,0.0015527999999999998,0.0010864000000000002,0.10165,0.80889,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.1494298030742
41,0,0,0,0,0.0028826999999999998,0,0,0,0.07374299999999999,0.14916,1.7332000000000002e-07,0,0.037943,0,0,3.2224e-08,0,0.9670700000000001,0,0,0.00050242,0.16579000000000002,0.28308,0.8233,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,27.577987040160004
42,0,0,0,0,0.030755,0,0,0,2.0709999999999997e-06,0.22298,0.006194699999999999,0,0.27876,0,0,4.1961000000000005e-11,0,1.1753,0,0,2.5706e-06,1.4876e-08,0.48372,0.45083,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,25.873519849426298
