,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0.51417,0,0,0,0,1.0745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
1,0,0,0,0,0,0,0,0,0,0,0,0,0.67695,0,0,0,0,1.0448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
2,0,0,0,0,0,0,0,0,0,0,0,0,0.60733,0,0,0,0,0.91364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
3,0,0,0,0,0,0,0,0,0,0,0,0,0.47781999999999997,0,0,0,0,0.9542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
4,0,0,0,0,0,0,0,0,0,0,0,0,0.35588000000000003,0,0,0,0,1.3952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
5,0,0,0,0,0,0,0,0,0,0,0,0,0.44068,0,0,0,0,1.2894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
6,0,0,0,0,0,0,0,0,0,0,0,0,0.14947,0,0,0,0,1.2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
7,0,0,0,0,0,0,0,0,0,0,0,0,1.2873e-07,0,0,0,0,1.3241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
8,0,0,0,0,0,0,0,0,0,0,0,0,0.25572,0,0,0,0,0.90623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
9,0,0,0,0,0,0,0,0,0,0,0,0,0.57767,0,0,0,0,1.1566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
10,0,0,0,0,0,0,0,0,0,0,0,0,0.17923,0,0,0,0,1.0816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
11,0,0,0,0,0,0,0,0,0,0,0,0,0.5525,0,0,0,0,0.87366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
12,0,0,0,0,0,0,0,0,0,0,0,0,0.54764,0,0,0,0,0.91827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
13,0,0,0,0,0,0,0,0,0,0,0,0,0.19715,0,0,0,0,0.9411700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
14,0,0,0,0,0,0,0,0,0,0,0,0,0.72464,0,0,0,0,1.0448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
15,0,0,0,0,0,0,0,0,0,0,0,0,0.5543,0,0,0,0,0.43888999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
16,0,0,0,0,0,0,0,0,0,0,0,0,0.34287,0,0,0,0,0.77015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
17,0,0,0,0,0,0,0,0,0,0,0,0,0.46825,0,0,0,0,1.0384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
18,0,0,0,0,0,0,0,0,0,0,0,0,0.27618000000000004,0,0,0,0,0.9906799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
19,0,0,0,0,0,0,0,0,0,0,0,0,0.49318,0,0,0,0,1.0921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
20,0,0,0,0,0,0,0,0,0,0,0,0,0.47718,0,0,0,0,0.8715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
21,0,0,0,0,0,0,0,0,0,0,0,0,0.020355,0,0,0,0,0.9890399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
22,0,0,0,0,0,0,0,0,0,0,0,0,0.6290399999999999,0,0,0,0,1.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
23,0,0,0,0,0,0,0,0,0,0,0,0,0.78267,0,0,0,0,0.60122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
24,0,0,0,0,0,0,0,0,0,0,0,0,0.00052225,0,0,0,0,1.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
25,0,0,0,0,0,0,0,0,0,0,0,0,0.0812,0,0,0,0,0.98041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
26,0,0,0,0,0,0,0,0,0,0,0,0,0.58458,0,0,0,0,1.1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
27,0,0,0,0,0,0,0,0,0,0,0,0,0.055659,0,0,0,0,1.1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
28,0,0,0,0,0,0,0,0,0,0,0,0,0.21415,0,0,0,0,1.0193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
29,0,0,0,0,0,0,0,0,0,0,0,0,0.27989,0,0,0,0,1.1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
30,0,0,0,0,0,0,0,0,0,0,0,0,0.090685,0,0,0,0,1.1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
31,0,0,0,0,0,0,0,0,0,0,0,0,0.41943,0,0,0,0,1.1659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
32,0,0,0,0,0,0,0,0,0,0,0,0,0.5364899999999999,0,0,0,0,1.1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
33,0,0,0,0,0,0,0,0,0,0,0,0,0.61334,0,0,0,0,1.1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32.40329692483821
