,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0,0,0,0,0.64276,0,0,0,0,0,0,0,0,0.14246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5.820722944992044
1,0,0,0,0,0,0,0,0,0,0,0,0,0.89674,0,0,0,0,0,0,0,0,0.45398999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,14.48376916542646
2,0,0,0,0,0,0,0,0,0,0,0,0,1.9014,0,0,0,0,0,0,0,0,1.4735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,42.83436863319873
3,0,0,0,0,0,0,0,0,0,0,0,0,0.51115,0,0,0,0,0,0,0,0,1.2103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,35.51528615247989
4,0,0,0,0,0,0,0,0,0,0,0,0,0.079821,0,0,0,0,0,0,0,0,1.6469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,47.65628695446258
5,0,0,0,0,0,0,0,0,0,0,0,0,1.1443,0,0,0,0,0,0,0,0,0.5757399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,17.869400974041653
6,0,0,0,0,0,0,0,0,0,0,0,0,0.055251,0,0,0,0,0,0,0,0,1.3049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,38.145929019789925
7,0,0,0,0,0,0,0,0,0,0,0,0,1.1441,0,0,0,0,0,0,0,0,0.9005299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,26.901182124925658
8,0,0,0,0,0,0,0,0,0,0,0,0,1.1198,0,0,0,0,0,0,0,0,0.82409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,24.775533702333913
9,0,0,0,0,0,0,0,0,0,0,0,0,0.86444,0,0,0,0,0,0,0,0,1.3530000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,39.48349690475413
10,0,0,0,0,0,0,0,0,0,0,0,0,0.78996,0,0,0,0,0,0,0,0,1.0857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,32.050401361075764
11,0,0,0,0,0,0,0,0,0,0,0,0,0.49108,0,0,0,0,0,0,0,0,0.8036399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,24.206858790743105
12,0,0,0,0,0,0,0,0,0,0,0,0,0.7379100000000001,0,0,0,0,0,0,0,0,1.7240000000000001e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.8592340692131355
13,0,0,0,0,0,0,0,0,0,0,0,0,0.71559,0,0,0,0,0,0,0,0,0.055864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.4126558230303097
14,0,0,0,0,0,0,0,0,0,0,0,0,0.60961,0,0,0,0,0,0,0,0,0.9620799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,28.61276847252537
15,0,0,0,0,0,0,0,0,0,0,0,0,0.9015700000000001,0,0,0,0,0,0,0,0,0.41088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13.284963520503252
16,0,0,0,0,0,0,0,0,0,0,0,0,0.8186100000000001,0,0,0,0,0,0,0,0,0.26554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9.243339478908739
17,0,0,0,0,0,0,0,0,0,0,0,0,0.9526600000000001,0,0,0,0,0,0,0,0,0.42361000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13.638960176960511
18,0,0,0,0,0,0,0,0,0,0,0,0,0.80361,0,0,0,0,0,0,0,0,1.0356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,30.657217347838632
19,0,0,0,0,0,0,0,0,0,0,0,0,1.5830000000000002,0,0,0,0,0,0,0,0,1.7741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,51.193472712621535
20,0,0,0,0,0,0,0,0,0,0,0,0,1.3507,0,0,0,0,0,0,0,0,0.88785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,26.548575871675226
21,0,0,0,0,0,0,0,0,0,0,0,0,1.1392,0,0,0,0,0,0,0,0,0.33237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11.10175240514901
22,0,0,0,0,0,0,0,0,0,0,0,0,0.98539,0,0,0,0,0,0,0,0,0.39708000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12.90121223541997
23,0,0,0,0,0,0,0,0,0,0,0,0,1.6828,0,0,0,0,0,0,0,0,1.0384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,30.735079927420745
24,0,0,0,0,0,0,0,0,0,0,0,0,1.1243,0,0,0,0,0,0,0,0,1.3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,38.01245031193488
25,0,0,0,0,0,0,0,0,0,0,0,0,2.6667999999999998e-08,0,0,0,0,0,0,0,0,1.5822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,45.857105204833
26,0,0,0,0,0,0,0,0,0,0,0,0,0.6060399999999999,0,0,0,0,0,0,0,0,0.57262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,17.78263981393587
27,0,0,0,0,0,0,0,0,0,0,0,0,0.9469,0,0,0,0,0,0,0,0,0.65671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,20.121019927171613
28,0,0,0,0,0,0,0,0,0,0,0,0,0.62508,0,0,0,0,0,0,0,0,0.46817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,14.878087514881601
29,0,0,0,0,0,0,0,0,0,0,0,0,1.4207,0,0,0,0,0,0,0,0,0.9570299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,28.4723377486362
30,0,0,0,0,0,0,0,0,0,0,0,0,0.71764,0,0,0,0,0,0,0,0,0.0028294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.9378662647782918
31,0,0,0,0,0,0,0,0,0,0,0,0,1.7211,0,0,0,0,0,0,0,0,1.2633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,36.98911355171279
32,0,0,0,0,0,0,0,0,0,0,0,0,0.94932,0,0,0,0,0,0,0,0,0.42026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13.545803162103336
33,0,0,0,0,0,0,0,0,0,0,0,0,0.049928,0,0,0,0,0,0,0,0,1.3823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,40.29827318395269
34,0,0,0,0,0,0,0,0,0,0,0,0,0.73473,0,0,0,0,0,0,0,0,0.71414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,21.71803705052907
35,0,0,0,0,0,0,0,0,0,0,0,0,1.3322,0,0,0,0,0,0,0,0,2.0925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,60.04756033367349
36,0,0,0,0,0,0,0,0,0,0,0,0,0.68857,0,0,0,0,0,0,0,0,0.9443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,28.11834109217894
37,0,0,0,0,0,0,0,0,0,0,0,0,0.5314399999999999,0,0,0,0,0,0,0,0,1.4951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,43.43502281854648
38,0,0,0,0,0,0,0,0,0,0,0,0,0.65372,0,0,0,0,0,0,0,0,0.42696000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13.732117191817684
39,0,0,0,0,0,0,0,0,0,0,0,0,1.1529e-06,0,0,0,0,0,0,0,0,1.2718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,37.22548209687278
40,0,0,0,0,0,0,0,0,0,0,0,0,0.67081,0,0,0,0,0,0,0,0,1.6288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,47.15296099359248
41,0,0,0,0,0,0,0,0,0,0,0,0,1.0843,0,0,0,0,0,0,0,0,0.32172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10.805596522095609
42,0,0,0,0,0,0,0,0,0,0,0,0,0.82699,0,0,0,0,0,0,0,0,0.38745999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12.633698658427129
43,0,0,0,0,0,0,0,0,0,0,0,0,0.44468,0,0,0,0,0,0,0,0,1.3084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,38.243257244267575
44,0,0,0,0,0,0,0,0,0,0,0,0,0.72033,0,0,0,0,0,0,0,0,0.027263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.6173173806631387
45,0,0,0,0,0,0,0,0,0,0,0,0,0.45873,0,0,0,0,0,0,0,0,1.4776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,42.94838169615826
46,0,0,0,0,0,0,0,0,0,0,0,0,1.0236,0,0,0,0,0,0,0,0,0.8963700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,26.78550057811795
47,0,0,0,0,0,0,0,0,0,0,0,0,0.59018,0,0,0,0,0,0,0,0,0.004455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.983071053838537
48,0,0,0,0,0,0,0,0,0,0,0,0,0.21251,0,0,0,0,0,0,0,0,1.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,34.36681310364369
49,0,0,0,0,0,0,0,0,0,0,0,0,0.052065999999999994,0,0,0,0,0,0,0,0,1.5566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,45.145218762939365
50,0,0,0,0,0,0,0,0,0,0,0,0,1.3753,0,0,0,0,0,0,0,0,0.56224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,17.493992108199315
51,0,0,0,0,0,0,0,0,0,0,0,0,0.9815299999999999,0,0,0,0,0,0,0,0,0.7005399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,21.339847378273078
52,0,0,0,0,0,0,0,0,0,0,0,0,1.0378,0,0,0,0,0,0,0,0,0.72101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,21.909078451146616
53,0,0,0,0,0,0,0,0,0,0,0,0,1.0532,0,0,0,0,0,0,0,0,1.1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,32.90132812365174
54,0,0,0,0,0,0,0,0,0,0,0,0,1.4716000000000001e-08,0,0,0,0,0,0,0,0,1.5904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,46.08513133075204
55,0,0,0,0,0,0,0,0,0,0,0,0,0.60773,0,0,0,0,0,0,0,0,0.27126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9.402401605769345
56,0,0,0,0,0,0,0,0,0,0,0,0,1.1359,0,0,0,0,0,0,0,0,1.4634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,42.553507185420386
57,0,0,0,0,0,0,0,0,0,0,0,0,0.46588,0,0,0,0,0,0,0,0,0.9169799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,27.358624779970583
58,0,0,0,0,0,0,0,0,0,0,0,0,0.8386600000000001,0,0,0,0,0,0,0,0,0.91281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,27.24266515252151
59,0,0,0,0,0,0,0,0,0,0,0,0,0.80818,0,0,0,0,0,0,0,0,0.6196699999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,19.09100923155677
60,0,0,0,0,0,0,0,0,0,0,0,0,0.69003,0,0,0,0,0,0,0,0,0.25008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8.813426807358917
61,0,0,0,0,0,0,0,0,0,0,0,0,1.1957000000000001e-05,0,0,0,0,0,0,0,0,1.5635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,45.337094405481004
62,0,0,0,0,0,0,0,0,0,0,0,0,2.1122,0,0,0,0,0,0,0,0,1.8935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,54.51375557051602
63,0,0,0,0,0,0,0,0,0,0,0,0,1.4416,0,0,0,0,0,0,0,0,1.1465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,33.741131660573124
