,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0.77464,0,0,0,0,0,0,0,0,0,0,0,0.82089,0,0,0.043554,8.651699999999999e-06,0.55613,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,36.75427233313608
1,0,0,0,0,0,0.72168,0,0,0,0,0,0,0,0,0,0,0,1.3442,0,0,8.3477e-05,1.7304000000000002e-07,0.23137,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,34.88030552404004
2,0,0,0,0,0,0.6612,0,0,0,0,0,0,0,0,0,0,0,0.92138,0,0,1.9801e-06,0.00062423,0.47403999999999996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,36.44996599729087
3,0,0,0,0,0,0.32232,0,0,0,0,0,0,0,0,0,0,0,1.0788,0,0,0.00035297,2.2809999999999998e-07,0.46112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,37.094094410447795
4,0,0,0,0,0,0.6847300000000001,0,0,0,0,0,0,0,0,0,0,0,1.1157,0,0,7.1765e-06,0.12554,0.46401000000000003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,38.73659952869563
5,0,0,0,0,0,0.67201,0,0,0,0,0,0,0,0,0,0,0,1.2579,0,0,2.8362e-08,7.2477e-08,0.28781999999999996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,35.32070289707798
6,0,0,0,0,0,0.6640699999999999,0,0,0,0,0,0,0,0,0,0,0,0.75159,0,0,0.09868500000000001,0.00038095,0.5945699999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,37.45822389504358
7,0,0,0,0,0,0.82231,0,0,0,0,0,0,0,0,0,0,0,0.83846,0,0,7.8159e-05,1.7764e-07,0.4075,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,35.81311381408922
8,0,0,0,0,0,0.79324,0,0,0,0,0,0,0,0,0,0,0,0.8568399999999999,0,0,0.0020340999999999996,4.7716e-07,0.47063999999999995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,36.154638373878704
9,0,0,0,0,0,0.86592,0,0,0,0,0,0,0,0,0,0,0,0.96311,0,0,7.8217e-08,8.0666e-10,0.47088,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,35.882515633576645
10,0,0,0,0,0,0.19881,0,0,0,0,0,0,0,0,0,0,0,1.1274,0,0,0.019281,1.3652e-06,0.5310600000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,37.73588949842455
11,0,0,0,0,0,0.99641,0,0,0,0,0,0,0,0,0,0,0,0.60136,0,0,0.0055107,1.8671e-08,0.59824,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,36.4306132126801
12,0,0,0,0,0,0.93319,0,0,0,0,0,0,0,0,0,0,0,0.81763,0,0,4.8311e-08,2.2975e-06,0.20515,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,34.6662161527348
13,0,0,0,0,0,0.90445,0,0,0,0,0,0,0,0,0,0,0,1.1859,0,0,0.011768,5.1943e-07,0.48276,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,35.7015078154665
14,0,0,0,0,0,0.78461,0,0,0,0,0,0,0,0,0,0,0,1.0063,0,0,3.4408e-08,1.3622e-07,0.43928999999999996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,35.91030090015091
15,0,0,0,0,0,0.51041,0,0,0,0,0,0,0,0,0,0,0,1.1907,0,0,0.014417,9.1529e-06,0.2469,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,35.647427587891215
16,0,0,0,0,0,0.49195,0,0,0,0,0,0,0,0,0,0,0,0.98766,0,0,1.7871e-05,0.0039147,0.40131999999999995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,36.56340554071869
17,0,0,0,0,0,0.73388,0,0,0,0,0,0,0,0,0,0,0,1.0752,0,0,6.2003e-06,7.1058e-08,0.39347,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,35.77908131777755
18,0,0,0,0,0,0.67324,0,0,0,0,0,0,0,0,0,0,0,0.9486100000000001,0,0,0.011863,9.317400000000001e-10,0.2999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,35.66304652403347
