,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0.79462,0,0,0,0,0,0.035441,0.0032891999999999995,0,0.1047,4.1957e-11,0,0.8085899999999999,4.6455e-09,0,0.011359999999999999,1.0167000000000001e-05,0.56625,0.083105,1.8047e-09,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,37.10236875233055
1,0,0,0,0,0,0.35017,0,0,0,0,0,0.099354,0.33553,0,0.0010665999999999998,9.9261e-12,0,1.0021,7.454199999999999e-05,0,0.0046816,5.4068e-07,0.0020514,0.7087600000000001,0.16129000000000002,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,36.20654924090416
2,0,0,0,0,0,0.25973,0,0,0,0,0,0.23972,0.26149,0,0.12345,1.3184e-10,0,0.9012100000000001,6.5309e-05,0,0.0065265,0.00013242,0.059349,0.6837300000000001,0.0027107,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,36.14894614028766
3,0,0,0,0,0,0.20284000000000002,0,0,0,0,0,1.958e-10,0.11842000000000001,0,0.28218000000000004,1.7461e-11,0,0.72078,0.00070153,0,1.5672e-08,2.6737e-09,0.32216999999999996,0.8703200000000001,0.36468,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,42.7728189648071
4,0,0,0,0,0,0.00012141,0,0,0,0,0,0.00010376,0.009466500000000001,0,2.1643e-10,6.6972e-05,0,0.71026,2.3619e-10,0,0.00065808,3.7317e-09,0.06084,1.1036,0.013737000000000001,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,36.403143251865664
5,0,0,0,0,0,0.31573,0,0,0,0,0,0.06578300000000001,0.10979000000000001,0,6.9498e-06,3.8655e-10,0,0.97539,0.089038,0,0.00026572,1.73e-08,0.008512,0.61433,0.005361600000000001,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,34.72086803108597
6,0,0,0,0,0,0.82075,0,0,0,0,0,0.18057,0.1642,0,0.12225,3.6276e-12,0,0.71063,1.6498e-08,0,0.30168,0.0060574,0.22074000000000002,0.28905,0.0058818,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,37.089324029724224
7,0,0,0,0,0,0.8617,0,0,0,0,0,0.0015244999999999998,2.0019999999999997e-08,0,0.0064054,6.8543e-10,0,0.7562300000000001,7.3396e-06,0,0.39097,1.9217e-09,0.025419999999999998,0.49296,0.14731,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,36.85869553883481
8,0,0,0,0,0,0.35794000000000004,0,0,0,0,0,0.29170999999999997,0.22266,0,0.029562,1.2522e-05,0,0.63713,1.9025e-09,0,0.0011220999999999998,0.00013147,0.12654,0.94209,0.13995,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,37.5099021275778
9,0,0,0,0,0,0.36328,0,0,0,0,0,0.47086000000000006,0.20609,0,0.067618,4.4010999999999996e-08,0,0.89504,3.177e-08,0,0.3693,2.9007e-11,0.031414,0.41373999999999994,0.57512,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,42.670892327914245
10,0,0,0,0,0,0.26886,0,0,0,0,0,0.33243,0.074994,0,0.21625,3.0629000000000004e-10,0,1.1249,0.10645,0,0.0039924,0.0018992999999999998,0.052580999999999996,0.88565,7.7254e-09,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,36.28565109361385
