,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0.9160299999999999,0,0,0,0,0.30545,0,0,0,0,0,0,0.7096899999999999,0,0,0,6.7732e-07,0.5918800000000001,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,32.73994573270713
1,0,0,0,0,0,0.90271,0,0,0,0,0.34603,0,0,0,0,0,0,1.304,0,0,0,4.1724e-08,0.38537,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,31.686102030862635
2,0,0,0,0,0,0.6603,0,0,0,0,0.0026011999999999997,0,0,0,0,0,0,0.9219200000000001,0,0,0,0.00054733,0.47963999999999996,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,32.831149720206845
3,0,0,0,0,0,0.30962,0,0,0,0,0.15007,0,0,0,0,0,0,1.0195,0,0,0,2.417e-07,0.58912,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,34.12391214738908
4,0,0,0,0,0,0.6953,0,0,0,0,1.7837e-05,0,0,0,0,0,0,1.117,0,0,0,0.11984000000000002,0.44701,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,34.795015363265215
5,0,0,0,0,0,0.67203,0,0,0,0,4.777e-06,0,0,0,0,0,0,1.2579,0,0,0,7.0991e-08,0.28769,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,31.85589451419447
6,0,0,0,0,0,0.79281,0,0,0,0,1.4725e-05,0,0,0,0,0,0,0.70882,0,0,0,0.00050477,0.57998,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,33.00416404384413
7,0,0,0,0,0,0.82029,0,0,0,0,0.0025093000000000003,0,0,0,0,0,0,0.83985,0,0,0,9.298500000000001e-08,0.40881999999999996,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,32.149971205166096
8,0,0,0,0,0,0.84255,0,0,0,0,0.18484,0,0,0,0,0,0,0.8770100000000001,0,0,0,8.721e-07,0.47825,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,32.37882547459823
9,0,0,0,0,0,0.8662799999999999,0,0,0,0,0.00010158,0,0,0,0,0,0,0.96293,0,0,0,1.7597e-07,0.47068999999999994,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,32.25819615971612
10,0,0,0,0,0,0.20062,0,0,0,0,1.0994000000000002e-07,0,0,0,0,0,0,1.1336,0,0,0,1.5965e-06,0.5394100000000001,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,34.142289005722624
11,0,0,0,0,0,0.99497,0,0,0,0,1.4928e-07,0,0,0,0,0,0,0.6039100000000001,0,0,0,1.5264e-09,0.60252,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,32.62620010723828
12,0,0,0,0,0,0.9333100000000001,0,0,0,0,5.9291e-06,0,0,0,0,0,0,0.8176399999999999,0,0,0,1.9297999999999997e-06,0.20524,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,31.007543098704723
