,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,1.0769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0535,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.091786660094527
1,0,0,0,0,0,1.5112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58685,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.084183863082297
2,0,0,0,0,0,0.9968299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0802,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.385663293904837
3,0,0,0,0,0,0.9266700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83065,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.44427155328083
4,0,0,0,0,0,0.88421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.34546923493465
5,0,0,0,0,0,1.0901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0049,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.8492008305131336
6,0,0,0,0,0,0.6813899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2955,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.027074625375247
7,0,0,0,0,0,0.99139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95706,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.856776517032385
8,0,0,0,0,0,1.0269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95085,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.751180337095672
9,0,0,0,0,0,1.1740000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8321299999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.905273324536999
10,0,0,0,0,0,1.1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8954200000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.259362333375545
11,0,0,0,0,0,1.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88484,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.236048615640964
12,0,0,0,0,0,1.4403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29958,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.978741419723685
13,0,0,0,0,0,1.6275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8300299999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.895831621618133
14,0,0,0,0,0,1.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7671899999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.549450669448433
15,0,0,0,0,0,1.5663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7213,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.5532214437949605
16,0,0,0,0,0,1.1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0362,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.925590405911612
17,0,0,0,0,0,1.3229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7643800000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.2792789510494185
18,0,0,0,0,0,1.0134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81398,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.1797621131334495
19,0,0,0,0,0,1.2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68758,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.206605785394224
20,0,0,0,0,0,1.9825e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6411,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.047941913139562
21,0,0,0,0,0,1.0348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99436,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.924871515092779
22,0,0,0,0,0,1.1508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63421,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.087090529667181
23,0,0,0,0,0,1.3939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9809,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.073735758023245
24,0,0,0,0,0,0.9201600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47281000000000006,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.886839210206011
25,0,0,0,0,0,1.3486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60269,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.51238276674366
26,0,0,0,0,0,1.2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0847,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.809114326583893
27,0,0,0,0,0,0.9022600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89035,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.760337690912189
28,0,0,0,0,0,1.5052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50184,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.724015905940553
29,0,0,0,0,0,2.1364999999999998e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.45336402756244
30,0,0,0,0,0,1.1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95652,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.580453054805029
31,0,0,0,0,0,1.1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89364,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.258822111171218
32,0,0,0,0,0,0.9219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0742,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.52457062782348
33,0,0,0,0,0,1.2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8871100000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.064061458653349
34,0,0,0,0,0,1.1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85756,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.1111501029180895
35,0,0,0,0,0,1.2746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7964100000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.526496916974622
36,0,0,0,0,0,1.2738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8534299999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.778718247633487
37,0,0,0,0,0,1.5492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8443700000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.13151387948887
38,0,0,0,0,0,0.9477200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23569,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.784519002997419
