,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0.81117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98406,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.060201619738432
1,0,0,0,0,0,0.36626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84215,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.79696461214874
2,0,0,0,0,0,1.2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15465,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.832441726390768
3,0,0,0,0,0,1.0467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39882,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.726561803504255
4,0,0,0,0,0,1.2930000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62161,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.279705154366829
5,0,0,0,0,0,0.8674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1728,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22.070302055313647
6,0,0,0,0,0,0.002293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8976799999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.682579093379488
7,0,0,0,0,0,0.74466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83119,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.6221701818536
8,0,0,0,0,0,1.0183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46588,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.796061301277243
9,0,0,0,0,0,1.3492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3280999999999998e-07,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.3660242600864962
10,0,0,0,0,0,1.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6591600000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.878567458890773
11,0,0,0,0,0,0.9393100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48561000000000004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.110723172602341
12,0,0,0,0,0,0.80424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76869,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.62539537405742
13,0,0,0,0,0,1.6933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5131600000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.5501015078789
14,0,0,0,0,0,1.3403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5124e-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.3670607653812272
15,0,0,0,0,0,0.33066999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88574,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.49215523409811
16,0,0,0,0,0,1.5019999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62935,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.403145746564306
17,0,0,0,0,0,1.3214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52923,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.80639224645945
18,0,0,0,0,0,1.5652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.314012287880134
19,0,0,0,0,0,1.1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27908,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.816900755736025
20,0,0,0,0,0,1.3277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3643,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.124420066401143
21,0,0,0,0,0,0.4376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8451200000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.844331351015217
22,0,0,0,0,0,1.0386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2834,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.885797830450897
23,0,0,0,0,0,1.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49355,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.237353444184768
24,0,0,0,0,0,0.2268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8349200000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.681657702382882
