,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0.77244,0,0,0,0,0,0,0,0,0,3.5315e-10,0,0.82321,0,0,0.047168,0,0.5605,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,39.37425180799937
1,0,0,0,0,0,0.7217,0,0,0,0,0,0,0,0,0,3.5967e-08,0,1.3442,0,0,8.779700000000001e-05,0,0.23139,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,37.59223941967195
2,0,0,0,0,0,0.65989,0,0,0,0,0,0,0,0,0,3.2399e-11,0,0.9217700000000001,0,0,2.148e-06,0,0.47700000000000004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,39.01983134769769
3,0,0,0,0,0,0.3223,0,0,0,0,0,0,0,0,0,3.0548e-10,0,1.0788,0,0,0.00035959,0,0.46121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,39.71555592797854
4,0,0,0,0,0,0.79273,0,0,0,0,0,0,0,0,0,3.9807e-06,0,1.146,0,0,3.7092e-06,0,0.31565,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,37.87797977542457
5,0,0,0,0,0,0.67202,0,0,0,0,0,0,0,0,0,6.8765e-11,0,1.2579,0,0,2.9462000000000003e-08,0,0.28779,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,38.002682289867145
6,0,0,0,0,0,0.65951,0,0,0,0,0,0,0,0,0,1.462e-10,0,0.7529899999999999,0,0,0.10167000000000001,0,0.59627,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,40.09876376535847
7,0,0,0,0,0,0.82229,0,0,0,0,0,0,0,0,0,7.4091e-12,0,0.8385,0,0,7.7347e-05,0,0.40743,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,38.350945636652185
8,0,0,0,0,0,0.79324,0,0,0,0,0,0,0,0,0,2.9393e-10,0,0.8567600000000001,0,0,0.0019004999999999998,0,0.47076,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,38.7011395265905
9,0,0,0,0,0,0.86592,0,0,0,0,0,0,0,0,0,1.7047e-05,0,0.96314,0,0,7.8959e-08,0,0.47085,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,38.46322624046061
10,0,0,0,0,0,0.19819,0,0,0,0,0,0,0,0,0,5.8778e-10,0,1.1259,0,0,0.022581999999999998,0,0.5306,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,40.40993053631755
11,0,0,0,0,0,0.99629,0,0,0,0,0,0,0,0,0,0.00011274,0,0.60147,0,0,0.0054892,0,0.59832,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,38.893712379211074
12,0,0,0,0,0,0.93319,0,0,0,0,0,0,0,0,0,7.908100000000001e-09,0,0.81763,0,0,4.9047e-08,0,0.20514000000000002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,37.19699905278367
13,0,0,0,0,0,0.9043700000000001,0,0,0,0,0,0,0,0,0,4.7175e-10,0,1.1859,0,0,0.011640000000000001,0,0.4829,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,38.37199490301809
14,0,0,0,0,0,0.78476,0,0,0,0,0,0,0,0,0,4.6655000000000006e-11,0,1.0062,0,0,3.4125e-08,0,0.43887,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,38.503823202359605
15,0,0,0,0,0,0.51058,0,0,0,0,0,0,0,0,0,1.0627e-06,0,1.1907,0,0,0.014133000000000001,0,0.2468,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,38.31988437733287
16,0,0,0,0,0,0.49737,0,0,0,0,0,0,0,0,0,3.4601999999999993e-11,0,0.9839,0,0,1.3945999999999998e-05,0,0.39701,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,39.04229923616923
17,0,0,0,0,0,0.73388,0,0,0,0,0,0,0,0,0,1.6441999999999999e-10,0,1.0753,0,0,6.0924e-06,0,0.39348,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,38.398450715278585
18,0,0,0,0,0,0.6733100000000001,0,0,0,0,0,0,0,0,0,1.7817e-10,0,0.94845,0,0,0.011807999999999999,0,0.29975,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,38.25089281981238
19,0,0,0,0,0,0.51771,0,0,0,0,0,0,0,0,0,2.4828000000000002e-11,0,1.0993,0,0,2.5354e-06,0,0.49196000000000006,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,39.35536442220836
20,0,0,0,0,0,6.2028e-09,0,0,0,0,0,0,0,0,0,2.5773000000000003e-06,0,1.1936,0,0,4.2115e-05,0,0.8411299999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,42.12797633413382
21,0,0,0,0,0,0.72175,0,0,0,0,0,0,0,0,0,1.381e-09,0,0.8385799999999999,0,0,4.0586999999999997e-07,0,0.4288,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,38.69347486052474
22,0,0,0,0,0,0.5515100000000001,0,0,0,0,0,0,0,0,0,1.8779e-07,0,1.1864,0,0,1.9849000000000003e-05,0,0.29075,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,38.347489733475804
23,0,0,0,0,0,0.66818,0,0,0,0,0,0,0,0,0,1.4429e-09,0,1.1139,0,0,3.3449e-06,0,0.52076,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,39.1023469224921
24,0,0,0,0,0,0.59824,0,0,0,0,0,0,0,0,0,2.3144999999999996e-08,0,0.90585,0,0,0.00016012,0,0.12893,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,37.65180347302783
25,0,0,0,0,0,0.91205,0,0,0,0,0,0,0,0,0,0.022636,0,0.7044600000000001,0,0,6.1314e-06,0,0.21044000000000002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,37.32519781462355
26,0,0,0,0,0,0.5018,0,0,0,0,0,0,0,0,0,4.149e-08,0,0.9284,0,0,0.17415,0,0.4414,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,40.066966490581
27,0,0,0,0,0,0.6984600000000001,0,0,0,0,0,0,0,0,0,1.3165999999999998e-07,0,1.1823,0,0,2.8819e-06,0,0.41566000000000003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,38.533944828728146
28,0,0,0,0,0,0.94004,0,0,0,0,0,0,0,0,0,2.0175999999999998e-10,0,0.91196,0,0,0.00014843,0,0.31176,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,37.60526804521866
29,0,0,0,0,0,0.00041691,0,0,0,0,0,0,0,0,0,0.00021497,0,1.0058,0,0,2.0223e-09,0,0.78962,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,41.9876493981188
30,0,0,0,0,0,0.88495,0,0,0,0,0,0,0,0,0,8.0024e-10,0,0.80585,0,0,0.00013123,0,0.5128199999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,38.674046961574426
31,0,0,0,0,0,0.8135100000000001,0,0,0,0,0,0,0,0,0,8.981999999999998e-11,0,0.93494,0,0,7.4310000000000005e-06,0,0.60687,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,39.203639030768876
32,0,0,0,0,0,0.6210600000000001,0,0,0,0,0,0,0,0,0,5.0958999999999996e-11,0,0.90453,0,0,2.7467000000000003e-06,0,0.56317,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,39.50252224337944
33,0,0,0,0,0,0.20694,0,0,0,0,0,0,0,0,0,5.256e-07,0,1.1854,0,0,9.7896e-07,0,0.70103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,41.003572199894954
34,0,0,0,0,0,0.35393,0,0,0,0,0,0,0,0,0,5.1673000000000006e-09,0,1.055,0,0,0.00035979,0,0.48653,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,39.75946438189531
35,0,0,0,0,0,0.58065,0,0,0,0,0,0,0,0,0,2.2744999999999997e-10,0,1.2733,0,0,5.4116e-05,0,0.43616000000000005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,38.873838373279156
36,0,0,0,0,0,0.71704,0,0,0,0,0,0,0,0,0,2.8888000000000003e-07,0,0.92796,0,0,0.0058823,0,0.434,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,38.71402772668317
37,0,0,0,0,0,0.8798600000000001,0,0,0,0,0,0,0,0,0,2.8001e-09,0,0.77015,0,0,2.1865e-08,0,0.4871,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,38.5896367424492
