,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0.79682,0,0,0,0,0,0,0,0,0,1.0997e-09,0,0.79707,0,0,0,8.7669e-06,0.51272,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,36.94107714947011
1,0,0,0,0,0,0.72165,0,0,0,0,0,0,0,0,0,3.5912000000000004e-08,0,1.3441,0,0,0,1.4607e-07,0.23115,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,35.702327752465806
2,0,0,0,0,0,0.66141,0,0,0,0,0,0,0,0,0,1.6263e-07,0,0.92135,0,0,0,0.00075,0.47353,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,37.082291513336344
3,0,0,0,0,0,0.3226,0,0,0,0,0,0,0,0,0,2.2265000000000003e-11,0,1.079,0,0,0,3.4069e-07,0.45783,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,37.777627623290726
4,0,0,0,0,0,0.6878,0,0,0,0,0,0,0,0,0,5.0264e-06,0,1.1162,0,0,0,0.12352,0.45919,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,40.30098134416404
5,0,0,0,0,0,0.67202,0,0,0,0,0,0,0,0,0,7.284699999999999e-11,0,1.2579,0,0,0,7.150699999999999e-08,0.28781,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,36.10376163746661
6,0,0,0,0,0,0.79268,0,0,0,0,0,0,0,0,0,2.1421e-10,0,0.7090000000000001,0,0,0,0.00059949,0.57977,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,37.292531027955064
7,0,0,0,0,0,0.8223799999999999,0,0,0,0,0,0,0,0,0,3.6514e-12,0,0.8383799999999999,0,0,0,1.874e-07,0.40771,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,36.40207780478803
8,0,0,0,0,0,0.7933,0,0,0,0,0,0,0,0,0,1.6715e-10,0,0.85559,0,0,0,6.874800000000001e-07,0.47235,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,36.752143779982084
9,0,0,0,0,0,0.8657100000000001,0,0,0,0,0,0,0,0,0,2.034e-05,0,0.9632799999999999,0,0,0,2.7570999999999997e-07,0.47113999999999995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,36.53044266430836
10,0,0,0,0,0,0.20048,0,0,0,0,0,0,0,0,0,2.1586000000000002e-10,0,1.1334,0,0,0,1.5517e-06,0.53988,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,38.421889162693475
11,0,0,0,0,0,0.9948600000000001,0,0,0,0,0,0,0,0,0,9.342799999999999e-05,0,0.60401,0,0,0,2.1263999999999998e-08,0.60256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,36.91119120770968
12,0,0,0,0,0,0.9332,0,0,0,0,0,0,0,0,0,8.6031e-09,0,0.81763,0,0,0,2.2648e-06,0.20515,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,35.24500631901929
