,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,1.0668,0,0,0,0,0,0,0,0,0,0.19769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
1,0,0,0,0,0,1.091,0,0,0,0,0,0,0,0,0,1.6092e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
2,0,0,0,0,0,1.0729,0,0,0,0,0,0,0,0,0,1.3095e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
3,0,0,0,0,0,1.0025,0,0,0,0,0,0,0,0,0,0.013703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
4,0,0,0,0,0,1.2293,0,0,0,0,0,0,0,0,0,5.6477e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
5,0,0,0,0,0,1.0939,0,0,0,0,0,0,0,0,0,0.14562999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
6,0,0,0,0,0,1.0182,0,0,0,0,0,0,0,0,0,2.2289e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
7,0,0,0,0,0,1.2387,0,0,0,0,0,0,0,0,0,0.55712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
8,0,0,0,0,0,0.92816,0,0,0,0,0,0,0,0,0,2.4554e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
9,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0.12365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
10,0,0,0,0,0,1.3056,0,0,0,0,0,0,0,0,0,0.078101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
11,0,0,0,0,0,0.48532,0,0,0,0,0,0,0,0,0,0.069978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
12,0,0,0,0,0,1.1505,0,0,0,0,0,0,0,0,0,5.3278999999999996e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
13,0,0,0,0,0,1.0663,0,0,0,0,0,0,0,0,0,0.0020087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
14,0,0,0,0,0,1.3403,0,0,0,0,0,0,0,0,0,6.417699999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
15,0,0,0,0,0,1.0182,0,0,0,0,0,0,0,0,0,0.0021254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
16,0,0,0,0,0,1.202,0,0,0,0,0,0,0,0,0,2.2826e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
17,0,0,0,0,0,1.1484,0,0,0,0,0,0,0,0,0,4.1607999999999997e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
18,0,0,0,0,0,1.1699,0,0,0,0,0,0,0,0,0,4.9344e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5608618572397962
