,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,1.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6077600000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.75981518769142
1,0,0,0,0,0,1.1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.948350370555263
2,0,0,0,0,0,1.7155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70321,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.414094909517452
3,0,0,0,0,0,0.64469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4622,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42.52013750845662
4,0,0,0,0,0,0.12907000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7373,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50.17013595239945
5,0,0,0,0,0,1.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028630000000000003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.6553310043376928
6,0,0,0,0,0,0.00051572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38.06250482738052
7,0,0,0,0,0,0.8453799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3904e-07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.8591899945438017
8,0,0,0,0,0,1.2708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37176,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.197112051484554
9,0,0,0,0,0,1.3492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069899999999999e-08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.8591878160322493
10,0,0,0,0,0,2.1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94484,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.13335744681263
