,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,0.47479,0,0,0,0,0,0,0.40560999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
1,0,0,0,0,0,0,0,0,0.41128000000000003,0,0,0,0,0,0,0.00010029999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
2,0,0,0,0,0,0,0,0,0.42194,0,0,0,0,0,0,0.067413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
3,0,0,0,0,0,0,0,0,0.27665,0,0,0,0,0,0,0.017484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
4,0,0,0,0,0,0,0,0,0.35951,0,0,0,0,0,0,0.066713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
5,0,0,0,0,0,0,0,0,0.48452,0,0,0,0,0,0,0.0017054000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
6,0,0,0,0,0,0,0,0,0.29023000000000004,0,0,0,0,0,0,1.8781e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
7,0,0,0,0,0,0,0,0,0.36414,0,0,0,0,0,0,0.003201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
8,0,0,0,0,0,0,0,0,0.43823,0,0,0,0,0,0,0.0082931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
9,0,0,0,0,0,0,0,0,0.50694,0,0,0,0,0,0,0.30293000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
10,0,0,0,0,0,0,0,0,0.37901,0,0,0,0,0,0,6.1697e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
11,0,0,0,0,0,0,0,0,0.33971,0,0,0,0,0,0,0.013654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
12,0,0,0,0,0,0,0,0,0.35026,0,0,0,0,0,0,0.019788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
13,0,0,0,0,0,0,0,0,0.3697,0,0,0,0,0,0,0.008213600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
14,0,0,0,0,0,0,0,0,0.40298,0,0,0,0,0,0,0.037677999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
15,0,0,0,0,0,0,0,0,0.3633,0,0,0,0,0,0,0.009182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
16,0,0,0,0,0,0,0,0,0.32605,0,0,0,0,0,0,7.0376e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
17,0,0,0,0,0,0,0,0,0.35348,0,0,0,0,0,0,0.0020783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
18,0,0,0,0,0,0,0,0,0.39224000000000003,0,0,0,0,0,0,0.029742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
19,0,0,0,0,0,0,0,0,0.37322,0,0,0,0,0,0,0.028924000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
20,0,0,0,0,0,0,0,0,0.16282,0,0,0,0,0,0,0.0074842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
21,0,0,0,0,0,0,0,0,0.3221,0,0,0,0,0,0,0.0068143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
22,0,0,0,0,0,0,0,0,0.3428,0,0,0,0,0,0,0.0071121000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
23,0,0,0,0,0,0,0,0,0.38647,0,0,0,0,0,0,1.0239e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
24,0,0,0,0,0,0,0,0,0.33798,0,0,0,0,0,0,0.0089074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
25,0,0,0,0,0,0,0,0,0.35772,0,0,0,0,0,0,0.0073726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
26,0,0,0,0,0,0,0,0,0.31208,0,0,0,0,0,0,0.00081202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
27,0,0,0,0,0,0,0,0,0.28357,0,0,0,0,0,0,0.0029381999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
28,0,0,0,0,0,0,0,0,0.51583,0,0,0,0,0,0,0.040501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
29,0,0,0,0,0,0,0,0,0.36894,0,0,0,0,0,0,0.0033902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
30,0,0,0,0,0,0,0,0,0.36769,0,0,0,0,0,0,0.38752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
31,0,0,0,0,0,0,0,0,0.31196,0,0,0,0,0,0,0.0010792999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
32,0,0,0,0,0,0,0,0,0.38206,0,0,0,0,0,0,0.0083036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
33,0,0,0,0,0,0,0,0,0.24658000000000002,0,0,0,0,0,0,0.024154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
34,0,0,0,0,0,0,0,0,0.24779,0,0,0,0,0,0,7.4085e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
35,0,0,0,0,0,0,0,0,0.33536,0,0,0,0,0,0,0.0032319000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
36,0,0,0,0,0,0,0,0,0.35211,0,0,0,0,0,0,0.0005086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
37,0,0,0,0,0,0,0,0,0.21056999999999998,0,0,0,0,0,0,0.6310399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4651104573649591
