,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0,0,0,0,0,0,1.1379,0,0,0,0,0,0,0,0,0,0,0,0,1.2599,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36.45430420972787
1,0,0,0,0,0,0,0,0,2.8277e-07,0,0,0,0,0,0,0,0,0,0,0,0,1.5531,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44.77256909002151
2,0,0,0,0,0,0,0,0,0.71746,0,0,0,0,0,0,0,0,0,0,0,0,0.11814000000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.7651123855362645
3,0,0,0,0,0,0,0,0,0.35607,0,0,0,0,0,0,0,0,0,0,0,0,0.78391,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23.33127133324436
4,0,0,0,0,0,0,0,0,0.97029,0,0,0,0,0,0,0,0,0,0,0,0,0.9011100000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26.50134422925875
5,0,0,0,0,0,0,0,0,0.8582799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0.58836,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17.820608208234624
6,0,0,0,0,0,0,0,0,0.81876,0,0,0,0,0,0,0,0,0,0,0,0,0.57205,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17.37278717255534
7,0,0,0,0,0,0,0,0,4.7276000000000006e-07,0,0,0,0,0,0,0,0,0,0,0,0,1.344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38.95790285154633
8,0,0,0,0,0,0,0,0,1.0041,0,0,0,0,0,0,0,0,0,0,0,0,1.2027,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34.8830774758819
9,0,0,0,0,0,0,0,0,0.13604000000000002,0,0,0,0,0,0,0,0,0,0,0,0,1.2937,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.53943806748636
