,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,9.509500000000001e-11,0,0,0,0.17069,0,0,1.4025e-12,0,0,0.52786,0.00018014,0,2.8543000000000003e-13,0,1.1841,3.1829000000000005e-10,0.00031521,2.7869e-07,5.0704e-10,0.5837899999999999,0.30308,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,30.289197361122977
1,0,0,8.998599999999999e-10,0,0,0,0.28092,0,0,0.401,0,0,0.23772,0.09915399999999999,0,7.810600000000001e-07,0,0.7600600000000001,0.0022758,0.25692,0.013151,3.1194e-06,0.0029530999999999997,0.87487,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,34.06212250855951
2,0,0,7.913299999999999e-09,0,0,0,0.015981,0,0,0.00018631,0,0,0.40434000000000003,0.00032721,0,2.6894e-07,0,1.002,0.00010697,0.001056,0.014091999999999999,0.00016546,0.0067266999999999995,0.7976800000000001,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,30.105826701186245
3,0,0,7.6317e-07,0,0,0,0.21186,0,0,2.129e-08,0,0,0.40741,8.8286e-05,0,5.7756999999999996e-11,0,0.86314,0.00013942,6.844e-08,0.00016066,3.4305e-09,0.06614,0.56833,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,30.1530666142179
4,0,0,1.3595999999999998e-07,0,0,0,0.00031523,0,0,0.49038999999999994,0,0,0.0013825999999999999,0.77431,0,0.0023883000000000003,0,0.73957,4.9916999999999996e-08,0.52764,0.00063189,6.7805e-10,7.6642e-05,1.1135,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,44.44330730622196
5,0,0,1.0455e-09,0,0,0,0.32275,0,0,0.53456,0,0,0.19889,8.9555e-05,0,2.245e-09,0,0.76841,4.9454e-06,0.30518,2.8325e-05,4.268e-09,0.0035759999999999998,0.8504299999999999,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,33.56204810390946
6,0,0,5.1321e-12,0,0,0,0.91953,0,0,4.9586e-05,0,0,0.015053,0.012279,0,1.0904e-09,0,1.2968,4.3814e-10,0.35939,1.0073999999999999e-06,0.13103,0.00015186,0.34312,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,35.71073682942601
7,0,0,6.1638e-08,0,0,0,0.13389,0,0,0.11256,0,0,3.7510000000000003e-10,0.0048774,0,2.8813000000000002e-11,0,0.80934,0.0027418000000000004,0.54838,0.30655,0.0001763,0.46161,0.7055,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,36.2750692101492
8,0,0,2.1890999999999998e-05,0,0,0,0.65369,0,0,1.6034999999999999e-09,0,0,0.17490999999999998,5.8089e-07,0,0.026541000000000002,0,1.1043,1.1460999999999999e-11,0.14142000000000002,2.6744e-12,8.6613e-07,2.6669e-05,1.0613,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,30.94873595367929
9,0,0,1.744e-08,0,0,0,0.36254000000000003,0,0,2.2530000000000002e-11,0,0,0.00047206,4.3553e-08,0,7.1128000000000005e-09,0,1.4780000000000002,0.22084,0.00019188,0.034194,1.8744999999999998e-06,0.46331999999999995,0.81825,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,29.53611909693298
