,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,3.841e-09,0,0,0,0.61563,0,0,4.829399999999999e-11,0,0,0,0,0.24393,5.935300000000001e-11,0.0017289999999999999,1.0324,3.4614e-05,0,5.499199999999999e-07,5.7807e-09,0.5423600000000001,0,0.37401999999999996,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,34.251939487642176
1,0,0,0.0053224,0,0,0,0.31464000000000003,0,0,0.096399,0,0,0,0,0.012747,1.1617000000000001e-07,3.6235e-08,0.95235,0.00075833,0,5.6233999999999994e-09,4.4694e-06,0.89174,0,0.22601999999999997,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,32.256808730856164
2,0,0,0.35505,0,0,0,2.9431e-06,0,0,5.550399999999999e-06,0,0,0,0,0.47623999999999994,5.6298000000000004e-14,0.00068212,0.8196,0.0018664999999999999,0,0.00081826,0.00017241,0.32143,0,0.16135,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,34.56395772699858
3,0,0,1.4788e-09,0,0,0,0.55048,0,0,2.7288e-05,0,0,0,0,4.6808e-11,2.5451e-12,0.039131,0.98046,7.6564e-08,0,6.147999999999999e-07,1.6375e-10,0.52642,0,0.30318,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,31.913939593109415
4,0,0,0.015143,0,0,0,0.29273000000000005,0,0,0.082587,0,0,0,0,2.3231e-05,1.6341e-06,0.099084,1.1468,3.4407999999999997e-06,0,3.1096e-07,2.4579e-08,0.68257,0,0.00030998,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,28.793733607547004
5,0,0,1.1114999999999999e-08,0,0,0,0.2458,0,0,0.043946,0,0,0,0,2.1047999999999997e-06,1.4219e-10,0.021405,1.1752,1.1927e-10,0,1.2703e-10,8.5177e-06,0.53196,0,0.45946000000000004,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,33.262019494636895
6,0,0,7.4382e-08,0,0,0,0.14751,0,0,0.0010689,0,0,0,0,7.2559e-07,2.2066e-10,0.060137,1.1087,4.3159999999999996e-09,0,3.1197e-05,2.7018e-05,0.5132399999999999,0,0.1172,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,29.942709781178966
7,0,0,0.062491,0,0,0,0.32476,0,0,0.17769000000000001,0,0,0,0,3.4627999999999997e-10,1.3567e-08,6.9602e-09,1.2606,2.4636999999999998e-05,0,1.368e-09,0.008913500000000001,0.027908,0,0.36908,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,31.137997511348313
8,0,0,2.6041999999999998e-09,0,0,0,0.2931,0,0,0.19991,0,0,0,0,0.2937,1.8718e-07,1.9358000000000002e-07,1.0912,4.8066e-08,0,8.408799999999999e-11,1.9286e-08,0.9912200000000001,0,0.12208,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,33.018703326527216
9,0,0,2.5212e-05,0,0,0,0.55014,0,0,8.9666e-09,0,0,0,0,0.29968,1.1006e-05,2.9068000000000003e-06,1.0070000000000001,6.3041e-07,0,0.37337,5.308400000000001e-10,0.022989,0,0.3627,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,32.825492348119575
10,0,0,5.0992e-07,0,0,0,0.44803000000000004,0,0,0.00053771,0,0,0,0,0.00036712,7.2176e-09,1.3372999999999999e-06,0.9163899999999999,1.2556e-10,0,0.024604,1.8475e-07,0.60596,0,0.00029522,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,29.150010856318314
11,0,0,5.1081e-07,0,0,0,1.2345e-05,0,0,9.5662e-09,0,0,0,0,1.7453e-11,8.0535e-11,0.00027657,1.1877,5.1428e-06,0,0.0007740000000000001,5.342100000000001e-10,0.7088800000000001,0,0.479,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,34.02768330893318
12,0,0,0.12725999999999998,0,0,0,0.0011137,0,0,0.31071,0,0,0,0,8.0437e-07,1.0847999999999999e-11,6.0438e-05,0.9328,1.4571e-08,0,1.7826e-08,1.8917000000000002e-07,1.0714,0,4.903e-09,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,30.529988125950915
13,0,0,0.009336399999999998,0,0,0,0.10432999999999999,0,0,0.6005,0,0,0,0,0.82442,7.4502e-15,0.09082,1.0233,4.181e-09,0,3.0169e-06,1.5544000000000002e-13,0.48035,0,0.7119,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,42.469217837887946
14,0,0,0.00010137,0,0,0,0.34451,0,0,0.37796,0,0,0,0,0.051051,3.6849000000000004e-07,0.059557000000000006,1.0567,8.988699999999999e-10,0,7.421600000000001e-07,9.0125e-10,0.57509,0,0.00043119,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,29.1820812011421
15,0,0,2.0485e-05,0,0,0,0.27346,0,0,0.3055,0,0,0,0,0.10615,8.332700000000002e-11,0.073416,1.08,5.3226e-07,0,0.01028,6.6407e-05,0.58609,0,0.11681,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,30.805823179752068
16,0,0,0.031646,0,0,0,0.58308,0,0,1.9173e-06,0,0,0,0,6.552100000000001e-07,8.0255e-12,1.4288e-06,0.88882,4.7101e-05,0,5.8834e-05,6.63e-05,0.35189000000000004,0,2.3833000000000002e-08,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,28.63919414077692
17,0,0,0.079112,0,0,0,0.56789,0,0,7.6548e-07,0,0,0,0,9.4246e-06,1.0003e-11,1.749e-08,1.0590000000000002,6.5773000000000005e-06,0,1.4405e-05,1.0703e-09,0.46366,0,0.0010527000000000002,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,28.359219765989593
18,0,0,0.00051245,0,0,0,0.6004,0,0,2.1524e-08,0,0,0,0,1.3052e-07,8.2e-12,3.4185e-07,1.0243,0.00034182,0,0.002038,1.2765e-09,0.39925,0,2.1249e-06,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,28.28969657944525
19,0,0,3.6149e-07,0,0,0,0.40226,0,0,0.017795,0,0,0,0,0.0060227,1.1502999999999999e-11,6.437999999999999e-10,1.0677,1.5038e-07,0,3.5872e-06,2.5713e-06,0.55612,0,0.2764,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,31.613984583957073
20,0,0,0.012186,0,0,0,0.34102,0,0,0.00097488,0,0,0,0,0.001913,5.3885e-06,4.0631e-06,0.9598399999999999,5.4322e-06,0,0.00025678,1.9711e-09,0.77483,0,0.00027892,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,29.525826182355885
21,0,0,6.255600000000001e-08,0,0,0,0.22121,0,0,4.4326e-05,0,0,0,0,0.21397,1.0717e-12,0.00023937,1.0988,2.5304000000000004e-11,0,6.1858e-12,4.9022e-05,0.4088,0,0.030313999999999997,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,30.350074870364185
22,0,0,0.00051167,0,0,0,0.32033,0,0,0.08777,0,0,0,0,0.23073000000000002,0.029005,6.9768e-05,1.3023,0.00028436,0,8.1756e-06,1.4144999999999999e-07,0.38705,0,0.070173,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,30.113486519846646
23,0,0,0.45064,0,0,0,0.38047,0,0,1.8088e-08,0,0,0,0,5.2972e-10,0.00013852,9.0356e-05,0.99544,0.00010268,0,0.017794,0.13177,0.22993000000000002,0,0.00033381,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,30.913801445195887
24,0,0,4.3372e-07,0,0,0,0.46107,0,0,0.0068808,0,0,0,0,9.293e-07,8.0175e-07,0.10867,1.2437,3.3358e-05,0,1.1967000000000001e-06,6.0247e-08,0.080776,0,0.099858,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,28.157019527798855
25,0,0,6.3426e-06,0,0,0,0.036747,0,0,0.00025747,0,0,0,0,8.5222e-08,2.3596999999999998e-05,1.4277000000000001e-09,1.0872,2.6621e-06,0,1.9547e-09,3.5686000000000003e-09,0.66713,0,0.00030767,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,29.204189428124188
26,0,0,0.075758,0,0,0,0.13171,0,0,2.5237e-06,0,0,0,0,1.5757e-08,5.143e-05,1.4981e-10,1.2304,2.5395e-09,0,0.0017265999999999998,0.0033919,0.81355,0,0.08656900000000001,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,29.927260090209288
27,0,0,0.0040330999999999995,0,0,0,0.5913,0,0,0.0001498,0,0,0,0,0.25276,1.1982999999999999e-09,0.5121100000000001,0.42751000000000006,8.3369e-07,0,0.0014289,3.6663999999999997e-06,0.00034568,0,0.8503700000000001,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,40.123996057170885
28,0,0,1.4395e-06,0,0,0,0.3722,0,0,5.002600000000001e-07,0,0,0,0,0.089253,1.4062e-12,1.0098e-08,1.1822,5.102e-06,0,4.6376e-08,5.9948e-08,0.42915,0,0.37992,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,32.72825009521327
29,0,0,0.00090509,0,0,0,0.37340999999999996,0,0,2.773e-06,0,0,0,0,0.0072051,1.5162e-05,0.10254,0.9656600000000001,0.034109,0,2.2247e-07,0.044429,0.17295,0,0.43858,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,33.80414612379782
30,0,0,0.17695,0,0,0,0.33301,0,0,0.0090708,0,0,0,0,2.0053e-06,1.9464000000000002e-11,1.0578e-09,1.1892,0.00059479,0,2.1364e-05,1.1785e-07,0.46857,0,5.6733e-05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,28.188361363490724
31,0,0,4.3996000000000004e-05,0,0,0,0.40675,0,0,0.038522,0,0,0,0,1.3359e-08,8.7565e-12,0.020477000000000002,1.2306,2.558e-08,0,2.3073e-07,6.5393e-09,0.66719,0,0.32011,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,31.73961453242178
