,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,5.9816e-07,0,0,0,0.55366,0,0,0,0,0,0,0,0,0.0093161,0,1.2069,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.53090021470994
1,0,0,0.15638,0,0,0,0.5626899999999999,0,0,0,0,0,0,0,0,1.2639e-09,0,0.91332,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.52737000620216
2,0,0,0.24100000000000002,0,0,0,0.42465,0,0,0,0,0,0,0,0,2.8299000000000003e-09,0,0.70728,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.58133567424353
3,0,0,0.00087487,0,0,0,0.33993,0,0,0,0,0,0,0,0,1.066e-09,0,1.1306,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.61445630157231
4,0,0,0.54845,0,0,0,0.4164,0,0,0,0,0,0,0,0,3.5644e-06,0,1.105,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.58456094779715
5,0,0,7.551e-08,0,0,0,0.75261,0,0,0,0,0,0,0,0,3.8454e-10,0,1.3808,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.453122254286654
6,0,0,2.0265e-05,0,0,0,0.43712,0,0,0,0,0,0,0,0,2.8609000000000004e-07,0,1.0806,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.57646062439946
7,0,0,0.29449000000000003,0,0,0,0.0029769,0,0,0,0,0,0,0,0,9.177999999999999e-08,0,1.3403,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.74618550426798
8,0,0,0.00087954,0,0,0,0.58313,0,0,0,0,0,0,0,0,0.0050275,0,1.255,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.51937914663417
9,0,0,0.00014284,0,0,0,0.6211300000000001,0,0,0,0,0,0,0,0,5.8386000000000006e-05,0,1.3186,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.50452334117509
10,0,0,0.048615,0,0,0,0.3721,0,0,0,0,0,0,0,0,1.6153e-09,0,1.0576,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.60187968942445
11,0,0,0.070797,0,0,0,0.11492000000000001,0,0,0,0,0,0,0,0,8.960099999999999e-06,0,1.2352,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.702422217002535
12,0,0,0.8094,0,0,0,0.98911,0,0,0,0,0,0,0,0,9.8124e-09,0,0.36748000000000003,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.3606644124163
13,0,0,0.015077000000000002,0,0,0,0.7843399999999999,0,0,0,0,0,0,0,0,2.7925e-07,0,1.5356,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.44071765672832
14,0,0,0.51663,0,0,0,0.14017000000000002,0,0,0,0,0,0,0,0,2.1646e-08,0,1.2733,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.692550925217226
15,0,0,0.40026999999999996,0,0,0,1.3259999999999998,0,0,0,0,0,0,0,0,2.1497e-09,0,1.1302,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.22895987817654
16,0,0,0.29572,0,0,0,0.92755,0,0,0,0,0,0,0,0,9.5888e-09,0,0.7003,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.384730817260014
17,0,0,0.21349,0,0,0,0.5462199999999999,0,0,0,0,0,0,0,0,2.8521999999999997e-09,0,0.99946,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.53380882504193
18,0,0,0.12208,0,0,0,0.68277,0,0,0,0,0,0,0,0,2.1536e-08,0,0.8257399999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.480425660951454
19,0,0,0.073824,0,0,0,0.49998000000000004,0,0,0,0,0,0,0,0,6.2136e-10,0,1.1126,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.55188599463214
20,0,0,0.3228,0,0,0,0.43083999999999995,0,0,0,0,0,0,0,0,0.0011634,0,0.71444,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.578915741722696
21,0,0,2.1536e-07,0,0,0,0.58814,0,0,0,0,0,0,0,0,6.7467e-12,0,1.111,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.51742052596706
22,0,0,0.62043,0,0,0,0.057447000000000005,0,0,0,0,0,0,0,0,0.027493,0,1.0416,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.724890840874906
23,0,0,0.35353,0,0,0,0.3366,0,0,0,0,0,0,0,0,0.0040956,0,1.0823,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.615758139261224
24,0,0,3.1894e-06,0,0,0,0.40508,0,0,0,0,0,0,0,0,0.0001606,0,1.2623,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.58898641405496
25,0,0,4.6378e-06,0,0,0,0.77198,0,0,0,0,0,0,0,0,0.0034086999999999998,0,0.7761100000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.44554970292501
26,0,0,0.15735,0,0,0,0.703,0,0,0,0,0,0,0,0,0.010809000000000001,0,1.1287,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.47251689925574
27,0,0,0.14849,0,0,0,0.83116,0,0,0,0,0,0,0,0,2.9298e-07,0,1.023,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.42241374063373
28,0,0,7.459e-07,0,0,0,0.23281,0,0,0,0,0,0,0,0,7.916e-10,0,1.1152,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,33.65633403527697
