,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0,0.63537,0.76169,0,0,0,0,0,0,0,0.24545999999999998,0,0,0.004509,0,0,0,0,0,0.00017088,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2.169375987658691
1,0,0,0.29124,0.77852,0,0,0,0,0,0,0,0.5567,0,0,0.15975999999999999,0,0,0,0,0,0.0050548,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2.203008278892135
2,0,0,0.24059,0.88302,0,0,0,0,0,0,0,0.5440699999999999,0,0,9.3958e-07,0,0,0,0,0,0.75483,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,6.154927290569172
3,0,0,0.26602,0.9783799999999999,0,0,0,0,0,0,0,0.6804,0,0,0.1268,0,0,0,0,0,0.34407,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.9918741296893057
4,0,0,1.0902,0.00020140000000000002,0,0,0,0,0,0,0,0.31289,0,0,1.9574e-08,0,0,0,0,0,0.41586000000000006,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.364636194085465
5,0,0,0.73816,1.2993,0,0,0,0,0,0,0,0.7590600000000001,0,0,0.08262,0,0,0,0,0,0.21686999999999998,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.3178291040089265
6,0,0,0.42772,0.38799999999999996,0,0,0,0,0,0,0,0.79783,0,0,0.037174,0,0,0,0,0,0.6149,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,5.417754943177945
7,0,0,0.44898000000000005,0.17595,0,0,0,0,0,0,0,0.6209899999999999,0,0,0.68247,0,0,0,0,0,0.3403,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.00001463366668
8,0,0,0.54185,0.8714200000000001,0,0,0,0,0,0,0,0.69618,0,0,3.2893e-08,0,0,0,0,0,0.011898,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2.2310858712607744
9,0,0,0.34822,0.38031,0,0,0,0,0,0,0,0.41526,0,0,0.0010883,0,0,0,0,0,0.9467700000000001,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,7.168725182320112
10,0,0,0.016109000000000002,1.3971,0,0,0,0,0,0,0,7.5332e-06,0,0,0.49108999999999997,0,0,0,0,0,0.28547,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.7007651203047764
11,0,0,5.629200000000001e-07,1.0235,0,0,0,0,0,0,0,0.24459,0,0,0.010962999999999999,0,0,0,0,0,0.46343999999999996,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.6164863572737564
12,0,0,0.076055,1.1362,0,0,0,0,0,0,0,0.2611,0,0,0.43255,0,0,0,0,0,0.0001171,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2.190700819075381
13,0,0,0.11671,0.57282,0,0,0,0,0,0,0,0.0010279999999999998,0,0,0.16775,0,0,0,0,0,0.88474,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,6.849523509077085
14,0,0,1.0371,0.4457,0,0,0,0,0,0,0,6.1771000000000005e-06,0,0,1.8439e-05,0,0,0,0,0,0.54314,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,5.036874327393517
15,0,0,0.73759,0.9409799999999999,0,0,0,0,0,0,0,0.84729,0,0,0.029679,0,0,0,0,0,0.38153000000000004,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.184818462279338
16,0,0,0.0021628,0.8264100000000001,0,0,0,0,0,0,0,0.0028519,0,0,0.00025234,0,0,0,0,0,0.51242,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.874636552733766
17,0,0,0.0008372999999999999,0.7306600000000001,0,0,0,0,0,0,0,0.08723,0,0,0.0012424,0,0,0,0,0,0.8404,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,6.6069332184608305
18,0,0,0.43893000000000004,1.3342,0,0,0,0,0,0,0,0.71412,0,0,0.75507,0,0,0,0,0,1.0902,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,7.964323010156151
19,0,0,0.24768,1.1618,0,0,0,0,0,0,0,0.81611,0,0,0.5324300000000001,0,0,0,0,0,0.26477,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.593523763141149
20,0,0,1.2432,6.7613e-10,0,0,0,0,0,0,0,5.1174e-06,0,0,0.56722,0,0,0,0,0,0.89413,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,6.919283894356412
21,0,0,0.5060100000000001,1.0742,0,0,0,0,0,0,0,0.42921000000000004,0,0,0.00034591,0,0,0,0,0,0.24024,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.437105748228969
22,0,0,0.72278,1.1872,0,0,0,0,0,0,0,0.9051299999999999,0,0,0.10868,0,0,0,0,0,7.0723e-08,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2.1737327319486006
23,0,0,4.2529999999999997e-10,1.1091,0,0,0,0,0,0,0,1.2944,0,0,1.2238,0,0,0,0,0,0.009162700000000001,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2.2784205373996933
24,0,0,1.0935,1.2865,0,0,0,0,0,0,0,0.7680100000000001,0,0,0.60658,0,0,0,0,0,0.0084291,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2.2433867509237864
25,0,0,0.43046,0.00027679,0,0,0,0,0,0,0,0.11135,0,0,3.4549e-08,0,0,0,0,0,0.8488899999999999,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,6.651710960745018
26,0,0,0.9396899999999999,0.21350999999999998,0,0,0,0,0,0,0,0.0014225,0,0,4.8704e-06,0,0,0,0,0,0.33365,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.9304392320682524
27,0,0,0.14489000000000002,0.9746600000000001,0,0,0,0,0,0,0,0.6212300000000001,0,0,0.19387000000000001,0,0,0,0,0,0.40292,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.306079957073401
28,0,0,0.36718,0.6220600000000001,0,0,0,0,0,0,0,1.178,0,0,0.00023758,0,0,0,0,0,0.54737,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,5.059226397326264
29,0,0,1.0104,0.69404,0,0,0,0,0,0,0,0.46551000000000003,0,0,0.16829000000000002,0,0,0,0,0,0.5123800000000001,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.882908366857709
30,0,0,3.7987e-06,0.7461899999999999,0,0,0,0,0,0,0,0.54299,0,0,0.26248,0,0,0,0,0,0.62107,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,5.461716345248833
31,0,0,0.0017745999999999999,1.4205,0,0,0,0,0,0,0,0.092473,0,0,0.5857899999999999,0,0,0,0,0,0.2891,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.724717947941298
32,0,0,0.19567,1.1185,0,0,0,0,0,0,0,0.60878,0,0,0.27957,0,0,0,0,0,0.53901,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,5.029174130301801
33,0,0,0.41086000000000006,1.6756,0,0,0,0,0,0,0,0.008894899999999999,0,0,0.00051922,0,0,0,0,0,0.70598,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,5.896949154357444
34,0,0,0.42371000000000003,0.56384,0,0,0,0,0,0,0,0.62292,0,0,0.41343,0,0,0,0,0,0.29762,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.7610155735512647
35,0,0,0.1566,0.81775,0,0,0,0,0,0,0,2.6652e-07,0,0,0.25465,0,0,0,0,0,0.6157100000000001,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,5.433011889908818
36,0,0,0.0010765,1.1204,0,0,0,0,0,0,0,0.30998000000000003,0,0,7.4179e-05,0,0,0,0,0,0.51131,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.868765024847797
37,0,0,0.44547,5.2260000000000004e-06,0,0,0,0,0,0,0,0.071573,0,0,0.036860000000000004,0,0,0,0,0,1.2052,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,8.535445103310645
38,0,0,0.43331000000000003,0.91637,0,0,0,0,0,0,0,0.32506999999999997,0,0,6.9403e-05,0,0,0,0,0,0.26213000000000003,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.5527051800917326
39,0,0,0.094559,0.8871600000000001,0,0,0,0,0,0,0,0.62566,0,0,0.089496,0,0,0,0,0,0.27696,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.635545283241628
40,0,0,0.0080406,0.38197,0,0,0,0,0,0,0,0.3438,0,0,0.65518,0,0,0,0,0,0.22471999999999998,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.388194018730234
41,0,0,1.0205,0.5834699999999999,0,0,0,0,0,0,0,0.9737100000000001,0,0,1.6907e-07,0,0,0,0,0,0.006118600000000001,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2.2005616190723956
42,0,0,0.00013708,1.2853,0,0,0,0,0,0,0,0.81848,0,0,0.14309000000000002,0,0,0,0,0,0.41734,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.379676543983322
